CALLER, CALLEE, CALLTYPE
MatColoringCreate_JP,PetscMallocA, DIRECT
MatColoringCreate_JP,PetscLogObjectMemory, DIRECT
MatColoringCreate_JP,PetscError, DIRECT
MatColoringCreate_JP,printf, DIRECT
MatColoringCreate_JP,printf, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Comm_rank, DIRECT
MatColoringApply_JP,MPI_Error_string, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,MatColoringCreateWeights, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,MatGetSize, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,MatGetLocalSize, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscMallocA, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscMallocA, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscMallocA, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,MCJPInitialLocalColor_Private, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Comm_size, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Allreduce, DIRECT
MatColoringApply_JP,MPI_Error_string, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Comm_size, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Allreduce, DIRECT
MatColoringApply_JP,MPI_Error_string, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Comm_size, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Allreduce, DIRECT
MatColoringApply_JP,MPI_Error_string, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Comm_size, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Allreduce, DIRECT
MatColoringApply_JP,MPI_Error_string, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,MCJPMinColor_Private, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,MCJPGreatestWeight_Private, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Comm_size, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Allreduce, DIRECT
MatColoringApply_JP,MPI_Error_string, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Comm_size, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Allreduce, DIRECT
MatColoringApply_JP,MPI_Error_string, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Comm_size, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Allreduce, DIRECT
MatColoringApply_JP,MPI_Error_string, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Comm_size, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,MPI_Allreduce, DIRECT
MatColoringApply_JP,MPI_Error_string, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscObjectComm, DIRECT
MatColoringApply_JP,ISColoringCreate, DIRECT
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatColoringApply_JP,PetscError, DIRECT
MatColoringApply_JP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatColoringApply_JP,PetscError, DIRECT
