CALLER, CALLEE, CALLTYPE
matcoloringcreate_,MatColoringCreate, DIRECT
matcoloringdestroy_,MatColoringDestroy, DIRECT
matcoloringsetfromoptions_,MatColoringSetFromOptions, DIRECT
matcoloringsetdistance_,MatColoringSetDistance, DIRECT
matcoloringgetdistance_,MatColoringGetDistance, DIRECT
matcoloringsetmaxcolors_,MatColoringSetMaxColors, DIRECT
matcoloringgetmaxcolors_,MatColoringGetMaxColors, DIRECT
matcoloringapply_,MatColoringApply, DIRECT
matcoloringview_,MatColoringView, DIRECT
matcoloringsetweighttype_,MatColoringSetWeightType, DIRECT
