CALLER, CALLEE, CALLTYPE
MatColoringCreateLexicalWeights,MatGetOwnershipRange, DIRECT
MatColoringCreateLexicalWeights,PetscError, DIRECT
MatColoringCreateLexicalWeights,printf, DIRECT
MatColoringCreateLexicalWeights,printf, DIRECT
MatColoringCreateRandomWeights,PetscObjectComm, DIRECT
MatColoringCreateRandomWeights,PetscRandomCreate, DIRECT
MatColoringCreateRandomWeights,PetscError, DIRECT
MatColoringCreateRandomWeights,PetscRandomSetFromOptions, DIRECT
MatColoringCreateRandomWeights,PetscError, DIRECT
MatColoringCreateRandomWeights,MatGetOwnershipRange, DIRECT
MatColoringCreateRandomWeights,PetscError, DIRECT
MatColoringCreateRandomWeights,PetscRandomGetValueReal, DIRECT
MatColoringCreateRandomWeights,PetscError, DIRECT
MatColoringCreateRandomWeights,PetscRandomDestroy, DIRECT
MatColoringCreateRandomWeights,PetscError, DIRECT
MatColoringCreateRandomWeights,printf, DIRECT
MatColoringCreateRandomWeights,printf, DIRECT
MatColoringGetDegrees,MatGetOwnershipRange, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,PetscObjectComm, DIRECT
MatColoringGetDegrees,ISCreateStride, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,MatIncreaseOverlap, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,ISSort, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,MatCreateSubMatrices, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,PetscObjectBaseTypeCompare, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,PetscObjectComm, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,MatGetSize, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,PetscMallocA, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,ISGetIndices, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,ISRestoreIndices, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,ISDestroy, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,PetscFreeA, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,MatDestroyMatrices, DIRECT
MatColoringGetDegrees,PetscError, DIRECT
MatColoringGetDegrees,printf, DIRECT
MatColoringGetDegrees,printf, DIRECT
MatColoringCreateLargestFirstWeights,PetscObjectComm, DIRECT
MatColoringCreateLargestFirstWeights,PetscRandomCreate, DIRECT
MatColoringCreateLargestFirstWeights,PetscError, DIRECT
MatColoringCreateLargestFirstWeights,PetscRandomSetFromOptions, DIRECT
