CALLER, CALLEE, CALLTYPE
MatCreateMPIAIJPERM,MatCreate, DIRECT
MatCreateMPIAIJPERM,PetscError, DIRECT
MatCreateMPIAIJPERM,MatSetSizes, DIRECT
MatCreateMPIAIJPERM,PetscError, DIRECT
MatCreateMPIAIJPERM,MPI_Comm_size, DIRECT
MatCreateMPIAIJPERM,MPI_Error_string, DIRECT
MatCreateMPIAIJPERM,PetscError, DIRECT
MatCreateMPIAIJPERM,MatSetType, DIRECT
MatCreateMPIAIJPERM,PetscError, DIRECT
MatCreateMPIAIJPERM,MatMPIAIJSetPreallocation, DIRECT
MatCreateMPIAIJPERM,PetscError, DIRECT
MatCreateMPIAIJPERM,MatSetType, DIRECT
MatCreateMPIAIJPERM,PetscError, DIRECT
MatCreateMPIAIJPERM,MatSeqAIJSetPreallocation, DIRECT
MatCreateMPIAIJPERM,PetscError, DIRECT
MatCreateMPIAIJPERM,printf, DIRECT
MatCreateMPIAIJPERM,printf, DIRECT
MatMPIAIJSetPreallocation_MPIAIJPERM,MatMPIAIJSetPreallocation_MPIAIJ, DIRECT
MatMPIAIJSetPreallocation_MPIAIJPERM,PetscError, DIRECT
MatMPIAIJSetPreallocation_MPIAIJPERM,MatConvert_SeqAIJ_SeqAIJPERM, DIRECT
MatMPIAIJSetPreallocation_MPIAIJPERM,PetscError, DIRECT
MatMPIAIJSetPreallocation_MPIAIJPERM,MatConvert_SeqAIJ_SeqAIJPERM, DIRECT
MatMPIAIJSetPreallocation_MPIAIJPERM,PetscError, DIRECT
MatMPIAIJSetPreallocation_MPIAIJPERM,printf, DIRECT
MatMPIAIJSetPreallocation_MPIAIJPERM,printf, DIRECT
MatConvert_MPIAIJ_MPIAIJPERM,MatDuplicate, DIRECT
MatConvert_MPIAIJ_MPIAIJPERM,PetscError, DIRECT
MatConvert_MPIAIJ_MPIAIJPERM,PetscObjectChangeTypeName, DIRECT
MatConvert_MPIAIJ_MPIAIJPERM,PetscError, DIRECT
MatConvert_MPIAIJ_MPIAIJPERM,PetscObjectComposeFunction_Private, DIRECT
MatConvert_MPIAIJ_MPIAIJPERM,PetscError, DIRECT
MatConvert_MPIAIJ_MPIAIJPERM,printf, DIRECT
MatConvert_MPIAIJ_MPIAIJPERM,printf, DIRECT
MatCreate_MPIAIJPERM,MatSetType, DIRECT
MatCreate_MPIAIJPERM,PetscError, DIRECT
MatCreate_MPIAIJPERM,MatConvert_MPIAIJ_MPIAIJPERM, DIRECT
MatCreate_MPIAIJPERM,PetscError, DIRECT
MatCreate_MPIAIJPERM,printf, DIRECT
MatCreate_MPIAIJPERM,printf, DIRECT
