CALLER, CALLEE, CALLTYPE
MatDestroy_MPIAIJCRL,PetscFreeA, DIRECT
MatDestroy_MPIAIJCRL,PetscError, DIRECT
MatDestroy_MPIAIJCRL,VecDestroy, DIRECT
MatDestroy_MPIAIJCRL,PetscError, DIRECT
MatDestroy_MPIAIJCRL,VecDestroy, DIRECT
MatDestroy_MPIAIJCRL,PetscError, DIRECT
MatDestroy_MPIAIJCRL,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJCRL,PetscError, DIRECT
MatDestroy_MPIAIJCRL,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJCRL,PetscError, DIRECT
MatDestroy_MPIAIJCRL,PetscObjectChangeTypeName, DIRECT
MatDestroy_MPIAIJCRL,PetscError, DIRECT
MatDestroy_MPIAIJCRL,MatDestroy_MPIAIJ, DIRECT
MatDestroy_MPIAIJCRL,PetscError, DIRECT
MatDestroy_MPIAIJCRL,printf, DIRECT
MatDestroy_MPIAIJCRL,printf, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscFreeA, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscError, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscMallocA, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscError, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscInfo_Private, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscError, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatMPIAIJCRL_create_aijcrl,PetscError, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscMallocA, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscError, DIRECT
MatMPIAIJCRL_create_aijcrl,VecDestroy, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscError, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscObjectComm, DIRECT
MatMPIAIJCRL_create_aijcrl,VecCreateMPIWithArray, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscError, DIRECT
MatMPIAIJCRL_create_aijcrl,VecDestroy, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscError, DIRECT
MatMPIAIJCRL_create_aijcrl,VecCreateSeqWithArray, DIRECT
MatMPIAIJCRL_create_aijcrl,PetscError, DIRECT
MatMPIAIJCRL_create_aijcrl,printf, DIRECT
MatMPIAIJCRL_create_aijcrl,printf, DIRECT
MatAssemblyEnd_MPIAIJCRL,MatAssemblyEnd_MPIAIJ, DIRECT
MatAssemblyEnd_MPIAIJCRL,PetscError, DIRECT
MatAssemblyEnd_MPIAIJCRL,printf, DIRECT
MatAssemblyEnd_MPIAIJCRL,printf, DIRECT
MatAssemblyEnd_MPIAIJCRL,MatMPIAIJCRL_create_aijcrl, DIRECT
MatAssemblyEnd_MPIAIJCRL,PetscError, DIRECT
MatAssemblyEnd_MPIAIJCRL,printf, DIRECT
MatAssemblyEnd_MPIAIJCRL,printf, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,MatDuplicate, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,PetscError, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,PetscMallocA, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,PetscLogObjectMemory, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,PetscError, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,MatMPIAIJCRL_create_aijcrl, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,PetscError, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,PetscObjectChangeTypeName, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,PetscError, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,printf, DIRECT
MatConvert_MPIAIJ_MPIAIJCRL,printf, DIRECT
MatCreateMPIAIJCRL,MatCreate, DIRECT
MatCreateMPIAIJCRL,PetscError, DIRECT
MatCreateMPIAIJCRL,MatSetSizes, DIRECT
MatCreateMPIAIJCRL,PetscError, DIRECT
MatCreateMPIAIJCRL,MatSetType, DIRECT
MatCreateMPIAIJCRL,PetscError, DIRECT
MatCreateMPIAIJCRL,MatMPIAIJSetPreallocation_MPIAIJ, DIRECT
MatCreateMPIAIJCRL,PetscError, DIRECT
MatCreateMPIAIJCRL,printf, DIRECT
MatCreateMPIAIJCRL,printf, DIRECT
MatCreate_MPIAIJCRL,MatSetType, DIRECT
MatCreate_MPIAIJCRL,PetscError, DIRECT
MatCreate_MPIAIJCRL,MatConvert_MPIAIJ_MPIAIJCRL, DIRECT
MatCreate_MPIAIJCRL,PetscError, DIRECT
MatCreate_MPIAIJCRL,printf, DIRECT
MatCreate_MPIAIJCRL,printf, DIRECT
