CALLER, CALLEE, CALLTYPE
MatFDColoringApply_BAIJ,VecBindToCPU, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,EMPTYNAME = (_p_MatFDColoring->any pointer@i64 688) :: i32 (i8*, %struct._p_Vec*, %struct._p_Vec*, i8*)*, INDIRECT 
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecGetLocalSize, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecNorm, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,sqrt, DIRECT
MatFDColoringApply_BAIJ,VecGetArrayRead, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecGetArray, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecRestoreArrayRead, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecRestoreArray, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecGhostUpdateBegin, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecGhostUpdateEnd, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecDuplicate, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecBindToCPU, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,PetscLogObjectParent, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecGetOwnershipRange, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecGetArray, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecCopy, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecGetArray, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecRestoreArray, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecPlaceArray, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecAXPY, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecResetArray, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,MatAssemblyBegin, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,MatAssemblyEnd, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecRestoreArray, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,VecBindToCPU, DIRECT
MatFDColoringApply_BAIJ,PetscError, DIRECT
MatFDColoringApply_BAIJ,printf, DIRECT
MatFDColoringApply_BAIJ,printf, DIRECT
MatFDColoringApply_AIJ,VecBindToCPU, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscObjectComm, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,EMPTYNAME = (_p_MatFDColoring->any pointer@i64 688) :: i32 (i8*, %struct._p_Vec*, %struct._p_Vec*, i8*)*, INDIRECT 
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecNorm, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,sqrt, DIRECT
MatFDColoringApply_AIJ,VecGetLocalSize, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecGetArrayRead, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecGetArray, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecRestoreArrayRead, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecRestoreArray, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecGhostUpdateBegin, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecGhostUpdateEnd, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecDuplicate, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscLogObjectParent, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecGetOwnershipRange, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecGetArray, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecCopy, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecGetArray, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecRestoreArray, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecPlaceArray, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecAXPY, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecResetArray, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecCopy, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecGetArray, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecRestoreArray, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatFDColoringApply_AIJ,PetscError, DIRECT
MatFDColoringApply_AIJ,VecAXPY, DIRECT
MatFDColoringApply_AIJ,PetscError, DIRECT
