CALLER, CALLEE, CALLTYPE
MatView_MPIAIJ_PtAP,PetscError, DIRECT
MatView_MPIAIJ_PtAP,PetscObjectTypeCompare, DIRECT
MatView_MPIAIJ_PtAP,PetscError, DIRECT
MatView_MPIAIJ_PtAP,PetscViewerGetFormat, DIRECT
MatView_MPIAIJ_PtAP,PetscError, DIRECT
MatView_MPIAIJ_PtAP,PetscViewerASCIIPrintf, DIRECT
MatView_MPIAIJ_PtAP,PetscError, DIRECT
MatView_MPIAIJ_PtAP,PetscViewerASCIIPrintf, DIRECT
MatView_MPIAIJ_PtAP,PetscError, DIRECT
MatView_MPIAIJ_PtAP,PetscViewerASCIIPrintf, DIRECT
MatView_MPIAIJ_PtAP,PetscError, DIRECT
MatView_MPIAIJ_PtAP,PetscViewerASCIIPrintf, DIRECT
MatView_MPIAIJ_PtAP,PetscError, DIRECT
MatView_MPIAIJ_PtAP,printf, DIRECT
MatView_MPIAIJ_PtAP,printf, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscFreeA, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,MatDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,MatDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,MatDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,MatDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,MatDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscFreeA, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,MatDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,MatDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,MatDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,MatDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscLayoutDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,ISLocalToGlobalMappingDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscSFDestroy, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_MPIAIJ_PtAP,PetscError, DIRECT
MatDestroy_MPIAIJ_PtAP,printf, DIRECT
MatDestroy_MPIAIJ_PtAP,printf, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscObjectComm, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscObjectComm, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatZeroEntries, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatTranspose, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatTranspose, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatGetBrowsOfAoCols_MPIAIJ, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatMPIAIJGetLocalMat, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,ISLocalToGlobalMappingApply, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscLogFlops, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscLogFlops, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,ISGlobalToLocalMappingApply, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatMatMultNumeric_SeqAIJ_SeqAIJ_Scalable, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatMatMultNumeric_SeqAIJ_SeqAIJ_Scalable, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatGetOwnershipRange, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,ISLocalToGlobalMappingApply, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatSetValues_MPIAIJ, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatSetValues_MPIAIJ_CopyFromCSRFormat, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,ISGlobalToLocalMappingApply, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,ISLocalToGlobalMappingApply, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatSetValues, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatAssemblyBegin, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,MatAssemblyEnd, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,ISGlobalToLocalMappingApply, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,printf, DIRECT
MatPtAPNumeric_MPIAIJ_MPIAIJ_scalable,printf, DIRECT
PetscMemzero,PetscError, DIRECT
PetscLogFlops,PetscError, DIRECT
PetscLogFlops,printf, DIRECT
PetscLogFlops,printf, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscObjectComm, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscObjectGetComm, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MPI_Comm_size, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MPI_Error_string, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MPI_Comm_rank, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MPI_Error_string, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MatGetType, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MatSetType, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscMallocA, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MatGetBrowsOfAoCols_MPIAIJ, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MatMPIAIJGetLocalMat, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MatTranspose, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,MatTranspose, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscError, DIRECT
MatPtAPSymbolic_MPIAIJ_MPIAIJ_scalable,PetscTableCreate, DIRECT
