CALLER, CALLEE, CALLTYPE
MatConvert_SeqAIJSELL_SeqAIJ,MatDuplicate, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,PetscError, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,PetscObjectComposeFunction_Private, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,PetscError, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,MatDestroy, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,PetscError, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatConvert_SeqAIJSELL_SeqAIJ,PetscError, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,PetscObjectChangeTypeName, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,PetscError, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,printf, DIRECT
MatConvert_SeqAIJSELL_SeqAIJ,printf, DIRECT
MatDestroy_SeqAIJSELL,MatDestroy, DIRECT
MatDestroy_SeqAIJSELL,PetscError, DIRECT
MatDestroy_SeqAIJSELL,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_SeqAIJSELL,PetscError, DIRECT
MatDestroy_SeqAIJSELL,PetscObjectChangeTypeName, DIRECT
MatDestroy_SeqAIJSELL,PetscError, DIRECT
MatDestroy_SeqAIJSELL,MatDestroy_SeqAIJ, DIRECT
MatDestroy_SeqAIJSELL,PetscError, DIRECT
MatDestroy_SeqAIJSELL,printf, DIRECT
MatDestroy_SeqAIJSELL,printf, DIRECT
MatSeqAIJSELL_build_shadow,PetscObjectStateGet, DIRECT
MatSeqAIJSELL_build_shadow,PetscError, DIRECT
MatSeqAIJSELL_build_shadow,printf, DIRECT
MatSeqAIJSELL_build_shadow,printf, DIRECT
MatSeqAIJSELL_build_shadow,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatSeqAIJSELL_build_shadow,PetscError, DIRECT
MatSeqAIJSELL_build_shadow,MatConvert_SeqAIJ_SeqSELL, DIRECT
MatSeqAIJSELL_build_shadow,PetscError, DIRECT
MatSeqAIJSELL_build_shadow,MatConvert_SeqAIJ_SeqSELL, DIRECT
MatSeqAIJSELL_build_shadow,PetscError, DIRECT
MatSeqAIJSELL_build_shadow,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatSeqAIJSELL_build_shadow,PetscError, DIRECT
MatSeqAIJSELL_build_shadow,PetscObjectStateGet, DIRECT
MatSeqAIJSELL_build_shadow,PetscError, DIRECT
MatSeqAIJSELL_build_shadow,printf, DIRECT
MatSeqAIJSELL_build_shadow,printf, DIRECT
MatDuplicate_SeqAIJSELL,MatDuplicate_SeqAIJ, DIRECT
MatDuplicate_SeqAIJSELL,PetscError, DIRECT
MatDuplicate_SeqAIJSELL,PetscError, DIRECT
MatDuplicate_SeqAIJSELL,PetscError, DIRECT
MatDuplicate_SeqAIJSELL,PetscError, DIRECT
MatDuplicate_SeqAIJSELL,printf, DIRECT
MatDuplicate_SeqAIJSELL,printf, DIRECT
MatDuplicate_SeqAIJSELL,PetscError, DIRECT
