CALLER, CALLEE, CALLTYPE
MatDestroy_SeqAIJCRL,PetscFreeA, DIRECT
MatDestroy_SeqAIJCRL,PetscError, DIRECT
MatDestroy_SeqAIJCRL,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_SeqAIJCRL,PetscError, DIRECT
MatDestroy_SeqAIJCRL,PetscObjectChangeTypeName, DIRECT
MatDestroy_SeqAIJCRL,PetscError, DIRECT
MatDestroy_SeqAIJCRL,MatDestroy_SeqAIJ, DIRECT
MatDestroy_SeqAIJCRL,PetscError, DIRECT
MatDestroy_SeqAIJCRL,printf, DIRECT
MatDestroy_SeqAIJCRL,printf, DIRECT
MatDuplicate_AIJCRL,PetscError, DIRECT
MatSeqAIJCRL_create_aijcrl,PetscFreeA, DIRECT
MatSeqAIJCRL_create_aijcrl,PetscError, DIRECT
MatSeqAIJCRL_create_aijcrl,PetscMallocA, DIRECT
MatSeqAIJCRL_create_aijcrl,PetscError, DIRECT
MatSeqAIJCRL_create_aijcrl,PetscInfo_Private, DIRECT
MatSeqAIJCRL_create_aijcrl,PetscError, DIRECT
MatSeqAIJCRL_create_aijcrl,printf, DIRECT
MatSeqAIJCRL_create_aijcrl,printf, DIRECT
MatAssemblyEnd_SeqAIJCRL,MatAssemblyEnd_SeqAIJ, DIRECT
MatAssemblyEnd_SeqAIJCRL,PetscError, DIRECT
MatAssemblyEnd_SeqAIJCRL,printf, DIRECT
MatAssemblyEnd_SeqAIJCRL,printf, DIRECT
MatAssemblyEnd_SeqAIJCRL,MatSeqAIJCRL_create_aijcrl, DIRECT
MatAssemblyEnd_SeqAIJCRL,PetscError, DIRECT
MatAssemblyEnd_SeqAIJCRL,printf, DIRECT
MatAssemblyEnd_SeqAIJCRL,printf, DIRECT
MatMult_AIJCRL,VecCopy, DIRECT
MatMult_AIJCRL,PetscError, DIRECT
MatMult_AIJCRL,VecScatterBegin, DIRECT
MatMult_AIJCRL,PetscError, DIRECT
MatMult_AIJCRL,VecScatterEnd, DIRECT
MatMult_AIJCRL,PetscError, DIRECT
MatMult_AIJCRL,VecGetArrayRead, DIRECT
MatMult_AIJCRL,PetscError, DIRECT
MatMult_AIJCRL,VecGetArray, DIRECT
MatMult_AIJCRL,PetscError, DIRECT
MatMult_AIJCRL,printf, DIRECT
MatMult_AIJCRL,printf, DIRECT
MatMult_AIJCRL,PetscError, DIRECT
MatMult_AIJCRL,PetscError, DIRECT
MatMult_AIJCRL,VecRestoreArrayRead, DIRECT
MatMult_AIJCRL,PetscError, DIRECT
MatMult_AIJCRL,VecRestoreArray, DIRECT
MatMult_AIJCRL,PetscError, DIRECT
MatMult_AIJCRL,printf, DIRECT
MatMult_AIJCRL,printf, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,MatDuplicate, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,PetscError, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,PetscObjectTypeCompare, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,PetscError, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,printf, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,printf, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,PetscMallocA, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,PetscLogObjectMemory, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,PetscError, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,MatSeqAIJCRL_create_aijcrl, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,PetscError, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,PetscObjectChangeTypeName, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,PetscError, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,printf, DIRECT
MatConvert_SeqAIJ_SeqAIJCRL,printf, DIRECT
MatCreateSeqAIJCRL,MatCreate, DIRECT
MatCreateSeqAIJCRL,PetscError, DIRECT
MatCreateSeqAIJCRL,MatSetSizes, DIRECT
MatCreateSeqAIJCRL,PetscError, DIRECT
MatCreateSeqAIJCRL,MatSetType, DIRECT
MatCreateSeqAIJCRL,PetscError, DIRECT
MatCreateSeqAIJCRL,MatSeqAIJSetPreallocation_SeqAIJ, DIRECT
MatCreateSeqAIJCRL,PetscError, DIRECT
MatCreateSeqAIJCRL,printf, DIRECT
MatCreateSeqAIJCRL,printf, DIRECT
MatCreate_SeqAIJCRL,MatSetType, DIRECT
MatCreate_SeqAIJCRL,PetscError, DIRECT
MatCreate_SeqAIJCRL,MatConvert_SeqAIJ_SeqAIJCRL, DIRECT
MatCreate_SeqAIJCRL,PetscError, DIRECT
MatCreate_SeqAIJCRL,printf, DIRECT
MatCreate_SeqAIJCRL,printf, DIRECT
