CALLER, CALLEE, CALLTYPE
MatDestroy_SeqAIJ_MatMatMatMult,MatDestroy, DIRECT
MatDestroy_SeqAIJ_MatMatMatMult,PetscError, DIRECT
MatDestroy_SeqAIJ_MatMatMatMult,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_SeqAIJ_MatMatMatMult,PetscError, DIRECT
MatDestroy_SeqAIJ_MatMatMatMult,printf, DIRECT
MatDestroy_SeqAIJ_MatMatMatMult,printf, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscObjectComm, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,MatCreate, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,MatMatMultSymbolic_SeqAIJ_SeqAIJ, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscStrallocpy, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,MatProductSetAlgorithm, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,MatMatMultSymbolic_SeqAIJ_SeqAIJ, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,MatProductSetAlgorithm, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscMallocA, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,printf, DIRECT
MatMatMatMultSymbolic_SeqAIJ_SeqAIJ_SeqAIJ,printf, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscObjectComm, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscObjectComm, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscObjectComm, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,EMPTYNAME = (_MatOps->any pointer@i64 728) :: i32 (%struct._p_Mat*, %struct._p_Mat*, %struct._p_Mat*)*, INDIRECT 
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscObjectComm, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,EMPTYNAME = (_MatOps->any pointer@i64 728) :: i32 (%struct._p_Mat*, %struct._p_Mat*, %struct._p_Mat*)*, INDIRECT 
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,PetscError, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,printf, DIRECT
MatMatMatMultNumeric_SeqAIJ_SeqAIJ_SeqAIJ,printf, DIRECT
