CALLER, CALLEE, CALLTYPE
MatConvert_SeqBAIJ_SeqAIJ,PetscMallocA, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscObjectComm, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatCreate, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatSetType, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatSetSizes, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatSetBlockSizes, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatSeqAIJSetPreallocation, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatSetOption, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscMallocA, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscMallocA, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatSetValues, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatAssemblyBegin, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatAssemblyEnd, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatSetOption, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,MatHeaderReplace, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,PetscError, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,printf, DIRECT
MatConvert_SeqBAIJ_SeqAIJ,printf, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscMallocA, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscObjectComm, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,MatCreate, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,MatSetSizes, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,MatSetType, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,MatSeqBAIJSetPreallocation, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscMemcpy, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscMemcpy, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscMemcpy, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscMemcpy, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,MatSetOption, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,MatAssemblyBegin, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,MatAssemblyEnd, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,MatConvert_Basic, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,MatHeaderReplace, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,PetscError, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,printf, DIRECT
MatConvert_SeqAIJ_SeqBAIJ,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
