CALLER, CALLEE, CALLTYPE
MatSolveTranspose_SeqBAIJ_2_inplace,VecGetArrayRead, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,VecGetArray, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,ISGetIndices, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,ISGetIndices, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,ISRestoreIndices, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,ISRestoreIndices, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,VecRestoreArrayRead, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,VecRestoreArray, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscLogFlops, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,printf, DIRECT
MatSolveTranspose_SeqBAIJ_2_inplace,printf, DIRECT
PetscLogFlops,PetscError, DIRECT
PetscLogFlops,printf, DIRECT
PetscLogFlops,printf, DIRECT
MatSolveTranspose_SeqBAIJ_2,VecGetArrayRead, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2,VecGetArray, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2,ISGetIndices, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2,ISGetIndices, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2,ISRestoreIndices, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2,ISRestoreIndices, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2,VecRestoreArrayRead, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2,VecRestoreArray, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscLogFlops, DIRECT
MatSolveTranspose_SeqBAIJ_2,PetscError, DIRECT
MatSolveTranspose_SeqBAIJ_2,printf, DIRECT
MatSolveTranspose_SeqBAIJ_2,printf, DIRECT
