CALLER, CALLEE, CALLTYPE
MatGetDiagonal_ConstantDiagonal,VecSet, DIRECT
MatGetDiagonal_ConstantDiagonal,PetscError, DIRECT
MatGetDiagonal_ConstantDiagonal,printf, DIRECT
MatGetDiagonal_ConstantDiagonal,printf, DIRECT
MatSOR_ConstantDiagonal,VecAXPBY, DIRECT
MatSOR_ConstantDiagonal,PetscError, DIRECT
MatSOR_ConstantDiagonal,printf, DIRECT
MatSOR_ConstantDiagonal,printf, DIRECT
MatGetInfo_ConstantDiagonal,printf, DIRECT
MatGetInfo_ConstantDiagonal,printf, DIRECT
MatCreateConstantDiagonal,MatCreate, DIRECT
MatCreateConstantDiagonal,PetscError, DIRECT
MatCreateConstantDiagonal,MatSetSizes, DIRECT
MatCreateConstantDiagonal,PetscError, DIRECT
MatCreateConstantDiagonal,MatSetType, DIRECT
MatCreateConstantDiagonal,PetscError, DIRECT
MatCreateConstantDiagonal,MatShift, DIRECT
MatCreateConstantDiagonal,PetscError, DIRECT
MatCreateConstantDiagonal,MatSetUp, DIRECT
MatCreateConstantDiagonal,PetscError, DIRECT
MatCreateConstantDiagonal,printf, DIRECT
MatCreateConstantDiagonal,printf, DIRECT
MatCreate_ConstantDiagonal,PetscMallocA, DIRECT
MatCreate_ConstantDiagonal,PetscError, DIRECT
MatCreate_ConstantDiagonal,PetscObjectChangeTypeName, DIRECT
MatCreate_ConstantDiagonal,PetscError, DIRECT
MatCreate_ConstantDiagonal,printf, DIRECT
MatCreate_ConstantDiagonal,printf, DIRECT
MatMult_ConstantDiagonal,VecAXPBY, DIRECT
MatMult_ConstantDiagonal,PetscError, DIRECT
MatMult_ConstantDiagonal,printf, DIRECT
MatMult_ConstantDiagonal,printf, DIRECT
MatMultAdd_ConstantDiagonal,VecAXPBY, DIRECT
MatMultAdd_ConstantDiagonal,PetscError, DIRECT
MatMultAdd_ConstantDiagonal,VecAXPBYPCZ, DIRECT
MatMultAdd_ConstantDiagonal,PetscError, DIRECT
MatMultAdd_ConstantDiagonal,printf, DIRECT
MatMultAdd_ConstantDiagonal,printf, DIRECT
MatMultTranspose_ConstantDiagonal,VecAXPBY, DIRECT
MatMultTranspose_ConstantDiagonal,PetscError, DIRECT
MatMultTranspose_ConstantDiagonal,printf, DIRECT
MatMultTranspose_ConstantDiagonal,printf, DIRECT
MatMultTransposeAdd_ConstantDiagonal,VecAXPBY, DIRECT
