CALLER, CALLEE, CALLTYPE
MatMult_Centering,VecSum, DIRECT
MatMult_Centering,PetscError, DIRECT
MatMult_Centering,VecGetSize, DIRECT
MatMult_Centering,PetscError, DIRECT
MatMult_Centering,VecGetArrayRead, DIRECT
MatMult_Centering,PetscError, DIRECT
MatMult_Centering,VecGetArray, DIRECT
MatMult_Centering,PetscError, DIRECT
MatMult_Centering,VecRestoreArrayRead, DIRECT
MatMult_Centering,PetscError, DIRECT
MatMult_Centering,VecRestoreArray, DIRECT
MatMult_Centering,PetscError, DIRECT
MatMult_Centering,printf, DIRECT
MatMult_Centering,printf, DIRECT
MatCreateCentering,MatCreate, DIRECT
MatCreateCentering,PetscError, DIRECT
MatCreateCentering,MatSetSizes, DIRECT
MatCreateCentering,PetscError, DIRECT
MatCreateCentering,MPI_Comm_size, DIRECT
MatCreateCentering,MPI_Error_string, DIRECT
MatCreateCentering,PetscError, DIRECT
MatCreateCentering,PetscObjectChangeTypeName, DIRECT
MatCreateCentering,PetscError, DIRECT
MatCreateCentering,MatSetUp, DIRECT
MatCreateCentering,PetscError, DIRECT
MatCreateCentering,printf, DIRECT
MatCreateCentering,printf, DIRECT
