CALLER, CALLEE, CALLTYPE
matcreatecomposite_,MPI_Comm_f2c, DIRECT
matcreatecomposite_,MatCreateComposite, DIRECT
matcompositeaddmat_,MatCompositeAddMat, DIRECT
matcompositesettype_,MatCompositeSetType, DIRECT
matcompositegettype_,MatCompositeGetType, DIRECT
matcompositesetmatstructure_,MatCompositeSetMatStructure, DIRECT
matcompositegetmatstructure_,MatCompositeGetMatStructure, DIRECT
matcompositesetmergetype_,MatCompositeSetMergeType, DIRECT
matcompositemerge_,MatCompositeMerge, DIRECT
matcompositegetnumbermat_,MatCompositeGetNumberMat, DIRECT
matcompositegetmat_,MatCompositeGetMat, DIRECT
matcompositesetscalings_,MatCompositeSetScalings, DIRECT
