CALLER, CALLEE, CALLTYPE
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscCheckPointer, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscCheckPointer, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscCheckPointer, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscCheckPointer, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscObjectComm, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,MatCreate, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISGetLocalSize, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISGetLocalSize, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,MatSetSizes, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscObjectChangeTypeName, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,MatSetUp, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscMallocA, DIRECT
MatCreateLocalRef,PetscLogObjectMemory, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscObjectTypeCompare, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISL2GCompose, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscObjectReference, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISL2GCompose, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscObjectTypeCompare, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscObjectTypeCompare, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,MatSetLocalToGlobalMapping, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISLocalToGlobalMappingDestroy, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISLocalToGlobalMappingDestroy, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,MatGetBlockSizes, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISGetBlockSize, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISGetBlockSize, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscLayoutSetBlockSize, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscLayoutSetBlockSize, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISL2GComposeBlock, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,PetscObjectReference, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISL2GComposeBlock, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,MatSetLocalToGlobalMapping, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISLocalToGlobalMappingDestroy, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,ISLocalToGlobalMappingDestroy, DIRECT
MatCreateLocalRef,PetscError, DIRECT
MatCreateLocalRef,printf, DIRECT
MatCreateLocalRef,printf, DIRECT
