CALLER, CALLEE, CALLTYPE
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,MatGetSize, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,MatAssemblyBegin, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,MatAssemblyEnd, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,printf, DIRECT
MatProductNumeric_Nest_Dense,printf, DIRECT
MatProductNumeric_Nest_Dense,PetscObjectComm, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,MatDenseGetLDA, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,MatDenseGetLDA, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,MatZeroEntries, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,MatDenseGetArrayRead, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,MatDenseGetArray, DIRECT
MatProductNumeric_Nest_Dense,ISGetSize, DIRECT
MatProductNumeric_Nest_Dense,PetscObjectComm, DIRECT
MatProductNumeric_Nest_Dense,MatCreateDense, DIRECT
MatProductNumeric_Nest_Dense,MatDenseSetLDA, DIRECT
MatProductNumeric_Nest_Dense,ISGetSize, DIRECT
MatProductNumeric_Nest_Dense,PetscObjectComm, DIRECT
MatProductNumeric_Nest_Dense,MatCreateDense, DIRECT
MatProductNumeric_Nest_Dense,MatDenseSetLDA, DIRECT
MatProductNumeric_Nest_Dense,MatProductNumeric, DIRECT
MatProductNumeric_Nest_Dense,MatDestroy, DIRECT
MatProductNumeric_Nest_Dense,MatAXPY, DIRECT
MatProductNumeric_Nest_Dense,MatDestroy, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,ISGetSize, DIRECT
MatProductNumeric_Nest_Dense,PetscError, DIRECT
MatProductNumeric_Nest_Dense,PetscObjectComm, DIRECT
