CALLER, CALLEE, CALLTYPE
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMallocA, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMallocA, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMallocA, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,ISGetIndices, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMallocA, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMemcpy, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMallocA, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMemcpy, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMemcpy, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscLogFlops, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMemcpy, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscLogFlops, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscMemcpy, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscKernel_A_gets_inverse_A_3, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscFreeA, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscFreeA, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,ISRestoreIndices, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscLogFlops, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,PetscError, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,printf, DIRECT
MatCholeskyFactorNumeric_SeqSBAIJ_3,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
PetscLogFlops,PetscError, DIRECT
PetscLogFlops,printf, DIRECT
PetscLogFlops,printf, DIRECT
