CALLER, CALLEE, CALLTYPE
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscCheckPointer, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscCheckPointer, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscCheckPointer, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscCheckPointer, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscObjectComm, DIRECT
MatCreateSubMatrixVirtual,MatCreate, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,ISGetLocalSize, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,ISGetLocalSize, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,MatSetSizes, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscObjectChangeTypeName, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscMallocA, DIRECT
MatCreateSubMatrixVirtual,PetscLogObjectMemory, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscObjectReference, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscObjectReference, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscStrallocpy, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,MatConvertFrom_Shell, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,MatSetBlockSizesFromMats, DIRECT
MatCreateSubMatrixVirtual,PetscError, DIRECT
MatCreateSubMatrixVirtual,PetscLayoutSetUp, DIRECT
