CALLER, CALLEE, CALLTYPE
MatMult_HT,MatMultHermitianTranspose, DIRECT
MatMult_HT,PetscError, DIRECT
MatMult_HT,printf, DIRECT
MatMult_HT,printf, DIRECT
MatMultAdd_HT,MatMultHermitianTransposeAdd, DIRECT
MatMultAdd_HT,PetscError, DIRECT
MatMultAdd_HT,printf, DIRECT
MatMultAdd_HT,printf, DIRECT
MatMultHermitianTranspose_HT,MatMult, DIRECT
MatMultHermitianTranspose_HT,PetscError, DIRECT
MatMultHermitianTranspose_HT,printf, DIRECT
MatMultHermitianTranspose_HT,printf, DIRECT
MatMultHermitianTransposeAdd_HT,MatMultAdd, DIRECT
MatMultHermitianTransposeAdd_HT,PetscError, DIRECT
MatMultHermitianTransposeAdd_HT,printf, DIRECT
MatMultHermitianTransposeAdd_HT,printf, DIRECT
MatDestroy_HT,MatDestroy, DIRECT
MatDestroy_HT,PetscError, DIRECT
MatDestroy_HT,PetscObjectComposeFunction_Private, DIRECT
MatDestroy_HT,PetscError, DIRECT
MatDestroy_HT,PetscObjectComposeFunction_Private, DIRECT
MatDestroy_HT,PetscError, DIRECT
MatDestroy_HT,PetscObjectComposeFunction_Private, DIRECT
MatDestroy_HT,PetscError, DIRECT
MatDestroy_HT,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_HT,PetscError, DIRECT
MatDestroy_HT,printf, DIRECT
MatDestroy_HT,printf, DIRECT
MatDuplicate_HT,MatHermitianTranspose, DIRECT
MatDuplicate_HT,PetscError, DIRECT
MatDuplicate_HT,MatDuplicate, DIRECT
MatDuplicate_HT,PetscError, DIRECT
MatDuplicate_HT,MatHermitianTranspose, DIRECT
MatDuplicate_HT,PetscError, DIRECT
MatDuplicate_HT,PetscObjectComm, DIRECT
MatDuplicate_HT,PetscError, DIRECT
MatDuplicate_HT,printf, DIRECT
MatDuplicate_HT,printf, DIRECT
MatCreateVecs_HT,MatCreateVecs, DIRECT
MatCreateVecs_HT,PetscError, DIRECT
MatCreateVecs_HT,printf, DIRECT
MatCreateVecs_HT,printf, DIRECT
MatAXPY_HT,MatAXPY, DIRECT
MatAXPY_HT,PetscError, DIRECT
MatAXPY_HT,printf, DIRECT
MatAXPY_HT,printf, DIRECT
MatHermitianTransposeGetMat_HT,printf, DIRECT
MatHermitianTransposeGetMat_HT,printf, DIRECT
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,PetscCheckPointer, DIRECT
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,PetscCheckPointer, DIRECT
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,PetscObjectQueryFunction_Private, DIRECT
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_Mat*, %struct._p_Mat**)*, INDIRECT 
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,PetscObjectComm, DIRECT
MatHermitianTransposeGetMat,PetscError, DIRECT
MatHermitianTransposeGetMat,printf, DIRECT
MatHermitianTransposeGetMat,printf, DIRECT
MatGetDiagonal_HT,MatGetDiagonal, DIRECT
MatGetDiagonal_HT,PetscError, DIRECT
MatGetDiagonal_HT,VecConjugate, DIRECT
MatGetDiagonal_HT,PetscError, DIRECT
MatGetDiagonal_HT,printf, DIRECT
MatGetDiagonal_HT,printf, DIRECT
MatConvert_HT,MatHermitianTranspose, DIRECT
MatConvert_HT,PetscError, DIRECT
MatConvert_HT,MatConvert, DIRECT
MatConvert_HT,PetscError, DIRECT
MatConvert_HT,MatDestroy, DIRECT
MatConvert_HT,PetscError, DIRECT
MatConvert_HT,MatConvert, DIRECT
MatConvert_HT,PetscError, DIRECT
MatConvert_HT,MatHeaderReplace, DIRECT
MatConvert_HT,PetscError, DIRECT
MatConvert_HT,printf, DIRECT
MatConvert_HT,printf, DIRECT
MatCreateHermitianTranspose,MatGetLocalSize, DIRECT
MatCreateHermitianTranspose,PetscError, DIRECT
MatCreateHermitianTranspose,PetscObjectComm, DIRECT
MatCreateHermitianTranspose,MatCreate, DIRECT
MatCreateHermitianTranspose,PetscError, DIRECT
MatCreateHermitianTranspose,MatSetSizes, DIRECT
MatCreateHermitianTranspose,PetscError, DIRECT
MatCreateHermitianTranspose,PetscLayoutSetUp, DIRECT
MatCreateHermitianTranspose,PetscError, DIRECT
MatCreateHermitianTranspose,PetscLayoutSetUp, DIRECT
MatCreateHermitianTranspose,PetscError, DIRECT
MatCreateHermitianTranspose,PetscObjectChangeTypeName, DIRECT
MatCreateHermitianTranspose,PetscError, DIRECT
MatCreateHermitianTranspose,PetscMallocA, DIRECT
