CALLER, CALLEE, CALLTYPE
MatFinalizePackage,MatSolverTypeDestroy, DIRECT
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscFunctionListDestroy, DIRECT
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscFunctionListDestroy, DIRECT
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscFunctionListDestroy, DIRECT
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscFunctionListDestroy, DIRECT
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscFunctionListDestroy, DIRECT
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,PetscFunctionListDestroy, DIRECT
MatFinalizePackage,PetscError, DIRECT
MatFinalizePackage,printf, DIRECT
MatFinalizePackage,printf, DIRECT
MatInitializePackage,printf, DIRECT
MatInitializePackage,printf, DIRECT
MatInitializePackage,MatMFFDInitializePackage, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscClassIdRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscClassIdRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscClassIdRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscClassIdRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscClassIdRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscClassIdRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscClassIdRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,MatRegisterAll, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,MatOrderingRegisterAll, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,MatColoringRegisterAll, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,MatPartitioningRegisterAll, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,MatCoarsenRegisterAll, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,MatSeqAIJRegisterAll, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
MatInitializePackage,PetscLogEventRegister, DIRECT
MatInitializePackage,PetscError, DIRECT
