CALLER, CALLEE, CALLTYPE
matgetvalues_,MatGetValues, DIRECT
matgetvalues0_,MatGetValues, DIRECT
matgetvaluesnn1_,MatGetValues, DIRECT
matgetvaluesnnnn_,MatGetValues, DIRECT
matgetvalues11_,MatGetValues, DIRECT
matgetvalues1n_,MatGetValues, DIRECT
matgetvaluesn1_,MatGetValues, DIRECT
matgetownershiprange_,PetscError, DIRECT
matgetownershiprange_,PetscError, DIRECT
matgetownershiprange_,MatGetOwnershipRange, DIRECT
matgetownershiprange00_,PetscError, DIRECT
matgetownershiprange00_,PetscError, DIRECT
matgetownershiprange00_,MatGetOwnershipRange, DIRECT
matgetownershiprange10_,PetscError, DIRECT
matgetownershiprange10_,PetscError, DIRECT
matgetownershiprange10_,MatGetOwnershipRange, DIRECT
matgetownershiprange01_,PetscError, DIRECT
matgetownershiprange01_,PetscError, DIRECT
matgetownershiprange01_,MatGetOwnershipRange, DIRECT
matgetownershiprange11_,PetscError, DIRECT
matgetownershiprange11_,PetscError, DIRECT
matgetownershiprange11_,MatGetOwnershipRange, DIRECT
matgetownershipis_,PetscError, DIRECT
matgetownershipis_,PetscError, DIRECT
matgetownershipis_,MatGetOwnershipIS, DIRECT
matgetownershiprangecolumn_,PetscError, DIRECT
matgetownershiprangecolumn_,PetscError, DIRECT
matgetownershiprangecolumn_,MatGetOwnershipRangeColumn, DIRECT
matgetsize_,PetscError, DIRECT
matgetsize_,PetscError, DIRECT
matgetsize_,MatGetSize, DIRECT
matgetsize00_,matgetsize_, DIRECT
matgetsize10_,matgetsize_, DIRECT
matgetsize01_,matgetsize_, DIRECT
matgetlocalsize_,PetscError, DIRECT
matgetlocalsize_,PetscError, DIRECT
matgetlocalsize_,MatGetLocalSize, DIRECT
matgetlocalsize00_,matgetlocalsize_, DIRECT
matgetlocalsize10_,matgetlocalsize_, DIRECT
matgetlocalsize01_,matgetlocalsize_, DIRECT
matsetvaluesblocked_,MatSetValuesBlocked, DIRECT
matsetvaluesblocked2_,F90Array2dAccess, DIRECT
matsetvaluesblocked2_,MatSetValuesBlocked, DIRECT
matsetvaluesblocked0_,MatSetValuesBlocked, DIRECT
matsetvaluesblocked11_,MatSetValuesBlocked, DIRECT
matsetvaluesblocked111_,MatSetValuesBlocked, DIRECT
matsetvaluesblocked1n_,MatSetValuesBlocked, DIRECT
matsetvaluesblockedn1_,MatSetValuesBlocked, DIRECT
matsetvaluesblockedlocal_,MatSetValuesBlockedLocal, DIRECT
matsetvaluesblockedlocal0_,MatSetValuesBlockedLocal, DIRECT
matsetvaluesblockedlocal11_,MatSetValuesBlockedLocal, DIRECT
matsetvaluesblockedlocal111_,MatSetValuesBlockedLocal, DIRECT
matsetvaluesblockedlocal1n_,MatSetValuesBlockedLocal, DIRECT
matsetvaluesblockedlocaln1_,MatSetValuesBlockedLocal, DIRECT
matsetvalues_,MatSetValues, DIRECT
matsetvaluesnnnn_,MatSetValues, DIRECT
matsetvalues0_,MatSetValues, DIRECT
matsetvaluesnn1_,MatSetValues, DIRECT
matsetvalues11_,MatSetValues, DIRECT
matsetvaluesn1_,MatSetValues, DIRECT
matsetvalues1n_,MatSetValues, DIRECT
matsetvalueslocal_,MatSetValuesLocal, DIRECT
matsetvalueslocal0_,MatSetValuesLocal, DIRECT
matsetvalueslocal11_,MatSetValuesLocal, DIRECT
matsetvalueslocal11nn_,MatSetValuesLocal, DIRECT
matsetvalueslocal111_,MatSetValuesLocal, DIRECT
matsetvalueslocal1n_,MatSetValuesLocal, DIRECT
matsetvalueslocaln1_,MatSetValuesLocal, DIRECT
matgetrowmin_,PetscError, DIRECT
matgetrowmin_,MatGetRowMin, DIRECT
matgetrowminabs_,PetscError, DIRECT
matgetrowminabs_,MatGetRowMinAbs, DIRECT
matgetrowmax_,PetscError, DIRECT
matgetrowmax_,MatGetRowMax, DIRECT
matgetrowmaxabs_,PetscError, DIRECT
matgetrowmaxabs_,MatGetRowMaxAbs, DIRECT
matnullspacesetfunction_,PetscTrMalloc = (any pointer->any pointer@i64 0) :: i32 (i64, i32, i32, i8*, i8*, i8**)*, INDIRECT 
matnullspacesetfunction_,PetscError, DIRECT
matnullspacesetfunction_,MatNullSpaceSetFunction, DIRECT
ournullfunction,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_MatNullSpace**, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ournullfunction,PetscError, DIRECT
matcreatevecs_,PetscError, DIRECT
matcreatevecs_,PetscError, DIRECT
matcreatevecs_,MatCreateVecs, DIRECT
matgetrowij_,MatGetRowIJ, DIRECT
matgetrowij_,PetscIntAddressToFortran, DIRECT
matgetrowij_,PetscIntAddressToFortran, DIRECT
matrestorerowij_,PetscIntAddressFromFortran, DIRECT
matrestorerowij_,PetscIntAddressFromFortran, DIRECT
matrestorerowij_,MatRestoreRowIJ, DIRECT
matgetrow_,PetscError, DIRECT
matgetrow_,PetscError, DIRECT
matgetrow_,PetscError, DIRECT
matgetrow_,MatGetRow, DIRECT
matgetrow_,PetscMemcpy, DIRECT
matgetrow_,PetscMemcpy, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
matrestorerow_,PetscError, DIRECT
matrestorerow_,PetscError, DIRECT
matrestorerow_,PetscError, DIRECT
matrestorerow_,MatRestoreRow, DIRECT
matview_,PETSC_VIEWER_DRAW_, DIRECT
matview_,PETSC_VIEWER_DRAW_, DIRECT
matview_,PETSC_VIEWER_STDOUT_, DIRECT
matview_,PETSC_VIEWER_STDOUT_, DIRECT
matview_,PETSC_VIEWER_STDERR_, DIRECT
matview_,PETSC_VIEWER_STDERR_, DIRECT
matview_,PETSC_VIEWER_BINARY_, DIRECT
matview_,PETSC_VIEWER_BINARY_, DIRECT
matview_,PETSC_VIEWER_BINARY_, DIRECT
matview_,PETSC_VIEWER_BINARY_, DIRECT
matview_,PETSC_VIEWER_SOCKET_, DIRECT
matview_,PETSC_VIEWER_SOCKET_, DIRECT
matview_,MatView, DIRECT
matload_,PETSC_VIEWER_DRAW_, DIRECT
matload_,PETSC_VIEWER_DRAW_, DIRECT
matload_,PETSC_VIEWER_STDOUT_, DIRECT
matload_,PETSC_VIEWER_STDOUT_, DIRECT
matload_,PETSC_VIEWER_STDERR_, DIRECT
matload_,PETSC_VIEWER_STDERR_, DIRECT
matload_,PETSC_VIEWER_BINARY_, DIRECT
matload_,PETSC_VIEWER_BINARY_, DIRECT
matload_,PETSC_VIEWER_BINARY_, DIRECT
matload_,PETSC_VIEWER_BINARY_, DIRECT
matload_,PETSC_VIEWER_SOCKET_, DIRECT
matload_,PETSC_VIEWER_SOCKET_, DIRECT
matload_,MatLoad, DIRECT
matseqaijgetarray_,MatSeqAIJGetArray, DIRECT
matseqaijgetarray_,MatGetSize, DIRECT
matseqaijgetarray_,PetscScalarAddressToFortran, DIRECT
matseqaijrestorearray_,MatGetSize, DIRECT
matseqaijrestorearray_,PetscScalarAddressFromFortran, DIRECT
matseqaijrestorearray_,MatSeqAIJRestoreArray, DIRECT
matdensegetarray_,MatDenseGetArray, DIRECT
matdensegetarray_,MatGetSize, DIRECT
matdensegetarray_,PetscScalarAddressToFortran, DIRECT
matdenserestorearray_,MatGetSize, DIRECT
matdenserestorearray_,PetscScalarAddressFromFortran, DIRECT
matdenserestorearray_,MatDenseRestoreArray, DIRECT
matdensegetarrayread_,MatDenseGetArrayRead, DIRECT
matdensegetarrayread_,MatGetSize, DIRECT
matdensegetarrayread_,PetscScalarAddressToFortran, DIRECT
matdenserestorearrayread_,MatGetSize, DIRECT
matdenserestorearrayread_,PetscScalarAddressFromFortran, DIRECT
matdenserestorearrayread_,MatDenseRestoreArrayRead, DIRECT
matfactorgetsolverpackage_,MatFactorGetSolverType, DIRECT
matfactorgetsolverpackage_,PetscStrncpy, DIRECT
matgetfactor_,PetscMallocA, DIRECT
matgetfactor_,PetscStrncpy, DIRECT
matgetfactor_,MatGetFactor, DIRECT
matgetfactor_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
matconvert_,PetscMallocA, DIRECT
matconvert_,PetscStrncpy, DIRECT
matconvert_,MatConvert, DIRECT
matconvert_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
matcreatesubmatrices_,MatCreateSubMatrices, DIRECT
matcreatesubmatrices_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
matcreatesubmatrices_,MatCreateSubMatrices, DIRECT
matcreatesubmatricesmpi_,MatCreateSubMatricesMPI, DIRECT
matcreatesubmatricesmpi_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
matcreatesubmatricesmpi_,MatCreateSubMatricesMPI, DIRECT
matdestroymatrices_,MatDestroy, DIRECT
matdestroysubmatrices_,PetscMallocA, DIRECT
matdestroysubmatrices_,MatDestroySubMatrices, DIRECT
matdestroy_,MatDestroy, DIRECT
matsetoptionsprefix_,PetscMallocA, DIRECT
matsetoptionsprefix_,PetscStrncpy, DIRECT
matsetoptionsprefix_,MatSetOptionsPrefix, DIRECT
matsetoptionsprefix_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
