CALLER, CALLEE, CALLTYPE
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscCheckPointer, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscCheckPointer, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscObjectComm, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscObjectGetComm, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscRandomCreate, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscRandomSetFromOptions, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatSetRandom,PetscError, DIRECT
MatSetRandom,EMPTYNAME = (_MatOps->any pointer@i64 392) :: i32 (%struct._p_Mat*, %struct._p_PetscRandom*)*, INDIRECT 
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatSetRandom,PetscError, DIRECT
MatSetRandom,MatAssemblyBegin, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,MatAssemblyEnd, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,PetscRandomDestroy, DIRECT
MatSetRandom,PetscError, DIRECT
MatSetRandom,printf, DIRECT
MatSetRandom,printf, DIRECT
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,PetscCheckPointer, DIRECT
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,PetscObjectComm, DIRECT
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,EMPTYNAME = (_MatOps->any pointer@i64 160) :: i32 (%struct._p_Mat*, i32)*, INDIRECT 
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,EMPTYNAME = (_MatOps->any pointer@i64 160) :: i32 (%struct._p_Mat*, i32)*, INDIRECT 
MatAssemblyBegin,PetscError, DIRECT
MatAssemblyBegin,printf, DIRECT
MatAssemblyBegin,printf, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,PetscCheckPointer, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,EMPTYNAME = (_MatOps->any pointer@i64 168) :: i32 (%struct._p_Mat*, i32)*, INDIRECT 
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,EMPTYNAME = (_MatOps->any pointer@i64 168) :: i32 (%struct._p_Mat*, i32)*, INDIRECT 
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,MatViewFromOptions, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,MatIsSymmetric, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,PetscObjectComm, DIRECT
MatAssemblyEnd,PetscPrintf, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,PetscPrintf, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,MatNullSpaceTest, DIRECT
MatAssemblyEnd,PetscError, DIRECT
MatAssemblyEnd,printf, DIRECT
MatAssemblyEnd,printf, DIRECT
MatFactorGetErrorZeroPivot,PetscError, DIRECT
MatFactorGetErrorZeroPivot,PetscCheckPointer, DIRECT
MatFactorGetErrorZeroPivot,PetscError, DIRECT
MatFactorGetErrorZeroPivot,PetscError, DIRECT
MatFactorGetErrorZeroPivot,PetscError, DIRECT
MatFactorGetErrorZeroPivot,printf, DIRECT
MatFactorGetErrorZeroPivot,printf, DIRECT
MatFactorGetError,PetscError, DIRECT
MatFactorGetError,PetscCheckPointer, DIRECT
MatFactorGetError,PetscError, DIRECT
MatFactorGetError,PetscError, DIRECT
MatFactorGetError,PetscError, DIRECT
MatFactorGetError,printf, DIRECT
MatFactorGetError,printf, DIRECT
MatFactorClearError,PetscError, DIRECT
MatFactorClearError,PetscCheckPointer, DIRECT
MatFactorClearError,PetscError, DIRECT
MatFactorClearError,PetscError, DIRECT
MatFactorClearError,PetscError, DIRECT
MatFactorClearError,printf, DIRECT
MatFactorClearError,printf, DIRECT
MatFindNonzeroRowsOrCols_Basic,MatCreateVecs, DIRECT
MatFindNonzeroRowsOrCols_Basic,PetscError, DIRECT
MatFindNonzeroRowsOrCols_Basic,MatGetSize, DIRECT
MatFindNonzeroRowsOrCols_Basic,PetscError, DIRECT
MatFindNonzeroRowsOrCols_Basic,MatGetLocalSize, DIRECT
MatFindNonzeroRowsOrCols_Basic,PetscError, DIRECT
MatFindNonzeroRowsOrCols_Basic,VecSet, DIRECT
MatFindNonzeroRowsOrCols_Basic,PetscError, DIRECT
MatFindNonzeroRowsOrCols_Basic,VecSetRandom, DIRECT
MatFindNonzeroRowsOrCols_Basic,PetscError, DIRECT
MatFindNonzeroRowsOrCols_Basic,MatMult, DIRECT
MatFindNonzeroRowsOrCols_Basic,PetscError, DIRECT
MatFindNonzeroRowsOrCols_Basic,VecGetArrayRead, DIRECT
MatFindNonzeroRowsOrCols_Basic,PetscError, DIRECT
