CALLER, CALLEE, CALLTYPE
MatGetOrdering_1WD,MatGetRowIJ, DIRECT
MatGetOrdering_1WD,PetscError, DIRECT
MatGetOrdering_1WD,PetscObjectComm, DIRECT
MatGetOrdering_1WD,PetscError, DIRECT
MatGetOrdering_1WD,PetscMallocA, DIRECT
MatGetOrdering_1WD,PetscError, DIRECT
MatGetOrdering_1WD,SPARSEPACKgen1wd, DIRECT
MatGetOrdering_1WD,MatRestoreRowIJ, DIRECT
MatGetOrdering_1WD,PetscError, DIRECT
MatGetOrdering_1WD,ISCreateGeneral, DIRECT
MatGetOrdering_1WD,PetscError, DIRECT
MatGetOrdering_1WD,ISCreateGeneral, DIRECT
MatGetOrdering_1WD,PetscError, DIRECT
MatGetOrdering_1WD,PetscFreeA, DIRECT
MatGetOrdering_1WD,PetscError, DIRECT
MatGetOrdering_1WD,printf, DIRECT
MatGetOrdering_1WD,printf, DIRECT
