CALLER, CALLEE, CALLTYPE
MatGetOrdering_RCM,MatGetRowIJ, DIRECT
MatGetOrdering_RCM,PetscError, DIRECT
MatGetOrdering_RCM,PetscObjectComm, DIRECT
MatGetOrdering_RCM,PetscError, DIRECT
MatGetOrdering_RCM,PetscMallocA, DIRECT
MatGetOrdering_RCM,PetscError, DIRECT
MatGetOrdering_RCM,SPARSEPACKgenrcm, DIRECT
MatGetOrdering_RCM,MatRestoreRowIJ, DIRECT
MatGetOrdering_RCM,PetscError, DIRECT
MatGetOrdering_RCM,ISCreateGeneral, DIRECT
MatGetOrdering_RCM,PetscError, DIRECT
MatGetOrdering_RCM,ISCreateGeneral, DIRECT
MatGetOrdering_RCM,PetscError, DIRECT
MatGetOrdering_RCM,PetscFreeA, DIRECT
MatGetOrdering_RCM,PetscError, DIRECT
MatGetOrdering_RCM,printf, DIRECT
MatGetOrdering_RCM,printf, DIRECT
