CALLER, CALLEE, CALLTYPE
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscCheckPointer, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscObjectGetComm, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,MPI_Comm_rank, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,MPI_Error_string, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,MatGetLayouts, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,ISGetLocalSize, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscMallocA, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,ISLocalToGlobalMappingApply, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscMallocA, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscLayoutFindOwner, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscLayoutGetRanges, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscMallocA, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,ISGetIndices, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscSFCreate, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscMallocA, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscSFSetType, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscSFSetFromOptions, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscSFSetGraph, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscSFReduceBegin, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscSFReduceEnd, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscSFDestroy, DIRECT
MatPartitioningHierarchical_ReassembleFineparts,PetscError, DIRECT
