CALLER, CALLEE, CALLTYPE
MatStashCreate_Private,PetscCommGetNewTag, DIRECT
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,PetscCommGetNewTag, DIRECT
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,MPI_Comm_size, DIRECT
MatStashCreate_Private,MPI_Error_string, DIRECT
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,MPI_Comm_rank, DIRECT
MatStashCreate_Private,MPI_Error_string, DIRECT
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,PetscMallocA, DIRECT
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,PetscMallocA, DIRECT
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,PetscOptionsGetIntArray, DIRECT
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,PetscOptionsGetBool, DIRECT
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,PetscOptionsGetBool, DIRECT
MatStashCreate_Private,PetscError, DIRECT
MatStashCreate_Private,printf, DIRECT
MatStashCreate_Private,printf, DIRECT
MatStashScatterBegin_BTS,PetscObjectComm, DIRECT
MatStashScatterBegin_BTS,MPI_Comm_size, DIRECT
MatStashScatterBegin_BTS,PetscObjectComm, DIRECT
MatStashScatterBegin_BTS,MPI_Allreduce, DIRECT
MatStashScatterBegin_BTS,MPI_Error_string, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscObjectComm, DIRECT
MatStashScatterBegin_BTS,MPI_Comm_size, DIRECT
MatStashScatterBegin_BTS,PetscObjectComm, DIRECT
MatStashScatterBegin_BTS,MPI_Allreduce, DIRECT
MatStashScatterBegin_BTS,MPI_Error_string, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscObjectComm, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscSegBufferCreate, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscSegBufferCreate, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscSegBufferCreate, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,MPI_Type_create_struct, DIRECT
MatStashScatterBegin_BTS,MPI_Error_string, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,MPI_Type_commit, DIRECT
MatStashScatterBegin_BTS,MPI_Error_string, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,MPI_Type_create_resized, DIRECT
MatStashScatterBegin_BTS,MPI_Error_string, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,MPI_Type_commit, DIRECT
MatStashScatterBegin_BTS,MPI_Error_string, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,MPI_Type_free, DIRECT
MatStashScatterBegin_BTS,MPI_Error_string, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,printf, DIRECT
MatStashScatterBegin_BTS,printf, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscMallocA, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscSortIntWithArrayPair, DIRECT
MatStashScatterBegin_BTS,PetscSortIntWithArray, DIRECT
MatStashScatterBegin_BTS,PetscSegBufferGet, DIRECT
MatStashScatterBegin_BTS,PetscMemcpy, DIRECT
MatStashScatterBegin_BTS,PetscSortIntWithArray, DIRECT
MatStashScatterBegin_BTS,PetscSegBufferGet, DIRECT
MatStashScatterBegin_BTS,PetscMemcpy, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscSortIntWithArray, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscSegBufferGet, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscMemcpy, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscMemcpy, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscFreeA, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,printf, DIRECT
MatStashScatterBegin_BTS,printf, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscSegBufferGetSize, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscSegBufferExtractInPlace, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscFindInt, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscMallocA, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscFindInt, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscCommGetNewTag, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,MatStashBTSRecv_Private, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,MatStashBTSSend_Private, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscCommBuildTwoSidedFReq, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscMallocA, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,PetscSegBufferExtractInPlace, DIRECT
MatStashScatterBegin_BTS,PetscError, DIRECT
MatStashScatterBegin_BTS,printf, DIRECT
MatStashScatterBegin_BTS,printf, DIRECT
MatStashScatterGetMesg_BTS,printf, DIRECT
MatStashScatterGetMesg_BTS,printf, DIRECT
MatStashScatterGetMesg_BTS,MPI_Waitsome, DIRECT
MatStashScatterGetMesg_BTS,MPI_Error_string, DIRECT
MatStashScatterGetMesg_BTS,PetscError, DIRECT
MatStashScatterGetMesg_BTS,MPI_Get_count, DIRECT
MatStashScatterGetMesg_BTS,MPI_Error_string, DIRECT
MatStashScatterGetMesg_BTS,PetscError, DIRECT
MatStashScatterGetMesg_BTS,PetscError, DIRECT
MatStashScatterGetMesg_BTS,PetscError, DIRECT
MatStashScatterGetMesg_BTS,printf, DIRECT
MatStashScatterGetMesg_BTS,printf, DIRECT
MatStashScatterEnd_BTS,MPI_Waitall, DIRECT
MatStashScatterEnd_BTS,MPI_Error_string, DIRECT
MatStashScatterEnd_BTS,PetscError, DIRECT
MatStashScatterEnd_BTS,PetscSegBufferExtractInPlace, DIRECT
MatStashScatterEnd_BTS,PetscError, DIRECT
MatStashScatterEnd_BTS,MatStashScatterDestroy_BTS, DIRECT
MatStashScatterEnd_BTS,PetscError, DIRECT
MatStashScatterEnd_BTS,PetscMatStashSpaceDestroy, DIRECT
MatStashScatterEnd_BTS,PetscError, DIRECT
MatStashScatterEnd_BTS,printf, DIRECT
MatStashScatterEnd_BTS,printf, DIRECT
MatStashScatterDestroy_BTS,PetscSegBufferDestroy, DIRECT
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,PetscSegBufferDestroy, DIRECT
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,PetscSegBufferDestroy, DIRECT
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,MPI_Type_free, DIRECT
MatStashScatterDestroy_BTS,MPI_Error_string, DIRECT
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,PetscFreeA, DIRECT
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,PetscFreeA, DIRECT
MatStashScatterDestroy_BTS,PetscError, DIRECT
MatStashScatterDestroy_BTS,printf, DIRECT
MatStashScatterDestroy_BTS,printf, DIRECT
MatStashScatterBegin_Ref,PetscObjectComm, DIRECT
MatStashScatterBegin_Ref,MPI_Comm_size, DIRECT
MatStashScatterBegin_Ref,PetscObjectComm, DIRECT
MatStashScatterBegin_Ref,MPI_Allreduce, DIRECT
MatStashScatterBegin_Ref,MPI_Error_string, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscObjectComm, DIRECT
MatStashScatterBegin_Ref,MPI_Comm_size, DIRECT
MatStashScatterBegin_Ref,PetscObjectComm, DIRECT
MatStashScatterBegin_Ref,MPI_Allreduce, DIRECT
MatStashScatterBegin_Ref,MPI_Error_string, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscObjectComm, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscMallocA, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscMallocA, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscMallocA, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscGatherNumberOfMessages, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscGatherMessageLengths, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscPostIrecvInt, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscPostIrecvScalar, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscMallocA, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscMallocA, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscMallocA, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscMPITypeSize, DIRECT
MatStashScatterBegin_Ref,MPI_Isend, DIRECT
MatStashScatterBegin_Ref,MPI_Error_string, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscMPITypeSize, DIRECT
MatStashScatterBegin_Ref,MPI_Isend, DIRECT
MatStashScatterBegin_Ref,MPI_Error_string, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscInfo_Private, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscInfo_Private, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscFreeA, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscMallocA, DIRECT
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterBegin_Ref,PetscError, DIRECT
MatStashScatterBegin_Ref,printf, DIRECT
MatStashScatterBegin_Ref,printf, DIRECT
MatStashScatterGetMesg_Ref,printf, DIRECT
MatStashScatterGetMesg_Ref,printf, DIRECT
MatStashScatterGetMesg_Ref,MPI_Wait, DIRECT
MatStashScatterGetMesg_Ref,MPI_Error_string, DIRECT
MatStashScatterGetMesg_Ref,PetscError, DIRECT
MatStashScatterGetMesg_Ref,MPI_Waitany, DIRECT
MatStashScatterGetMesg_Ref,MPI_Error_string, DIRECT
MatStashScatterGetMesg_Ref,PetscError, DIRECT
MatStashScatterGetMesg_Ref,PetscError, DIRECT
MatStashScatterGetMesg_Ref,MPI_Get_count, DIRECT
MatStashScatterGetMesg_Ref,MPI_Error_string, DIRECT
MatStashScatterGetMesg_Ref,PetscError, DIRECT
MatStashScatterGetMesg_Ref,MPI_Get_count, DIRECT
MatStashScatterGetMesg_Ref,MPI_Error_string, DIRECT
MatStashScatterGetMesg_Ref,PetscError, DIRECT
MatStashScatterGetMesg_Ref,printf, DIRECT
MatStashScatterGetMesg_Ref,printf, DIRECT
MatStashScatterEnd_Ref,PetscMallocA, DIRECT
MatStashScatterEnd_Ref,PetscError, DIRECT
MatStashScatterEnd_Ref,MPI_Waitall, DIRECT
MatStashScatterEnd_Ref,MPI_Error_string, DIRECT
MatStashScatterEnd_Ref,PetscError, DIRECT
MatStashScatterEnd_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterEnd_Ref,PetscError, DIRECT
MatStashScatterEnd_Ref,PetscMatStashSpaceDestroy, DIRECT
MatStashScatterEnd_Ref,PetscError, DIRECT
MatStashScatterEnd_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterEnd_Ref,PetscError, DIRECT
MatStashScatterEnd_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterEnd_Ref,PetscError, DIRECT
MatStashScatterEnd_Ref,PetscFreeA, DIRECT
MatStashScatterEnd_Ref,PetscError, DIRECT
MatStashScatterEnd_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterEnd_Ref,PetscError, DIRECT
MatStashScatterEnd_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatStashScatterEnd_Ref,PetscError, DIRECT
MatStashScatterEnd_Ref,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
