CALLER, CALLEE, CALLTYPE
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscCheckPointer, DIRECT
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscObjectComm, DIRECT
SNESCompositeSetType,MPI_Comm_size, DIRECT
SNESCompositeSetType,PetscObjectComm, DIRECT
SNESCompositeSetType,MPI_Allreduce, DIRECT
SNESCompositeSetType,MPI_Error_string, DIRECT
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscObjectComm, DIRECT
SNESCompositeSetType,MPI_Comm_size, DIRECT
SNESCompositeSetType,PetscObjectComm, DIRECT
SNESCompositeSetType,MPI_Allreduce, DIRECT
SNESCompositeSetType,MPI_Error_string, DIRECT
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscObjectComm, DIRECT
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,PetscObjectQueryFunction_Private, DIRECT
SNESCompositeSetType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, i32)*, INDIRECT 
SNESCompositeSetType,PetscError, DIRECT
SNESCompositeSetType,printf, DIRECT
SNESCompositeSetType,printf, DIRECT
SNESCompositeAddSNES,PetscError, DIRECT
SNESCompositeAddSNES,PetscCheckPointer, DIRECT
SNESCompositeAddSNES,PetscError, DIRECT
SNESCompositeAddSNES,PetscError, DIRECT
SNESCompositeAddSNES,PetscError, DIRECT
SNESCompositeAddSNES,PetscObjectQueryFunction_Private, DIRECT
SNESCompositeAddSNES,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, i8*)*, INDIRECT 
SNESCompositeAddSNES,PetscError, DIRECT
SNESCompositeAddSNES,printf, DIRECT
SNESCompositeAddSNES,printf, DIRECT
SNESCompositeGetSNES,PetscError, DIRECT
SNESCompositeGetSNES,PetscCheckPointer, DIRECT
SNESCompositeGetSNES,PetscError, DIRECT
SNESCompositeGetSNES,PetscError, DIRECT
SNESCompositeGetSNES,PetscError, DIRECT
SNESCompositeGetSNES,PetscError, DIRECT
SNESCompositeGetSNES,PetscCheckPointer, DIRECT
SNESCompositeGetSNES,PetscError, DIRECT
SNESCompositeGetSNES,PetscObjectQueryFunction_Private, DIRECT
SNESCompositeGetSNES,PetscError, DIRECT
SNESCompositeGetSNES,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, i32, %struct._p_SNES**)*, INDIRECT 
SNESCompositeGetSNES,PetscError, DIRECT
SNESCompositeGetSNES,PetscObjectComm, DIRECT
SNESCompositeGetSNES,PetscError, DIRECT
SNESCompositeGetSNES,printf, DIRECT
SNESCompositeGetSNES,printf, DIRECT
SNESCompositeGetNumber,printf, DIRECT
SNESCompositeGetNumber,printf, DIRECT
SNESCompositeSetDamping,PetscError, DIRECT
SNESCompositeSetDamping,PetscCheckPointer, DIRECT
SNESCompositeSetDamping,PetscError, DIRECT
SNESCompositeSetDamping,PetscError, DIRECT
SNESCompositeSetDamping,PetscError, DIRECT
SNESCompositeSetDamping,PetscObjectQueryFunction_Private, DIRECT
SNESCompositeSetDamping,PetscError, DIRECT
SNESCompositeSetDamping,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, i32, double)*, INDIRECT 
SNESCompositeSetDamping,PetscError, DIRECT
SNESCompositeSetDamping,PetscObjectComm, DIRECT
SNESCompositeSetDamping,PetscError, DIRECT
SNESCompositeSetDamping,printf, DIRECT
SNESCompositeSetDamping,printf, DIRECT
SNESCreate_Composite,PetscMallocA, DIRECT
SNESCreate_Composite,PetscLogObjectMemory, DIRECT
SNESCreate_Composite,PetscError, DIRECT
SNESCreate_Composite,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_Composite,PetscError, DIRECT
SNESCreate_Composite,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_Composite,PetscError, DIRECT
SNESCreate_Composite,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_Composite,PetscError, DIRECT
SNESCreate_Composite,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_Composite,PetscError, DIRECT
SNESCreate_Composite,printf, DIRECT
SNESCreate_Composite,printf, DIRECT
