CALLER, CALLEE, CALLTYPE
SNESNGSSetTolerances,PetscCheckPointer, DIRECT
SNESNGSSetTolerances,PetscError, DIRECT
SNESNGSSetTolerances,PetscError, DIRECT
SNESNGSSetTolerances,PetscError, DIRECT
SNESNGSSetTolerances,PetscObjectComm, DIRECT
SNESNGSSetTolerances,PetscError, DIRECT
SNESNGSSetTolerances,PetscObjectComm, DIRECT
SNESNGSSetTolerances,PetscError, DIRECT
SNESNGSSetTolerances,PetscObjectComm, DIRECT
SNESNGSSetTolerances,PetscError, DIRECT
SNESNGSSetTolerances,PetscObjectComm, DIRECT
SNESNGSSetTolerances,PetscError, DIRECT
SNESNGSSetTolerances,printf, DIRECT
SNESNGSSetTolerances,printf, DIRECT
SNESNGSGetTolerances,PetscCheckPointer, DIRECT
SNESNGSGetTolerances,PetscError, DIRECT
SNESNGSGetTolerances,PetscError, DIRECT
SNESNGSGetTolerances,PetscError, DIRECT
SNESNGSGetTolerances,printf, DIRECT
SNESNGSGetTolerances,printf, DIRECT
SNESNGSSetSweeps,PetscCheckPointer, DIRECT
SNESNGSSetSweeps,PetscError, DIRECT
SNESNGSSetSweeps,PetscError, DIRECT
SNESNGSSetSweeps,PetscError, DIRECT
SNESNGSSetSweeps,printf, DIRECT
SNESNGSSetSweeps,printf, DIRECT
SNESNGSGetSweeps,PetscCheckPointer, DIRECT
SNESNGSGetSweeps,PetscError, DIRECT
SNESNGSGetSweeps,PetscError, DIRECT
SNESNGSGetSweeps,PetscError, DIRECT
SNESNGSGetSweeps,printf, DIRECT
SNESNGSGetSweeps,printf, DIRECT
SNESReset_NGS,ISColoringDestroy, DIRECT
SNESReset_NGS,PetscError, DIRECT
SNESReset_NGS,printf, DIRECT
SNESReset_NGS,printf, DIRECT
SNESDestroy_NGS,SNESReset_NGS, DIRECT
SNESDestroy_NGS,PetscError, DIRECT
SNESDestroy_NGS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
SNESDestroy_NGS,PetscError, DIRECT
SNESDestroy_NGS,printf, DIRECT
SNESDestroy_NGS,printf, DIRECT
SNESSetUp_NGS,SNESGetNGS, DIRECT
SNESSetUp_NGS,PetscError, DIRECT
SNESSetUp_NGS,SNESSetNGS, DIRECT
SNESSetUp_NGS,PetscError, DIRECT
SNESSetUp_NGS,printf, DIRECT
SNESSetUp_NGS,printf, DIRECT
SNESSetFromOptions_NGS,PetscOptionsHead, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,PetscOptionsInt_Private, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,SNESNGSSetSweeps, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,PetscOptionsReal_Private, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,PetscOptionsReal_Private, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,PetscOptionsReal_Private, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,PetscOptionsInt_Private, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,SNESNGSSetTolerances, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,PetscOptionsBool_Private, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,SNESSetNGS, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,PetscInfo_Private, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,PetscOptionsReal_Private, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,PetscOptionsBool_Private, DIRECT
SNESSetFromOptions_NGS,PetscError, DIRECT
SNESSetFromOptions_NGS,printf, DIRECT
SNESSetFromOptions_NGS,printf, DIRECT
SNESSetFromOptions_NGS,printf, DIRECT
SNESSetFromOptions_NGS,printf, DIRECT
SNESView_NGS,PetscObjectTypeCompare, DIRECT
SNESView_NGS,PetscError, DIRECT
SNESView_NGS,DMSNESGetNGS, DIRECT
SNESView_NGS,PetscError, DIRECT
SNESView_NGS,PetscViewerASCIIPrintf, DIRECT
SNESView_NGS,PetscError, DIRECT
SNESView_NGS,printf, DIRECT
SNESView_NGS,printf, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,PetscStrlen, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscSegBufferGet, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,SNESGetNormSchedule, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,SNESComputeFunction, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,VecNorm, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscIsInfOrNanReal, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,MPI_Comm_size, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,MPI_Allreduce, DIRECT
SNESSolve_NGS,MPI_Error_string, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,MPI_Comm_size, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,MPI_Allreduce, DIRECT
SNESSolve_NGS,MPI_Error_string, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,SNESLogConvergenceHistory, DIRECT
SNESSolve_NGS,SNESMonitor, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,EMPTYNAME = (_SNESOps->any pointer@i64 24) :: i32 (%struct._p_SNES*, i32, double, double, double, i32*, i8*)*, INDIRECT 
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,SNESLogConvergenceHistory, DIRECT
SNESSolve_NGS,EMPTYNAME = (_SNESOps->any pointer@i64 16) :: i32 (%struct._p_SNES*, i32)*, INDIRECT 
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,SNESComputeNGS, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,SNESComputeFunction, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,VecNorm, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscIsInfOrNanReal, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,MPI_Comm_size, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,MPI_Allreduce, DIRECT
SNESSolve_NGS,MPI_Error_string, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,MPI_Comm_size, DIRECT
SNESSolve_NGS,PetscObjectComm, DIRECT
SNESSolve_NGS,MPI_Allreduce, DIRECT
SNESSolve_NGS,MPI_Error_string, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,SNESLogConvergenceHistory, DIRECT
SNESSolve_NGS,SNESMonitor, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,EMPTYNAME = (_SNESOps->any pointer@i64 24) :: i32 (%struct._p_SNES*, i32, double, double, double, i32*, i8*)*, INDIRECT 
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,EMPTYNAME = (_SNESOps->any pointer@i64 16) :: i32 (%struct._p_SNES*, i32)*, INDIRECT 
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,PetscInfo_Private, DIRECT
SNESSolve_NGS,PetscError, DIRECT
SNESSolve_NGS,printf, DIRECT
SNESSolve_NGS,printf, DIRECT
PetscIsInfOrNanReal,PetscIsInfReal, DIRECT
PetscIsInfOrNanReal,PetscIsNanReal, DIRECT
SNESLogConvergenceHistory,printf, DIRECT
SNESLogConvergenceHistory,printf, DIRECT
SNESCreate_NGS,PetscMallocA, DIRECT
SNESCreate_NGS,PetscLogObjectMemory, DIRECT
SNESCreate_NGS,PetscError, DIRECT
SNESCreate_NGS,printf, DIRECT
SNESCreate_NGS,printf, DIRECT
