CALLER, CALLEE, CALLTYPE
SNESMSRegisterAll,printf, DIRECT
SNESMSRegisterAll,printf, DIRECT
SNESMSRegisterAll,SNESMSRegister, DIRECT
SNESMSRegisterAll,PetscError, DIRECT
SNESMSRegisterAll,SNESMSRegister, DIRECT
SNESMSRegisterAll,PetscError, DIRECT
SNESMSRegisterAll,SNESMSRegister, DIRECT
SNESMSRegisterAll,PetscError, DIRECT
SNESMSRegisterAll,SNESMSRegister, DIRECT
SNESMSRegisterAll,PetscError, DIRECT
SNESMSRegisterAll,SNESMSRegister, DIRECT
SNESMSRegisterAll,PetscError, DIRECT
SNESMSRegisterAll,SNESMSRegister, DIRECT
SNESMSRegisterAll,PetscError, DIRECT
SNESMSRegisterAll,SNESMSRegister, DIRECT
SNESMSRegisterAll,PetscError, DIRECT
SNESMSRegisterAll,SNESMSRegister, DIRECT
SNESMSRegisterAll,PetscError, DIRECT
SNESMSRegisterAll,SNESMSRegister, DIRECT
SNESMSRegisterAll,PetscError, DIRECT
SNESMSRegisterAll,printf, DIRECT
SNESMSRegisterAll,printf, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscCheckPointer, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscCheckPointer, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscCheckPointer, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscCheckPointer, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,SNESMSInitializePackage, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscMallocA, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscStrallocpy, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscMallocA, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscMallocA, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscMemcpy, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscMemcpy, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscMallocA, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,PetscMemcpy, DIRECT
SNESMSRegister,PetscError, DIRECT
SNESMSRegister,printf, DIRECT
SNESMSRegister,printf, DIRECT
SNESMSRegisterDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
SNESMSRegisterDestroy,PetscError, DIRECT
SNESMSRegisterDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
SNESMSRegisterDestroy,PetscError, DIRECT
SNESMSRegisterDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
SNESMSRegisterDestroy,PetscError, DIRECT
SNESMSRegisterDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
SNESMSRegisterDestroy,PetscError, DIRECT
SNESMSRegisterDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
SNESMSRegisterDestroy,PetscError, DIRECT
SNESMSRegisterDestroy,printf, DIRECT
SNESMSRegisterDestroy,printf, DIRECT
SNESMSInitializePackage,printf, DIRECT
SNESMSInitializePackage,printf, DIRECT
SNESMSInitializePackage,SNESMSRegisterAll, DIRECT
SNESMSInitializePackage,PetscError, DIRECT
SNESMSInitializePackage,PetscRegisterFinalize, DIRECT
SNESMSInitializePackage,PetscError, DIRECT
SNESMSInitializePackage,printf, DIRECT
SNESMSInitializePackage,printf, DIRECT
SNESMSFinalizePackage,SNESMSRegisterDestroy, DIRECT
SNESMSFinalizePackage,PetscError, DIRECT
SNESMSFinalizePackage,printf, DIRECT
SNESMSFinalizePackage,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
SNESMSGetType,PetscError, DIRECT
SNESMSGetType,PetscCheckPointer, DIRECT
SNESMSGetType,PetscError, DIRECT
SNESMSGetType,PetscError, DIRECT
SNESMSGetType,PetscError, DIRECT
SNESMSGetType,PetscError, DIRECT
SNESMSGetType,PetscCheckPointer, DIRECT
SNESMSGetType,PetscError, DIRECT
SNESMSGetType,PetscObjectQueryFunction_Private, DIRECT
SNESMSGetType,PetscError, DIRECT
SNESMSGetType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, i8**)*, INDIRECT 
SNESMSGetType,PetscError, DIRECT
SNESMSGetType,PetscObjectComm, DIRECT
SNESMSGetType,PetscError, DIRECT
SNESMSGetType,printf, DIRECT
SNESMSGetType,printf, DIRECT
SNESMSSetType,PetscError, DIRECT
SNESMSSetType,PetscCheckPointer, DIRECT
SNESMSSetType,PetscError, DIRECT
SNESMSSetType,PetscError, DIRECT
SNESMSSetType,PetscError, DIRECT
SNESMSSetType,PetscError, DIRECT
SNESMSSetType,PetscCheckPointer, DIRECT
SNESMSSetType,PetscError, DIRECT
SNESMSSetType,PetscObjectQueryFunction_Private, DIRECT
SNESMSSetType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, i8*)*, INDIRECT 
SNESMSSetType,PetscError, DIRECT
SNESMSSetType,printf, DIRECT
SNESMSSetType,printf, DIRECT
SNESMSGetDamping,PetscError, DIRECT
SNESMSGetDamping,PetscCheckPointer, DIRECT
SNESMSGetDamping,PetscError, DIRECT
SNESMSGetDamping,PetscError, DIRECT
SNESMSGetDamping,PetscError, DIRECT
SNESMSGetDamping,PetscError, DIRECT
SNESMSGetDamping,PetscCheckPointer, DIRECT
SNESMSGetDamping,PetscError, DIRECT
SNESMSGetDamping,PetscObjectQueryFunction_Private, DIRECT
SNESMSGetDamping,PetscError, DIRECT
SNESMSGetDamping,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, double*)*, INDIRECT 
SNESMSGetDamping,PetscError, DIRECT
SNESMSGetDamping,PetscObjectComm, DIRECT
SNESMSGetDamping,PetscError, DIRECT
SNESMSGetDamping,printf, DIRECT
SNESMSGetDamping,printf, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscCheckPointer, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscIsNanReal, DIRECT
SNESMSSetDamping,PetscObjectComm, DIRECT
SNESMSSetDamping,MPI_Comm_size, DIRECT
SNESMSSetDamping,PetscObjectComm, DIRECT
SNESMSSetDamping,MPI_Allreduce, DIRECT
SNESMSSetDamping,MPI_Error_string, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscObjectComm, DIRECT
SNESMSSetDamping,MPI_Comm_size, DIRECT
SNESMSSetDamping,PetscObjectComm, DIRECT
SNESMSSetDamping,MPI_Allreduce, DIRECT
SNESMSSetDamping,MPI_Error_string, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscEqualReal, DIRECT
SNESMSSetDamping,PetscObjectComm, DIRECT
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,PetscObjectQueryFunction_Private, DIRECT
SNESMSSetDamping,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, double)*, INDIRECT 
SNESMSSetDamping,PetscError, DIRECT
SNESMSSetDamping,printf, DIRECT
SNESMSSetDamping,printf, DIRECT
SNESCreate_MS,SNESMSInitializePackage, DIRECT
SNESCreate_MS,PetscError, DIRECT
SNESCreate_MS,PetscMallocA, DIRECT
SNESCreate_MS,PetscLogObjectMemory, DIRECT
SNESCreate_MS,PetscError, DIRECT
SNESCreate_MS,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_MS,PetscError, DIRECT
SNESCreate_MS,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_MS,PetscError, DIRECT
SNESCreate_MS,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_MS,PetscError, DIRECT
SNESCreate_MS,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_MS,PetscError, DIRECT
SNESCreate_MS,SNESMSSetType, DIRECT
SNESCreate_MS,PetscError, DIRECT
SNESCreate_MS,printf, DIRECT
SNESCreate_MS,printf, DIRECT
SNESSetUp_MS,SNESSetWorkVecs, DIRECT
SNESSetUp_MS,PetscError, DIRECT
SNESSetUp_MS,SNESSetUpMatrices, DIRECT
SNESSetUp_MS,PetscError, DIRECT
SNESSetUp_MS,printf, DIRECT
SNESSetUp_MS,printf, DIRECT
SNESSolve_MS,PetscObjectComm, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,printf, DIRECT
SNESSolve_MS,printf, DIRECT
SNESSolve_MS,PetscStrlen, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,PetscSegBufferGet, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,PetscMemcpy, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,printf, DIRECT
SNESSolve_MS,printf, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,SNESComputeFunction, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,SNESMSStep_Norms, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,printf, DIRECT
SNESSolve_MS,printf, DIRECT
SNESSolve_MS,EMPTYNAME = (_SNESOps->any pointer@i64 16) :: i32 (%struct._p_SNES*, i32)*, INDIRECT 
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,SNESComputeJacobian, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,PetscObjectComm, DIRECT
SNESSolve_MS,MPI_Comm_size, DIRECT
SNESSolve_MS,PetscObjectComm, DIRECT
SNESSolve_MS,MPI_Allreduce, DIRECT
SNESSolve_MS,MPI_Error_string, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,PetscObjectComm, DIRECT
SNESSolve_MS,MPI_Comm_size, DIRECT
SNESSolve_MS,PetscObjectComm, DIRECT
SNESSolve_MS,MPI_Allreduce, DIRECT
SNESSolve_MS,MPI_Error_string, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,PetscObjectComm, DIRECT
SNESSolve_MS,PetscError, DIRECT
SNESSolve_MS,printf, DIRECT
SNESSolve_MS,printf, DIRECT
SNESSolve_MS,KSPSetOperators, DIRECT
