CALLER, CALLEE, CALLTYPE
SNESReset_NGMRES,VecDestroyVecs, DIRECT
SNESReset_NGMRES,PetscError, DIRECT
SNESReset_NGMRES,VecDestroyVecs, DIRECT
SNESReset_NGMRES,PetscError, DIRECT
SNESReset_NGMRES,SNESLineSearchDestroy, DIRECT
SNESReset_NGMRES,PetscError, DIRECT
SNESReset_NGMRES,printf, DIRECT
SNESReset_NGMRES,printf, DIRECT
SNESDestroy_NGMRES,SNESReset_NGMRES, DIRECT
SNESDestroy_NGMRES,PetscError, DIRECT
SNESDestroy_NGMRES,PetscFreeA, DIRECT
SNESDestroy_NGMRES,PetscError, DIRECT
SNESDestroy_NGMRES,PetscFreeA, DIRECT
SNESDestroy_NGMRES,PetscError, DIRECT
SNESDestroy_NGMRES,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
SNESDestroy_NGMRES,PetscError, DIRECT
SNESDestroy_NGMRES,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
SNESDestroy_NGMRES,PetscError, DIRECT
SNESDestroy_NGMRES,printf, DIRECT
SNESDestroy_NGMRES,printf, DIRECT
SNESSetUp_NGMRES,PetscObjectComm, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,SNESSetWorkVecs, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,SNESGetDM, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,DMCreateGlobalVector, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,VecDuplicateVecs, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,VecDuplicateVecs, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,PetscMallocA, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,PetscMallocA, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,PetscMallocA, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,SNESGetOptionsPrefix, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,PetscObjectComm, DIRECT
SNESSetUp_NGMRES,SNESLineSearchCreate, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,SNESLineSearchSetSNES, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,SNESLineSearchSetType, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,SNESLineSearchAppendOptionsPrefix, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,SNESLineSearchAppendOptionsPrefix, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,SNESLineSearchSetFromOptions, DIRECT
SNESSetUp_NGMRES,PetscError, DIRECT
SNESSetUp_NGMRES,printf, DIRECT
SNESSetUp_NGMRES,printf, DIRECT
SNESSetFromOptions_NGMRES,PetscOptionsHead, DIRECT
SNESSetFromOptions_NGMRES,PetscError, DIRECT
SNESSetFromOptions_NGMRES,PetscOptionsEnum_Private, DIRECT
SNESSetFromOptions_NGMRES,PetscError, DIRECT
SNESSetFromOptions_NGMRES,PetscOptionsEnum_Private, DIRECT
SNESSetFromOptions_NGMRES,PetscError, DIRECT
SNESSetFromOptions_NGMRES,PetscOptionsBool_Private, DIRECT
SNESSetFromOptions_NGMRES,PetscError, DIRECT
SNESSetFromOptions_NGMRES,PetscOptionsBool_Private, DIRECT
SNESSetFromOptions_NGMRES,PetscError, DIRECT
SNESSetFromOptions_NGMRES,PetscOptionsInt_Private, DIRECT
SNESSetFromOptions_NGMRES,PetscError, DIRECT
SNESSetFromOptions_NGMRES,PetscOptionsInt_Private, DIRECT
SNESSetFromOptions_NGMRES,PetscError, DIRECT
SNESSetFromOptions_NGMRES,PetscOptionsInt_Private, DIRECT
SNESSetFromOptions_NGMRES,PetscError, DIRECT
