CALLER, CALLEE, CALLTYPE
SNESCreate_Patch,PetscMallocA, DIRECT
SNESCreate_Patch,PetscLogObjectMemory, DIRECT
SNESCreate_Patch,PetscError, DIRECT
SNESCreate_Patch,SNESGetLineSearch, DIRECT
SNESCreate_Patch,PetscError, DIRECT
SNESCreate_Patch,SNESLineSearchSetType, DIRECT
SNESCreate_Patch,PetscError, DIRECT
SNESCreate_Patch,PetscObjectComm, DIRECT
SNESCreate_Patch,PCCreate, DIRECT
SNESCreate_Patch,PetscError, DIRECT
SNESCreate_Patch,PCSetType, DIRECT
SNESCreate_Patch,PetscError, DIRECT
SNESCreate_Patch,printf, DIRECT
SNESCreate_Patch,printf, DIRECT
SNESSolve_Patch,SNESGetSolution, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESGetSolutionUpdate, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESGetRhs, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESGetFunction, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESGetLineSearch, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESSetConvergedReason, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecSet, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESComputeFunction, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecNorm, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecNorm, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,EMPTYNAME = (_SNESOps->any pointer@i64 24) :: i32 (%struct._p_SNES*, i32, double, double, double, i32*, i8*)*, INDIRECT 
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESConvergedSkip, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESLogConvergenceHistory, DIRECT
SNESSolve_Patch,SNESMonitor, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESSetIterationNumber, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecGetArrayRead, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecGetArray, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,PetscSFBcastBegin, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,PetscSFBcastEnd, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecRestoreArray, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecRestoreArrayRead, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,PCApply, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecScale, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESLineSearchApply, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecNorm, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,VecNorm, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,EMPTYNAME = (_SNESOps->any pointer@i64 24) :: i32 (%struct._p_SNES*, i32, double, double, double, i32*, i8*)*, INDIRECT 
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESConvergedSkip, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESLogConvergenceHistory, DIRECT
SNESSolve_Patch,SNESMonitor, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,SNESSetConvergedReason, DIRECT
SNESSolve_Patch,PetscError, DIRECT
SNESSolve_Patch,printf, DIRECT
SNESSolve_Patch,printf, DIRECT
SNESSetUp_Patch,SNESGetDM, DIRECT
SNESSetUp_Patch,PetscError, DIRECT
SNESSetUp_Patch,PCSetDM, DIRECT
SNESSetUp_Patch,PetscError, DIRECT
SNESSetUp_Patch,SNESGetFunction, DIRECT
SNESSetUp_Patch,PetscError, DIRECT
SNESSetUp_Patch,VecGetLocalSize, DIRECT
SNESSetUp_Patch,PetscError, DIRECT
SNESSetUp_Patch,VecGetSize, DIRECT
SNESSetUp_Patch,PetscError, DIRECT
SNESSetUp_Patch,PetscObjectComm, DIRECT
SNESSetUp_Patch,MatCreateShell, DIRECT
SNESSetUp_Patch,PetscError, DIRECT
SNESSetUp_Patch,PCSetOperators, DIRECT
SNESSetUp_Patch,PetscError, DIRECT
SNESSetUp_Patch,MatDestroy, DIRECT
SNESSetUp_Patch,PetscError, DIRECT
SNESSetUp_Patch,PCSetUp, DIRECT
SNESSetUp_Patch,PetscError, DIRECT
SNESSetUp_Patch,printf, DIRECT
SNESSetUp_Patch,printf, DIRECT
SNESReset_Patch,PCReset, DIRECT
SNESReset_Patch,PetscError, DIRECT
SNESReset_Patch,printf, DIRECT
SNESReset_Patch,printf, DIRECT
SNESDestroy_Patch,SNESReset_Patch, DIRECT
SNESDestroy_Patch,PetscError, DIRECT
SNESDestroy_Patch,PCDestroy, DIRECT
SNESDestroy_Patch,PetscError, DIRECT
SNESDestroy_Patch,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
SNESDestroy_Patch,PetscError, DIRECT
SNESDestroy_Patch,printf, DIRECT
SNESDestroy_Patch,printf, DIRECT
SNESSetFromOptions_Patch,PetscObjectGetOptionsPrefix, DIRECT
SNESSetFromOptions_Patch,PetscError, DIRECT
SNESSetFromOptions_Patch,PetscObjectSetOptionsPrefix, DIRECT
SNESSetFromOptions_Patch,PetscError, DIRECT
SNESSetFromOptions_Patch,PCSetFromOptions, DIRECT
SNESSetFromOptions_Patch,PetscError, DIRECT
SNESSetFromOptions_Patch,printf, DIRECT
SNESSetFromOptions_Patch,printf, DIRECT
SNESView_Patch,PetscObjectTypeCompare, DIRECT
SNESView_Patch,PetscError, DIRECT
SNESView_Patch,PetscViewerASCIIPrintf, DIRECT
SNESView_Patch,PetscError, DIRECT
SNESView_Patch,PetscViewerASCIIPushTab, DIRECT
SNESView_Patch,PetscError, DIRECT
SNESView_Patch,PCView, DIRECT
SNESView_Patch,PetscError, DIRECT
SNESView_Patch,PetscViewerASCIIPopTab, DIRECT
SNESView_Patch,PetscError, DIRECT
SNESView_Patch,printf, DIRECT
SNESView_Patch,printf, DIRECT
PCSetUp_PATCH_Nonlinear,PetscMallocA, DIRECT
PCSetUp_PATCH_Nonlinear,PetscError, DIRECT
PCSetUp_PATCH_Nonlinear,PCGetOptionsPrefix, DIRECT
PCSetUp_PATCH_Nonlinear,PetscError, DIRECT
PCSetUp_PATCH_Nonlinear,PetscSectionGetChart, DIRECT
PCSetUp_PATCH_Nonlinear,PetscError, DIRECT
PCSetUp_PATCH_Nonlinear,SNESCreate, DIRECT
PCSetUp_PATCH_Nonlinear,PetscError, DIRECT
PCSetUp_PATCH_Nonlinear,SNESSetOptionsPrefix, DIRECT
PCSetUp_PATCH_Nonlinear,PetscError, DIRECT
