CALLER, CALLEE, CALLTYPE
SNESQNSetRestartType,PetscError, DIRECT
SNESQNSetRestartType,PetscCheckPointer, DIRECT
SNESQNSetRestartType,PetscError, DIRECT
SNESQNSetRestartType,PetscError, DIRECT
SNESQNSetRestartType,PetscError, DIRECT
SNESQNSetRestartType,PetscObjectQueryFunction_Private, DIRECT
SNESQNSetRestartType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, i32)*, INDIRECT 
SNESQNSetRestartType,PetscError, DIRECT
SNESQNSetRestartType,printf, DIRECT
SNESQNSetRestartType,printf, DIRECT
SNESQNSetScaleType,PetscError, DIRECT
SNESQNSetScaleType,PetscCheckPointer, DIRECT
SNESQNSetScaleType,PetscError, DIRECT
SNESQNSetScaleType,PetscError, DIRECT
SNESQNSetScaleType,PetscError, DIRECT
SNESQNSetScaleType,PetscObjectQueryFunction_Private, DIRECT
SNESQNSetScaleType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, i32)*, INDIRECT 
SNESQNSetScaleType,PetscError, DIRECT
SNESQNSetScaleType,printf, DIRECT
SNESQNSetScaleType,printf, DIRECT
SNESQNSetScaleType_QN,printf, DIRECT
SNESQNSetScaleType_QN,printf, DIRECT
SNESQNSetRestartType_QN,printf, DIRECT
SNESQNSetRestartType_QN,printf, DIRECT
SNESQNSetType,PetscError, DIRECT
SNESQNSetType,PetscCheckPointer, DIRECT
SNESQNSetType,PetscError, DIRECT
SNESQNSetType,PetscError, DIRECT
SNESQNSetType,PetscError, DIRECT
SNESQNSetType,PetscObjectQueryFunction_Private, DIRECT
SNESQNSetType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*, i32)*, INDIRECT 
SNESQNSetType,PetscError, DIRECT
SNESQNSetType,printf, DIRECT
SNESQNSetType,printf, DIRECT
SNESQNSetType_QN,printf, DIRECT
SNESQNSetType_QN,printf, DIRECT
SNESCreate_QN,PetscMallocA, DIRECT
SNESCreate_QN,PetscLogObjectMemory, DIRECT
SNESCreate_QN,PetscError, DIRECT
SNESCreate_QN,PetscObjectComm, DIRECT
SNESCreate_QN,MatCreate, DIRECT
SNESCreate_QN,PetscError, DIRECT
SNESCreate_QN,SNESGetOptionsPrefix, DIRECT
SNESCreate_QN,PetscError, DIRECT
SNESCreate_QN,MatSetOptionsPrefix, DIRECT
SNESCreate_QN,PetscError, DIRECT
SNESCreate_QN,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_QN,PetscError, DIRECT
SNESCreate_QN,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_QN,PetscError, DIRECT
SNESCreate_QN,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_QN,PetscError, DIRECT
SNESCreate_QN,printf, DIRECT
SNESCreate_QN,printf, DIRECT
SNESSetUp_QN,SNESGetDM, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,DMCreateGlobalVector, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,SNESSetWorkVecs, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,SNESSetUpMatrices, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatSetType, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatSetType, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatSetType, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatLMVMSymBroydenSetScaleType, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatLMVMSymBroydenSetScaleType, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatLMVMSymBroydenSetScaleType, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,VecGetLocalSize, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,VecGetSize, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatSetSizes, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatSetUp, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatLMVMReset, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatLMVMSetHistorySize, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,MatLMVMAllocate, DIRECT
SNESSetUp_QN,PetscError, DIRECT
SNESSetUp_QN,printf, DIRECT
SNESSetUp_QN,printf, DIRECT
SNESSolve_QN,PetscObjectComm, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,PetscStrlen, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscSegBufferGet, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,SNESApplyNPC, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,SNESGetConvergedReason, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,VecNorm, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,SNESComputeFunction, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,VecNorm, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscIsInfOrNanReal, DIRECT
SNESSolve_QN,PetscObjectComm, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscObjectComm, DIRECT
SNESSolve_QN,MPI_Comm_size, DIRECT
SNESSolve_QN,PetscObjectComm, DIRECT
SNESSolve_QN,MPI_Allreduce, DIRECT
SNESSolve_QN,MPI_Error_string, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscObjectComm, DIRECT
SNESSolve_QN,MPI_Comm_size, DIRECT
SNESSolve_QN,PetscObjectComm, DIRECT
SNESSolve_QN,MPI_Allreduce, DIRECT
SNESSolve_QN,MPI_Error_string, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,SNESApplyNPC, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,SNESGetConvergedReason, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,VecCopy, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,SNESLogConvergenceHistory, DIRECT
SNESSolve_QN,SNESMonitor, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,EMPTYNAME = (_SNESOps->any pointer@i64 24) :: i32 (%struct._p_SNES*, i32, double, double, double, i32*, i8*)*, INDIRECT 
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,SNESSolve, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,SNESGetConvergedReason, DIRECT
SNESSolve_QN,PetscError, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,printf, DIRECT
SNESSolve_QN,SNESGetNPCFunction, DIRECT
