CALLER, CALLEE, CALLTYPE
SNESNewtonTRSetPreCheck,PetscCheckPointer, DIRECT
SNESNewtonTRSetPreCheck,PetscError, DIRECT
SNESNewtonTRSetPreCheck,PetscError, DIRECT
SNESNewtonTRSetPreCheck,PetscError, DIRECT
SNESNewtonTRSetPreCheck,printf, DIRECT
SNESNewtonTRSetPreCheck,printf, DIRECT
SNESNewtonTRGetPreCheck,PetscCheckPointer, DIRECT
SNESNewtonTRGetPreCheck,PetscError, DIRECT
SNESNewtonTRGetPreCheck,PetscError, DIRECT
SNESNewtonTRGetPreCheck,PetscError, DIRECT
SNESNewtonTRGetPreCheck,printf, DIRECT
SNESNewtonTRGetPreCheck,printf, DIRECT
SNESNewtonTRSetPostCheck,PetscCheckPointer, DIRECT
SNESNewtonTRSetPostCheck,PetscError, DIRECT
SNESNewtonTRSetPostCheck,PetscError, DIRECT
SNESNewtonTRSetPostCheck,PetscError, DIRECT
SNESNewtonTRSetPostCheck,printf, DIRECT
SNESNewtonTRSetPostCheck,printf, DIRECT
SNESNewtonTRGetPostCheck,PetscCheckPointer, DIRECT
SNESNewtonTRGetPostCheck,PetscError, DIRECT
SNESNewtonTRGetPostCheck,PetscError, DIRECT
SNESNewtonTRGetPostCheck,PetscError, DIRECT
SNESNewtonTRGetPostCheck,printf, DIRECT
SNESNewtonTRGetPostCheck,printf, DIRECT
SNESReset_NEWTONTR,printf, DIRECT
SNESReset_NEWTONTR,printf, DIRECT
SNESCreate_NEWTONTR,PetscMallocA, DIRECT
SNESCreate_NEWTONTR,PetscLogObjectMemory, DIRECT
SNESCreate_NEWTONTR,PetscError, DIRECT
SNESCreate_NEWTONTR,printf, DIRECT
SNESCreate_NEWTONTR,printf, DIRECT
SNESSetUp_NEWTONTR,SNESSetWorkVecs, DIRECT
SNESSetUp_NEWTONTR,PetscError, DIRECT
SNESSetUp_NEWTONTR,SNESSetUpMatrices, DIRECT
SNESSetUp_NEWTONTR,PetscError, DIRECT
SNESSetUp_NEWTONTR,printf, DIRECT
SNESSetUp_NEWTONTR,printf, DIRECT
SNESSolve_NEWTONTR,PetscObjectComm, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,SNESGetKSP, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,KSPGetConvergenceTest, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,PetscMallocA, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,KSPGetAndClearConvergenceTest, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,KSPSetConvergenceTest, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,PetscInfo_Private, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,SNESComputeFunction, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,VecNorm, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,PetscIsInfOrNanReal, DIRECT
SNESSolve_NEWTONTR,PetscObjectComm, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,PetscObjectComm, DIRECT
SNESSolve_NEWTONTR,MPI_Comm_size, DIRECT
SNESSolve_NEWTONTR,PetscObjectComm, DIRECT
SNESSolve_NEWTONTR,MPI_Allreduce, DIRECT
SNESSolve_NEWTONTR,MPI_Error_string, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,PetscError, DIRECT
SNESSolve_NEWTONTR,PetscObjectComm, DIRECT
SNESSolve_NEWTONTR,MPI_Comm_size, DIRECT
SNESSolve_NEWTONTR,PetscObjectComm, DIRECT
