CALLER, CALLEE, CALLTYPE
SNESVIComputeBsubdifferentialVectors,VecGetArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecGetArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecGetArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecGetArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecGetArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecGetArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecGetLocalSize, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,sqrt, DIRECT
SNESVIComputeBsubdifferentialVectors,VecRestoreArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecRestoreArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecRestoreArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecRestoreArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecRestoreArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,VecRestoreArray, DIRECT
SNESVIComputeBsubdifferentialVectors,PetscError, DIRECT
SNESVIComputeBsubdifferentialVectors,printf, DIRECT
SNESVIComputeBsubdifferentialVectors,printf, DIRECT
SNESVIComputeJacobian,MatDiagonalScale, DIRECT
SNESVIComputeJacobian,PetscError, DIRECT
SNESVIComputeJacobian,MatDiagonalSet, DIRECT
SNESVIComputeJacobian,PetscError, DIRECT
SNESVIComputeJacobian,MatDiagonalScale, DIRECT
SNESVIComputeJacobian,PetscError, DIRECT
SNESVIComputeJacobian,MatDiagonalSet, DIRECT
SNESVIComputeJacobian,PetscError, DIRECT
SNESVIComputeJacobian,printf, DIRECT
SNESVIComputeJacobian,printf, DIRECT
SNESVIComputeMeritFunctionGradient,MatMultTranspose, DIRECT
SNESVIComputeMeritFunctionGradient,PetscError, DIRECT
SNESVIComputeMeritFunctionGradient,printf, DIRECT
SNESVIComputeMeritFunctionGradient,printf, DIRECT
SNESSolve_VINEWTONSSLS,SNESGetDM, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,DMGetDMSNES, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,SNESVIProjectOntoBounds, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,SNESComputeFunction, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,SNESVIComputeMeritFunction, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,VecNormBegin, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,VecNormEnd, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscIsInfOrNanReal, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Comm_size, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Allreduce, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Error_string, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Comm_size, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Allreduce, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Error_string, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,SNESLogConvergenceHistory, DIRECT
SNESSolve_VINEWTONSSLS,SNESMonitor, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,EMPTYNAME = (_SNESOps->any pointer@i64 24) :: i32 (%struct._p_SNES*, i32, double, double, double, i32*, i8*)*, INDIRECT 
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,EMPTYNAME = (_SNESOps->any pointer@i64 16) :: i32 (%struct._p_SNES*, i32)*, INDIRECT 
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,SNESComputeJacobian, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Comm_size, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Allreduce, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Error_string, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Comm_size, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Allreduce, DIRECT
SNESSolve_VINEWTONSSLS,MPI_Error_string, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscObjectComm, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,SNESVIComputeBsubdifferentialVectors, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,SNESVIComputeJacobian, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,SNESVIComputeMeritFunctionGradient, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,KSPSetOperators, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,KSPSolve, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,KSPGetConvergedReason, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscInfo_Private, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,KSPGetIterationNumber, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscInfo_Private, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,VecCopy, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,SNESLineSearchApply, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,SNESLineSearchGetReason, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,SNESLineSearchGetNorms, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscInfo_Private, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,SNESVICheckLocalMin_Private, DIRECT
SNESSolve_VINEWTONSSLS,SNESLogConvergenceHistory, DIRECT
SNESSolve_VINEWTONSSLS,SNESMonitor, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,VecNorm, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,EMPTYNAME = (_SNESOps->any pointer@i64 24) :: i32 (%struct._p_SNES*, i32, double, double, double, i32*, i8*)*, INDIRECT 
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,PetscInfo_Private, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,printf, DIRECT
SNESSolve_VINEWTONSSLS,PetscError, DIRECT
SNESVIComputeFunction,EMPTYNAME = (->any pointer@i64 72) :: i32 (%struct._p_SNES*, %struct._p_Vec*, %struct._p_Vec*, i8*)*, INDIRECT 
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecGetLocalSize, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecGetArrayRead, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecGetArray, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecGetArray, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecGetArray, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecGetArray, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,sqrt, DIRECT
SNESVIComputeFunction,sqrt, DIRECT
SNESVIComputeFunction,sqrt, DIRECT
SNESVIComputeFunction,sqrt, DIRECT
SNESVIComputeFunction,VecRestoreArrayRead, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecRestoreArray, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecRestoreArray, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecRestoreArray, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,VecRestoreArray, DIRECT
SNESVIComputeFunction,PetscError, DIRECT
SNESVIComputeFunction,printf, DIRECT
SNESVIComputeFunction,printf, DIRECT
SNESVIComputeMeritFunction,VecNormBegin, DIRECT
SNESVIComputeMeritFunction,PetscError, DIRECT
SNESVIComputeMeritFunction,VecNormEnd, DIRECT
SNESVIComputeMeritFunction,PetscError, DIRECT
SNESVIComputeMeritFunction,printf, DIRECT
SNESVIComputeMeritFunction,printf, DIRECT
PetscIsInfOrNanReal,PetscIsInfReal, DIRECT
PetscIsInfOrNanReal,PetscIsNanReal, DIRECT
SNESLogConvergenceHistory,printf, DIRECT
SNESLogConvergenceHistory,printf, DIRECT
SNESSetUp_VINEWTONSSLS,SNESSetUp_VI, DIRECT
SNESSetUp_VINEWTONSSLS,PetscError, DIRECT
SNESSetUp_VINEWTONSSLS,VecDuplicate, DIRECT
SNESSetUp_VINEWTONSSLS,PetscError, DIRECT
SNESSetUp_VINEWTONSSLS,VecDuplicate, DIRECT
SNESSetUp_VINEWTONSSLS,PetscError, DIRECT
SNESSetUp_VINEWTONSSLS,VecDuplicate, DIRECT
SNESSetUp_VINEWTONSSLS,PetscError, DIRECT
SNESSetUp_VINEWTONSSLS,VecDuplicate, DIRECT
SNESSetUp_VINEWTONSSLS,PetscError, DIRECT
SNESSetUp_VINEWTONSSLS,VecDuplicate, DIRECT
SNESSetUp_VINEWTONSSLS,PetscError, DIRECT
SNESSetUp_VINEWTONSSLS,VecDuplicate, DIRECT
SNESSetUp_VINEWTONSSLS,PetscError, DIRECT
SNESSetUp_VINEWTONSSLS,printf, DIRECT
SNESSetUp_VINEWTONSSLS,printf, DIRECT
SNESReset_VINEWTONSSLS,SNESReset_VI, DIRECT
SNESReset_VINEWTONSSLS,PetscError, DIRECT
SNESReset_VINEWTONSSLS,VecDestroy, DIRECT
SNESReset_VINEWTONSSLS,PetscError, DIRECT
SNESReset_VINEWTONSSLS,VecDestroy, DIRECT
SNESReset_VINEWTONSSLS,PetscError, DIRECT
SNESReset_VINEWTONSSLS,VecDestroy, DIRECT
SNESReset_VINEWTONSSLS,PetscError, DIRECT
SNESReset_VINEWTONSSLS,VecDestroy, DIRECT
SNESReset_VINEWTONSSLS,PetscError, DIRECT
SNESReset_VINEWTONSSLS,VecDestroy, DIRECT
SNESReset_VINEWTONSSLS,PetscError, DIRECT
SNESReset_VINEWTONSSLS,VecDestroy, DIRECT
SNESReset_VINEWTONSSLS,PetscError, DIRECT
SNESReset_VINEWTONSSLS,printf, DIRECT
SNESReset_VINEWTONSSLS,printf, DIRECT
SNESCreate_VINEWTONSSLS,SNESGetLineSearch, DIRECT
SNESCreate_VINEWTONSSLS,PetscError, DIRECT
SNESCreate_VINEWTONSSLS,SNESLineSearchSetType, DIRECT
SNESCreate_VINEWTONSSLS,PetscError, DIRECT
SNESCreate_VINEWTONSSLS,SNESLineSearchBTSetAlpha, DIRECT
SNESCreate_VINEWTONSSLS,PetscError, DIRECT
SNESCreate_VINEWTONSSLS,PetscMallocA, DIRECT
SNESCreate_VINEWTONSSLS,PetscLogObjectMemory, DIRECT
SNESCreate_VINEWTONSSLS,PetscError, DIRECT
SNESCreate_VINEWTONSSLS,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_VINEWTONSSLS,PetscError, DIRECT
SNESCreate_VINEWTONSSLS,PetscObjectComposeFunction_Private, DIRECT
SNESCreate_VINEWTONSSLS,PetscError, DIRECT
SNESCreate_VINEWTONSSLS,printf, DIRECT
SNESCreate_VINEWTONSSLS,printf, DIRECT
SNESSetFromOptions_VINEWTONSSLS,SNESSetFromOptions_VI, DIRECT
SNESSetFromOptions_VINEWTONSSLS,PetscError, DIRECT
SNESSetFromOptions_VINEWTONSSLS,PetscOptionsHead, DIRECT
SNESSetFromOptions_VINEWTONSSLS,PetscError, DIRECT
SNESSetFromOptions_VINEWTONSSLS,printf, DIRECT
SNESSetFromOptions_VINEWTONSSLS,printf, DIRECT
SNESSetFromOptions_VINEWTONSSLS,printf, DIRECT
SNESSetFromOptions_VINEWTONSSLS,printf, DIRECT
