CALLER, CALLEE, CALLTYPE
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,PetscCheckPointer, DIRECT
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,PetscObjectComm, DIRECT
SNESSetErrorIfNotConverged,MPI_Comm_size, DIRECT
SNESSetErrorIfNotConverged,PetscObjectComm, DIRECT
SNESSetErrorIfNotConverged,MPI_Allreduce, DIRECT
SNESSetErrorIfNotConverged,MPI_Error_string, DIRECT
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,PetscObjectComm, DIRECT
SNESSetErrorIfNotConverged,MPI_Comm_size, DIRECT
SNESSetErrorIfNotConverged,PetscObjectComm, DIRECT
SNESSetErrorIfNotConverged,MPI_Allreduce, DIRECT
SNESSetErrorIfNotConverged,MPI_Error_string, DIRECT
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,PetscObjectComm, DIRECT
SNESSetErrorIfNotConverged,PetscError, DIRECT
SNESSetErrorIfNotConverged,printf, DIRECT
SNESSetErrorIfNotConverged,printf, DIRECT
SNESGetErrorIfNotConverged,PetscError, DIRECT
SNESGetErrorIfNotConverged,PetscCheckPointer, DIRECT
SNESGetErrorIfNotConverged,PetscError, DIRECT
SNESGetErrorIfNotConverged,PetscError, DIRECT
SNESGetErrorIfNotConverged,PetscError, DIRECT
SNESGetErrorIfNotConverged,PetscError, DIRECT
SNESGetErrorIfNotConverged,PetscCheckPointer, DIRECT
SNESGetErrorIfNotConverged,PetscError, DIRECT
SNESGetErrorIfNotConverged,printf, DIRECT
SNESGetErrorIfNotConverged,printf, DIRECT
SNESSetAlwaysComputesFinalResidual,PetscError, DIRECT
SNESSetAlwaysComputesFinalResidual,PetscCheckPointer, DIRECT
SNESSetAlwaysComputesFinalResidual,PetscError, DIRECT
SNESSetAlwaysComputesFinalResidual,PetscError, DIRECT
SNESSetAlwaysComputesFinalResidual,PetscError, DIRECT
SNESSetAlwaysComputesFinalResidual,printf, DIRECT
SNESSetAlwaysComputesFinalResidual,printf, DIRECT
SNESGetAlwaysComputesFinalResidual,PetscError, DIRECT
SNESGetAlwaysComputesFinalResidual,PetscCheckPointer, DIRECT
SNESGetAlwaysComputesFinalResidual,PetscError, DIRECT
SNESGetAlwaysComputesFinalResidual,PetscError, DIRECT
SNESGetAlwaysComputesFinalResidual,PetscError, DIRECT
SNESGetAlwaysComputesFinalResidual,printf, DIRECT
SNESGetAlwaysComputesFinalResidual,printf, DIRECT
SNESSetFunctionDomainError,PetscError, DIRECT
SNESSetFunctionDomainError,PetscCheckPointer, DIRECT
SNESSetFunctionDomainError,PetscError, DIRECT
SNESSetFunctionDomainError,PetscError, DIRECT
SNESSetFunctionDomainError,PetscError, DIRECT
SNESSetFunctionDomainError,PetscError, DIRECT
SNESSetFunctionDomainError,printf, DIRECT
SNESSetFunctionDomainError,printf, DIRECT
SNESSetJacobianDomainError,PetscError, DIRECT
SNESSetJacobianDomainError,PetscCheckPointer, DIRECT
SNESSetJacobianDomainError,PetscError, DIRECT
SNESSetJacobianDomainError,PetscError, DIRECT
SNESSetJacobianDomainError,PetscError, DIRECT
SNESSetJacobianDomainError,PetscError, DIRECT
SNESSetJacobianDomainError,printf, DIRECT
SNESSetJacobianDomainError,printf, DIRECT
SNESSetCheckJacobianDomainError,PetscError, DIRECT
SNESSetCheckJacobianDomainError,PetscCheckPointer, DIRECT
SNESSetCheckJacobianDomainError,PetscError, DIRECT
SNESSetCheckJacobianDomainError,PetscError, DIRECT
SNESSetCheckJacobianDomainError,PetscError, DIRECT
SNESSetCheckJacobianDomainError,printf, DIRECT
SNESSetCheckJacobianDomainError,printf, DIRECT
SNESGetCheckJacobianDomainError,PetscError, DIRECT
SNESGetCheckJacobianDomainError,PetscCheckPointer, DIRECT
SNESGetCheckJacobianDomainError,PetscError, DIRECT
SNESGetCheckJacobianDomainError,PetscError, DIRECT
SNESGetCheckJacobianDomainError,PetscError, DIRECT
SNESGetCheckJacobianDomainError,PetscError, DIRECT
SNESGetCheckJacobianDomainError,PetscCheckPointer, DIRECT
SNESGetCheckJacobianDomainError,PetscError, DIRECT
SNESGetCheckJacobianDomainError,printf, DIRECT
SNESGetCheckJacobianDomainError,printf, DIRECT
SNESGetFunctionDomainError,PetscError, DIRECT
SNESGetFunctionDomainError,PetscCheckPointer, DIRECT
SNESGetFunctionDomainError,PetscError, DIRECT
SNESGetFunctionDomainError,PetscError, DIRECT
SNESGetFunctionDomainError,PetscError, DIRECT
SNESGetFunctionDomainError,PetscError, DIRECT
SNESGetFunctionDomainError,PetscCheckPointer, DIRECT
SNESGetFunctionDomainError,PetscError, DIRECT
SNESGetFunctionDomainError,printf, DIRECT
SNESGetFunctionDomainError,printf, DIRECT
SNESGetJacobianDomainError,PetscError, DIRECT
SNESGetJacobianDomainError,PetscCheckPointer, DIRECT
SNESGetJacobianDomainError,PetscError, DIRECT
SNESGetJacobianDomainError,PetscError, DIRECT
SNESGetJacobianDomainError,PetscError, DIRECT
SNESGetJacobianDomainError,PetscError, DIRECT
SNESGetJacobianDomainError,PetscCheckPointer, DIRECT
SNESGetJacobianDomainError,PetscError, DIRECT
SNESGetJacobianDomainError,printf, DIRECT
SNESGetJacobianDomainError,printf, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscCheckPointer, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscCheckPointer, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscObjectTypeCompare, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscViewerBinaryRead, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscObjectComm, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,PetscViewerBinaryRead, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,SNESSetType, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,EMPTYNAME = (_SNESOps->any pointer@i64 128) :: i32 (%struct._p_SNES*, %struct._p_PetscViewer*)*, INDIRECT 
SNESLoad,PetscError, DIRECT
SNESLoad,SNESGetDM, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,DMGetDMSNES, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,DMSNESLoad, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,SNESGetKSP, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,KSPLoad, DIRECT
SNESLoad,PetscError, DIRECT
SNESLoad,printf, DIRECT
SNESLoad,printf, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,PetscCheckPointer, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,PetscCheckPointer, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,PetscObjectTypeCompare, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,printf, DIRECT
SNESSetType,printf, DIRECT
SNESSetType,PetscFunctionListFind_Private, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,EMPTYNAME = (_SNESOps->any pointer@i64 72) :: i32 (%struct._p_SNES*)*, INDIRECT 
SNESSetType,PetscError, DIRECT
SNESSetType,SNESLineSearchDestroy, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,PetscObjectChangeTypeName, DIRECT
SNESSetType,PetscError, DIRECT
SNESSetType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_SNES*)*, INDIRECT 
SNESSetType,PetscError, DIRECT
SNESSetType,printf, DIRECT
SNESSetType,printf, DIRECT
SNESGetDM,PetscError, DIRECT
SNESGetDM,PetscCheckPointer, DIRECT
SNESGetDM,PetscError, DIRECT
SNESGetDM,PetscError, DIRECT
SNESGetDM,PetscError, DIRECT
SNESGetDM,PetscObjectComm, DIRECT
SNESGetDM,DMShellCreate, DIRECT
SNESGetDM,PetscError, DIRECT
SNESGetDM,printf, DIRECT
SNESGetDM,printf, DIRECT
SNESGetKSP,PetscError, DIRECT
SNESGetKSP,PetscCheckPointer, DIRECT
SNESGetKSP,PetscError, DIRECT
SNESGetKSP,PetscError, DIRECT
SNESGetKSP,PetscError, DIRECT
SNESGetKSP,PetscError, DIRECT
SNESGetKSP,PetscCheckPointer, DIRECT
SNESGetKSP,PetscError, DIRECT
SNESGetKSP,PetscObjectComm, DIRECT
SNESGetKSP,KSPCreate, DIRECT
SNESGetKSP,PetscError, DIRECT
SNESGetKSP,PetscObjectIncrementTabLevel, DIRECT
