CALLER, CALLEE, CALLTYPE
sneslinesearchmonitorcancel_,SNESLineSearchMonitorCancel, DIRECT
sneslinesearchmonitor_,SNESLineSearchMonitor, DIRECT
sneslinesearchcreate_,MPI_Comm_f2c, DIRECT
sneslinesearchcreate_,SNESLineSearchCreate, DIRECT
sneslinesearchsetup_,SNESLineSearchSetUp, DIRECT
sneslinesearchreset_,SNESLineSearchReset, DIRECT
sneslinesearchprecheck_,SNESLineSearchPreCheck, DIRECT
sneslinesearchpostcheck_,SNESLineSearchPostCheck, DIRECT
sneslinesearchapply_,SNESLineSearchApply, DIRECT
sneslinesearchdestroy_,SNESLineSearchDestroy, DIRECT
sneslinesearchsetdefaultmonitor_,SNESLineSearchSetDefaultMonitor, DIRECT
sneslinesearchgetdefaultmonitor_,SNESLineSearchGetDefaultMonitor, DIRECT
sneslinesearchsetfromoptions_,SNESLineSearchSetFromOptions, DIRECT
sneslinesearchview_,SNESLineSearchView, DIRECT
sneslinesearchsetsnes_,SNESLineSearchSetSNES, DIRECT
sneslinesearchgetsnes_,SNESLineSearchGetSNES, DIRECT
sneslinesearchgetlambda_,SNESLineSearchGetLambda, DIRECT
sneslinesearchsetlambda_,SNESLineSearchSetLambda, DIRECT
sneslinesearchgettolerances_,SNESLineSearchGetTolerances, DIRECT
sneslinesearchsettolerances_,SNESLineSearchSetTolerances, DIRECT
sneslinesearchgetdamping_,SNESLineSearchGetDamping, DIRECT
sneslinesearchsetdamping_,SNESLineSearchSetDamping, DIRECT
sneslinesearchgetorder_,SNESLineSearchGetOrder, DIRECT
sneslinesearchsetorder_,SNESLineSearchSetOrder, DIRECT
sneslinesearchgetnorms_,SNESLineSearchGetNorms, DIRECT
sneslinesearchsetnorms_,SNESLineSearchSetNorms, DIRECT
sneslinesearchcomputenorms_,SNESLineSearchComputeNorms, DIRECT
sneslinesearchsetcomputenorms_,SNESLineSearchSetComputeNorms, DIRECT
sneslinesearchgetvecs_,SNESLineSearchGetVecs, DIRECT
sneslinesearchsetvecs_,SNESLineSearchSetVecs, DIRECT
sneslinesearchgetreason_,SNESLineSearchGetReason, DIRECT
sneslinesearchsetreason_,SNESLineSearchSetReason, DIRECT
