CALLER, CALLEE, CALLTYPE
SNESConvergedCorrectPressure,SNESConvergedDefault, DIRECT
SNESConvergedCorrectPressure,PetscError, DIRECT
SNESConvergedCorrectPressure,SNESGetSolution, DIRECT
SNESConvergedCorrectPressure,PetscError, DIRECT
SNESConvergedCorrectPressure,SNESGetJacobian, DIRECT
SNESConvergedCorrectPressure,PetscError, DIRECT
SNESConvergedCorrectPressure,MatGetNullSpace, DIRECT
SNESConvergedCorrectPressure,PetscError, DIRECT
SNESConvergedCorrectPressure,SNESCorrectDiscretePressure_Private, DIRECT
SNESConvergedCorrectPressure,PetscError, DIRECT
SNESConvergedCorrectPressure,printf, DIRECT
SNESConvergedCorrectPressure,printf, DIRECT
SNESCorrectDiscretePressure_Private,PetscObjectGetComm, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,SNESGetDM, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,DMGetDS, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,PetscDSSetObjective, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,MatNullSpaceGetVecs, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,VecDot, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,PetscDSGetNumFields, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,PetscMallocA, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,DMPlexComputeIntegralFEM, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,DMPlexComputeIntegralFEM, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,VecAXPY, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,DMPlexComputeIntegralFEM, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,PetscFreeA, DIRECT
SNESCorrectDiscretePressure_Private,PetscError, DIRECT
SNESCorrectDiscretePressure_Private,printf, DIRECT
SNESCorrectDiscretePressure_Private,printf, DIRECT
DMInterpolationCreate,PetscError, DIRECT
DMInterpolationCreate,PetscCheckPointer, DIRECT
DMInterpolationCreate,PetscError, DIRECT
DMInterpolationCreate,PetscMallocA, DIRECT
DMInterpolationCreate,PetscError, DIRECT
DMInterpolationCreate,printf, DIRECT
DMInterpolationCreate,printf, DIRECT
DMInterpolationSetDim,PetscError, DIRECT
DMInterpolationSetDim,printf, DIRECT
DMInterpolationSetDim,printf, DIRECT
DMInterpolationGetDim,PetscError, DIRECT
DMInterpolationGetDim,PetscCheckPointer, DIRECT
DMInterpolationGetDim,PetscError, DIRECT
DMInterpolationGetDim,printf, DIRECT
DMInterpolationGetDim,printf, DIRECT
DMInterpolationSetDof,PetscError, DIRECT
DMInterpolationSetDof,printf, DIRECT
DMInterpolationSetDof,printf, DIRECT
DMInterpolationGetDof,PetscError, DIRECT
DMInterpolationGetDof,PetscCheckPointer, DIRECT
DMInterpolationGetDof,PetscError, DIRECT
DMInterpolationGetDof,printf, DIRECT
DMInterpolationGetDof,printf, DIRECT
DMInterpolationAddPoints,PetscError, DIRECT
DMInterpolationAddPoints,PetscError, DIRECT
DMInterpolationAddPoints,PetscMallocA, DIRECT
DMInterpolationAddPoints,PetscError, DIRECT
DMInterpolationAddPoints,PetscError, DIRECT
DMInterpolationAddPoints,PetscError, DIRECT
DMInterpolationAddPoints,PetscError, DIRECT
DMInterpolationAddPoints,printf, DIRECT
DMInterpolationAddPoints,printf, DIRECT
DMInterpolationAddPoints,PetscError, DIRECT
DMInterpolationAddPoints,printf, DIRECT
DMInterpolationAddPoints,printf, DIRECT
DMInterpolationSetUp,PetscError, DIRECT
DMInterpolationSetUp,PetscCheckPointer, DIRECT
DMInterpolationSetUp,PetscError, DIRECT
DMInterpolationSetUp,PetscError, DIRECT
DMInterpolationSetUp,PetscError, DIRECT
DMInterpolationSetUp,MPI_Comm_size, DIRECT
DMInterpolationSetUp,MPI_Error_string, DIRECT
DMInterpolationSetUp,PetscError, DIRECT
DMInterpolationSetUp,MPI_Comm_rank, DIRECT
DMInterpolationSetUp,MPI_Error_string, DIRECT
DMInterpolationSetUp,PetscError, DIRECT
DMInterpolationSetUp,PetscError, DIRECT
DMInterpolationSetUp,PetscLayoutCreate, DIRECT
