CALLER, CALLEE, CALLTYPE
PetscDrawCreate_Null,PetscDrawDestroy, DIRECT
PetscDrawCreate_Null,PetscError, DIRECT
PetscDrawCreate_Null,printf, DIRECT
PetscDrawCreate_Null,printf, DIRECT
PetscDrawCreate_Null,PetscError, DIRECT
PetscDrawCreate_Null,PetscError, DIRECT
PetscDrawCreate_Null,printf, DIRECT
PetscDrawCreate_Null,printf, DIRECT
PetscDrawOpenNull,PetscDrawCreate, DIRECT
PetscDrawOpenNull,PetscError, DIRECT
PetscDrawOpenNull,PetscDrawSetType, DIRECT
PetscDrawOpenNull,PetscError, DIRECT
PetscDrawOpenNull,printf, DIRECT
PetscDrawOpenNull,printf, DIRECT
PetscDrawIsNull,PetscError, DIRECT
PetscDrawIsNull,PetscCheckPointer, DIRECT
PetscDrawIsNull,PetscError, DIRECT
PetscDrawIsNull,PetscError, DIRECT
PetscDrawIsNull,PetscError, DIRECT
PetscDrawIsNull,PetscError, DIRECT
PetscDrawIsNull,PetscCheckPointer, DIRECT
PetscDrawIsNull,PetscError, DIRECT
PetscDrawIsNull,PetscObjectTypeCompare, DIRECT
PetscDrawIsNull,PetscError, DIRECT
PetscDrawIsNull,printf, DIRECT
PetscDrawIsNull,printf, DIRECT
PetscDrawLine_Null,printf, DIRECT
PetscDrawLine_Null,printf, DIRECT
PetscDrawLineGetWidth_Null,printf, DIRECT
PetscDrawLineGetWidth_Null,printf, DIRECT
PetscDrawPoint_Null,printf, DIRECT
PetscDrawPoint_Null,printf, DIRECT
PetscDrawString_Null,printf, DIRECT
PetscDrawString_Null,printf, DIRECT
PetscDrawStringVertical_Null,printf, DIRECT
PetscDrawStringVertical_Null,printf, DIRECT
PetscDrawStringGetSize_Null,printf, DIRECT
PetscDrawStringGetSize_Null,printf, DIRECT
PetscDrawRectangle_Null,printf, DIRECT
PetscDrawRectangle_Null,printf, DIRECT
PetscDrawTriangle_Null,printf, DIRECT
PetscDrawTriangle_Null,printf, DIRECT
PetscDrawEllipse_Null,printf, DIRECT
PetscDrawEllipse_Null,printf, DIRECT
PetscDrawGetSingleton_Null,PetscDrawOpenNull, DIRECT
PetscDrawGetSingleton_Null,PetscError, DIRECT
PetscDrawGetSingleton_Null,printf, DIRECT
PetscDrawGetSingleton_Null,printf, DIRECT
PetscDrawRestoreSingleton_Null,PetscDrawDestroy, DIRECT
PetscDrawRestoreSingleton_Null,PetscError, DIRECT
PetscDrawRestoreSingleton_Null,printf, DIRECT
PetscDrawRestoreSingleton_Null,printf, DIRECT
PetscDrawArrow_Null,printf, DIRECT
PetscDrawArrow_Null,printf, DIRECT
PetscDrawCoordinateToPixel_Null,printf, DIRECT
PetscDrawCoordinateToPixel_Null,printf, DIRECT
PetscDrawPixelToCoordinate_Null,printf, DIRECT
PetscDrawPixelToCoordinate_Null,printf, DIRECT
PetscDrawPointPixel_Null,printf, DIRECT
PetscDrawPointPixel_Null,printf, DIRECT
PetscDrawStringBoxed_Null,printf, DIRECT
PetscDrawStringBoxed_Null,printf, DIRECT
