CALLER, CALLEE, CALLTYPE
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Comm_rank, DIRECT
PetscDrawGetImage_X,MPI_Error_string, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscObjectTypeCompare, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscMemcpy, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscSetXIOErrorHandler, DIRECT
PetscDrawGetImage_X,_setjmp, DIRECT
PetscDrawGetImage_X,PetscSetXIOErrorHandler, DIRECT
PetscDrawGetImage_X,PetscMemcpy, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Comm_size, DIRECT
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Allreduce, DIRECT
PetscDrawGetImage_X,MPI_Error_string, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscDrawSetType, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscDrawGetImage_X,XSync, DIRECT
PetscDrawGetImage_X,PetscSetXIOErrorHandler, DIRECT
PetscDrawGetImage_X,PetscMemcpy, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Comm_size, DIRECT
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Allreduce, DIRECT
PetscDrawGetImage_X,MPI_Error_string, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscDrawSetType, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Barrier, DIRECT
PetscDrawGetImage_X,MPI_Error_string, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscObjectTypeCompare, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscMemcpy, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscSetXIOErrorHandler, DIRECT
PetscDrawGetImage_X,_setjmp, DIRECT
PetscDrawGetImage_X,PetscSetXIOErrorHandler, DIRECT
PetscDrawGetImage_X,PetscMemcpy, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Comm_size, DIRECT
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Allreduce, DIRECT
PetscDrawGetImage_X,MPI_Error_string, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscDrawSetType, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscDrawGetImage_X,PetscMemcpy, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,XGetGeometry, DIRECT
PetscDrawGetImage_X,XGetImage, DIRECT
PetscDrawGetImage_X,PetscArgSortPixVal, DIRECT
PetscDrawGetImage_X,PetscMallocA, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,EMPTYNAME = (_XImage->any pointer@i64 104) :: i64 (%struct._XImage*, i32, i32)*, INDIRECT 
PetscDrawGetImage_X,EMPTYNAME = (_XImage->any pointer@i64 96) :: i32 (%struct._XImage*)*, INDIRECT 
PetscDrawGetImage_X,PetscSetXIOErrorHandler, DIRECT
PetscDrawGetImage_X,PetscMemcpy, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Comm_size, DIRECT
PetscDrawGetImage_X,PetscObjectComm, DIRECT
PetscDrawGetImage_X,MPI_Allreduce, DIRECT
PetscDrawGetImage_X,MPI_Error_string, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,PetscDrawSetType, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscDrawGetImage_X,PetscError, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscDrawGetImage_X,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
PetscArgSortPixVal,printf, DIRECT
PetscArgSortPixVal,printf, DIRECT
PetscArgSortPixVal,PetscArgSortPixVal, DIRECT
PetscArgSortPixVal,PetscArgSortPixVal, DIRECT
PetscArgSortPixVal,printf, DIRECT
PetscArgSortPixVal,printf, DIRECT
