CALLER, CALLEE, CALLTYPE
PetscDrawXiClose,printf, DIRECT
PetscDrawXiClose,printf, DIRECT
PetscDrawXiClose,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscDrawXiClose,PetscError, DIRECT
PetscDrawXiClose,PetscMemcpy, DIRECT
PetscDrawXiClose,PetscError, DIRECT
PetscDrawXiClose,PetscSetXIOErrorHandler, DIRECT
PetscDrawXiClose,_setjmp, DIRECT
PetscDrawXiClose,XFreeGC, DIRECT
PetscDrawXiClose,XCloseDisplay, DIRECT
PetscDrawXiClose,PetscSetXIOErrorHandler, DIRECT
PetscDrawXiClose,PetscMemcpy, DIRECT
PetscDrawXiClose,PetscError, DIRECT
PetscDrawXiClose,printf, DIRECT
PetscDrawXiClose,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
PetscDrawXiInit,XOpenDisplay, DIRECT
PetscDrawXiInit,printf, DIRECT
PetscDrawXiInit,printf, DIRECT
PetscDrawXiInit,PetscError, DIRECT
PetscDrawXiInit,PetscError, DIRECT
PetscDrawXiInit,XCreateGC, DIRECT
PetscDrawXiInit,printf, DIRECT
PetscDrawXiInit,printf, DIRECT
PetscDrawXiInit,PetscError, DIRECT
PetscDrawXiInit,PetscError, DIRECT
PetscDrawXiInit,PetscDrawXiFontFixed, DIRECT
PetscDrawXiInit,PetscError, DIRECT
PetscDrawXiInit,printf, DIRECT
PetscDrawXiInit,printf, DIRECT
PetscDrawXiQuickWindow,PetscDrawSetColormap_X, DIRECT
PetscDrawXiQuickWindow,PetscError, DIRECT
PetscDrawXiQuickWindow,PetscError, DIRECT
PetscDrawXiQuickWindow,XGetWindowAttributes, DIRECT
PetscDrawXiQuickWindow,XCreateWindow, DIRECT
PetscDrawXiQuickWindow,PetscError, DIRECT
PetscDrawXiQuickWindow,XStringListToTextProperty, DIRECT
PetscDrawXiQuickWindow,XStringListToTextProperty, DIRECT
PetscDrawXiQuickWindow,XSetWMProperties, DIRECT
PetscDrawXiQuickWindow,XFree, DIRECT
PetscDrawXiQuickWindow,XFree, DIRECT
PetscDrawXiQuickWindow,XSelectInput, DIRECT
PetscDrawXiQuickWindow,XMapWindow, DIRECT
PetscDrawXiQuickWindow,XMaskEvent, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindow,XMaskEvent, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindow,PetscError, DIRECT
PetscDrawXiQuickWindow,XSelectInput, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindow,PetscError, DIRECT
PetscDrawXiQuickWindow,XSetWindowBackground, DIRECT
PetscDrawXiQuickWindow,XClearWindow, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindow,printf, DIRECT
PetscDrawXiQuickWindowFromWindow,XGetWindowAttributes, DIRECT
PetscDrawXiQuickWindowFromWindow,PetscDrawSetColormap_X, DIRECT
PetscDrawXiQuickWindowFromWindow,PetscError, DIRECT
PetscDrawXiQuickWindowFromWindow,printf, DIRECT
PetscDrawXiQuickWindowFromWindow,printf, DIRECT
PetscDrawXiQuickPixmap,XFreePixmap, DIRECT
PetscDrawXiQuickPixmap,XCreatePixmap, DIRECT
PetscDrawXiQuickPixmap,XSetForeground, DIRECT
PetscDrawXiQuickPixmap,XFillRectangle, DIRECT
PetscDrawXiQuickPixmap,XSync, DIRECT
PetscDrawXiQuickPixmap,printf, DIRECT
PetscDrawXiQuickPixmap,printf, DIRECT
PetscDrawXiResizeWindow,XSelectInput, DIRECT
PetscDrawXiResizeWindow,XResizeWindow, DIRECT
PetscDrawXiResizeWindow,XWindowEvent, DIRECT
PetscDrawXiResizeWindow,XSelectInput, DIRECT
PetscDrawXiResizeWindow,printf, DIRECT
PetscDrawXiResizeWindow,printf, DIRECT
PetscDrawXiGetGeometry,XGetGeometry, DIRECT
PetscDrawXiGetGeometry,XTranslateCoordinates, DIRECT
PetscDrawXiGetGeometry,XGetWindowAttributes, DIRECT
PetscDrawXiGetGeometry,XTranslateCoordinates, DIRECT
PetscDrawXiGetGeometry,XGetGeometry, DIRECT
PetscDrawXiGetGeometry,printf, DIRECT
PetscDrawXiGetGeometry,printf, DIRECT
