CALLER, CALLEE, CALLTYPE
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,PetscError, DIRECT
PetscDrawInterpolatedTriangle_X,XSetForeground, DIRECT
PetscDrawInterpolatedTriangle_X,XDrawPoint, DIRECT
PetscDrawInterpolatedTriangle_X,PetscError, DIRECT
PetscDrawInterpolatedTriangle_X,XSetForeground, DIRECT
PetscDrawInterpolatedTriangle_X,XDrawPoint, DIRECT
PetscDrawInterpolatedTriangle_X,PetscError, DIRECT
PetscDrawInterpolatedTriangle_X,XSetForeground, DIRECT
PetscDrawInterpolatedTriangle_X,XDrawPoint, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,PetscError, DIRECT
PetscDrawInterpolatedTriangle_X,XSetForeground, DIRECT
PetscDrawInterpolatedTriangle_X,XDrawPoint, DIRECT
PetscDrawInterpolatedTriangle_X,PetscError, DIRECT
PetscDrawInterpolatedTriangle_X,XSetForeground, DIRECT
PetscDrawInterpolatedTriangle_X,XDrawPoint, DIRECT
PetscDrawInterpolatedTriangle_X,PetscError, DIRECT
PetscDrawInterpolatedTriangle_X,XSetForeground, DIRECT
PetscDrawInterpolatedTriangle_X,XDrawPoint, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
PetscDrawInterpolatedTriangle_X,printf, DIRECT
