CALLER, CALLEE, CALLTYPE
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscCheckPointer, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscObjectComm, DIRECT
PetscDrawView,PetscViewerASCIIGetStdout, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscCheckPointer, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscObjectComm, DIRECT
PetscDrawView,PetscObjectComm, DIRECT
PetscDrawView,MPI_Comm_compare, DIRECT
PetscDrawView,MPI_Error_string, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscObjectPrintClassNamePrefixType, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscObjectTypeCompare, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscViewerDrawGetDraw, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscDrawGetCurrentPoint, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscStrncpy, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscStrlcat, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscDrawStringBoxed, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,PetscDrawPushCurrentPoint, DIRECT
PetscDrawView,PetscError, DIRECT
PetscDrawView,EMPTYNAME = (_PetscDrawOps->any pointer@i64 200) :: i32 (%struct._p_PetscDraw*, %struct._p_PetscViewer*)*, INDIRECT 
PetscDrawView,PetscError, DIRECT
PetscDrawView,printf, DIRECT
PetscDrawView,printf, DIRECT
PetscDrawViewFromOptions,PetscError, DIRECT
PetscDrawViewFromOptions,PetscCheckPointer, DIRECT
PetscDrawViewFromOptions,PetscError, DIRECT
PetscDrawViewFromOptions,PetscError, DIRECT
PetscDrawViewFromOptions,PetscError, DIRECT
PetscDrawViewFromOptions,PetscObjectViewFromOptions, DIRECT
PetscDrawViewFromOptions,PetscError, DIRECT
PetscDrawViewFromOptions,printf, DIRECT
PetscDrawViewFromOptions,printf, DIRECT
PetscDrawCreate,PetscDrawInitializePackage, DIRECT
PetscDrawCreate,PetscError, DIRECT
PetscDrawCreate,PetscMallocA, DIRECT
PetscDrawCreate,PetscHeaderCreate_Private, DIRECT
PetscDrawCreate,PetscLogPHC = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscObject*)*, INDIRECT 
PetscDrawCreate,PetscLogObjectMemory, DIRECT
PetscDrawCreate,PetscError, DIRECT
PetscDrawCreate,PetscStrallocpy, DIRECT
PetscDrawCreate,PetscError, DIRECT
PetscDrawCreate,PetscStrallocpy, DIRECT
PetscDrawCreate,PetscError, DIRECT
PetscDrawCreate,PetscOptionsGetReal, DIRECT
PetscDrawCreate,PetscError, DIRECT
PetscDrawCreate,PetscDrawSetCurrentPoint, DIRECT
PetscDrawCreate,PetscError, DIRECT
PetscDrawCreate,printf, DIRECT
PetscDrawCreate,printf, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscCheckPointer, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscCheckPointer, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscObjectTypeCompare, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,printf, DIRECT
PetscDrawSetType,printf, DIRECT
PetscDrawSetType,PetscOptionsHasName, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscStrcmp, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscStrcmp, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscOptionsHasName, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscOptionsHasName, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscOptionsHasName, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscOptionsHasName, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscOptionsHasName, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscFunctionListFind_Private, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,EMPTYNAME = (_PetscDrawOps->any pointer@i64 192) :: i32 (%struct._p_PetscDraw*)*, INDIRECT 
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,PetscObjectChangeTypeName, DIRECT
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscDraw*)*, INDIRECT 
PetscDrawSetType,PetscError, DIRECT
PetscDrawSetType,printf, DIRECT
PetscDrawSetType,printf, DIRECT
PetscDrawGetType,PetscError, DIRECT
PetscDrawGetType,PetscCheckPointer, DIRECT
PetscDrawGetType,PetscError, DIRECT
PetscDrawGetType,PetscError, DIRECT
PetscDrawGetType,PetscError, DIRECT
PetscDrawGetType,PetscError, DIRECT
PetscDrawGetType,PetscCheckPointer, DIRECT
PetscDrawGetType,PetscError, DIRECT
PetscDrawGetType,printf, DIRECT
PetscDrawGetType,printf, DIRECT
PetscDrawRegister,PetscDrawInitializePackage, DIRECT
PetscDrawRegister,PetscError, DIRECT
PetscDrawRegister,PetscFunctionListAdd_Private, DIRECT
PetscDrawRegister,PetscError, DIRECT
PetscDrawRegister,printf, DIRECT
PetscDrawRegister,printf, DIRECT
PetscDrawSetOptionsPrefix,PetscError, DIRECT
PetscDrawSetOptionsPrefix,PetscCheckPointer, DIRECT
PetscDrawSetOptionsPrefix,PetscError, DIRECT
PetscDrawSetOptionsPrefix,PetscError, DIRECT
PetscDrawSetOptionsPrefix,PetscError, DIRECT
PetscDrawSetOptionsPrefix,PetscObjectSetOptionsPrefix, DIRECT
PetscDrawSetOptionsPrefix,PetscError, DIRECT
PetscDrawSetOptionsPrefix,printf, DIRECT
