CALLER, CALLEE, CALLTYPE
PetscDrawUtilitySetGamma,printf, DIRECT
PetscDrawUtilitySetGamma,printf, DIRECT
PetscDrawUtilitySetCmap,PetscStrcasecmp, DIRECT
PetscDrawUtilitySetCmap,PetscError, DIRECT
PetscDrawUtilitySetCmap,PetscStrcasecmp, DIRECT
PetscDrawUtilitySetCmap,PetscError, DIRECT
PetscDrawUtilitySetCmap,PetscOptionsGetEList, DIRECT
PetscDrawUtilitySetCmap,PetscError, DIRECT
PetscDrawUtilitySetCmap,PetscOptionsGetBool, DIRECT
PetscDrawUtilitySetCmap,PetscError, DIRECT
PetscDrawUtilitySetCmap,PetscOptionsGetReal, DIRECT
PetscDrawUtilitySetCmap,PetscError, DIRECT
PetscDrawUtilitySetCmap,PetscError, DIRECT
PetscDrawUtilitySetCmap,EMPTYNAME = (->any pointer@i64 16) :: i32 (i32, i8*, i8*, i8*)*, INDIRECT 
PetscDrawUtilitySetCmap,PetscError, DIRECT
PetscDrawUtilitySetCmap,PetscError, DIRECT
PetscDrawUtilitySetCmap,pow, DIRECT
PetscDrawUtilitySetCmap,pow, DIRECT
PetscDrawUtilitySetCmap,pow, DIRECT
PetscDrawUtilitySetCmap,printf, DIRECT
PetscDrawUtilitySetCmap,printf, DIRECT
PetscDrawCmap_Hue,pow, DIRECT
PetscDrawCmap_Hue,pow, DIRECT
PetscDrawCmap_Hue,pow, DIRECT
PetscDrawCmap_Hue,printf, DIRECT
PetscDrawCmap_Hue,printf, DIRECT
PetscDrawCmap_Gray,printf, DIRECT
PetscDrawCmap_Gray,printf, DIRECT
PetscDrawCmap_Bone,PetscDrawCmap_Hot, DIRECT
PetscDrawCmap_Bone,printf, DIRECT
PetscDrawCmap_Bone,printf, DIRECT
PetscDrawCmap_Jet,printf, DIRECT
PetscDrawCmap_Jet,printf, DIRECT
PetscDrawCmap_Hot,printf, DIRECT
PetscDrawCmap_Hot,printf, DIRECT
