CALLER, CALLEE, CALLTYPE
PetscOptionsHelpPrintedDestroy,printf, DIRECT
PetscOptionsHelpPrintedDestroy,printf, DIRECT
PetscOptionsHelpPrintedDestroy,free, DIRECT
PetscOptionsHelpPrintedDestroy,free, DIRECT
PetscOptionsHelpPrintedDestroy,free, DIRECT
PetscOptionsHelpPrintedDestroy,free, DIRECT
PetscOptionsHelpPrintedDestroy,PetscSegBufferDestroy, DIRECT
PetscOptionsHelpPrintedDestroy,PetscError, DIRECT
PetscOptionsHelpPrintedDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscOptionsHelpPrintedDestroy,PetscError, DIRECT
PetscOptionsHelpPrintedDestroy,printf, DIRECT
PetscOptionsHelpPrintedDestroy,printf, DIRECT
PetscOptionsHelpPrintedCreate,PetscMallocA, DIRECT
PetscOptionsHelpPrintedCreate,PetscError, DIRECT
PetscOptionsHelpPrintedCreate,calloc, DIRECT
PetscOptionsHelpPrintedCreate,PetscSegBufferCreate, DIRECT
PetscOptionsHelpPrintedCreate,PetscError, DIRECT
PetscOptionsHelpPrintedCreate,printf, DIRECT
PetscOptionsHelpPrintedCreate,printf, DIRECT
PetscOptionsHelpPrintedCheck,PetscStrlen, DIRECT
PetscOptionsHelpPrintedCheck,PetscError, DIRECT
PetscOptionsHelpPrintedCheck,PetscStrlen, DIRECT
PetscOptionsHelpPrintedCheck,PetscError, DIRECT
PetscOptionsHelpPrintedCheck,printf, DIRECT
PetscOptionsHelpPrintedCheck,printf, DIRECT
PetscOptionsHelpPrintedCheck,PetscSegBufferGet, DIRECT
PetscOptionsHelpPrintedCheck,PetscError, DIRECT
PetscOptionsHelpPrintedCheck,PetscStrcpy, DIRECT
PetscOptionsHelpPrintedCheck,PetscError, DIRECT
PetscOptionsHelpPrintedCheck,PetscStrcat, DIRECT
PetscOptionsHelpPrintedCheck,PetscError, DIRECT
PetscOptionsHelpPrintedCheck,kh_put_HTPrinted, DIRECT
PetscOptionsHelpPrintedCheck,PetscSegBufferUnuse, DIRECT
PetscOptionsHelpPrintedCheck,PetscError, DIRECT
PetscOptionsHelpPrintedCheck,printf, DIRECT
PetscOptionsHelpPrintedCheck,printf, DIRECT
kh_put_HTPrinted,kh_resize_HTPrinted, DIRECT
kh_put_HTPrinted,kh_resize_HTPrinted, DIRECT
kh_put_HTPrinted,strcmp, DIRECT
PetscOptionsPushGetViewerOff,PetscError, DIRECT
PetscOptionsPushGetViewerOff,printf, DIRECT
PetscOptionsPushGetViewerOff,printf, DIRECT
PetscOptionsPopGetViewerOff,PetscError, DIRECT
PetscOptionsPopGetViewerOff,printf, DIRECT
PetscOptionsPopGetViewerOff,printf, DIRECT
PetscOptionsGetViewerOff,PetscError, DIRECT
PetscOptionsGetViewerOff,PetscCheckPointer, DIRECT
PetscOptionsGetViewerOff,PetscError, DIRECT
PetscOptionsGetViewerOff,printf, DIRECT
PetscOptionsGetViewerOff,printf, DIRECT
PetscOptionsGetViewer,PetscError, DIRECT
PetscOptionsGetViewer,PetscCheckPointer, DIRECT
PetscOptionsGetViewer,PetscError, DIRECT
PetscOptionsGetViewer,PetscOptionsGetViewerOff, DIRECT
PetscOptionsGetViewer,PetscError, DIRECT
PetscOptionsGetViewer,printf, DIRECT
PetscOptionsGetViewer,printf, DIRECT
PetscOptionsGetViewer,PetscOptionsHasHelp, DIRECT
