CALLER, CALLEE, CALLTYPE
PetscDLLibraryPrintPath,PetscErrorPrintf = (any pointer->any pointer@i64 0) :: i32 (i8*, ...)*, INDIRECT 
PetscDLLibraryPrintPath,printf, DIRECT
PetscDLLibraryPrintPath,printf, DIRECT
PetscDLLibraryRetrieve,PetscStrlen, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscMallocA, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscStrreplace, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscStrrstr, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscStrlen, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscStrlen, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscFileRetrieve, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscStrncpy, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscStrlcat, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscStrrstr, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscStrcat, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscStrcat, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscFileRetrieve, DIRECT
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscDLLibraryRetrieve,PetscError, DIRECT
PetscDLLibraryRetrieve,printf, DIRECT
PetscDLLibraryRetrieve,printf, DIRECT
PetscDLLibraryOpen,PetscError, DIRECT
PetscDLLibraryOpen,PetscCheckPointer, DIRECT
PetscDLLibraryOpen,PetscError, DIRECT
PetscDLLibraryOpen,PetscError, DIRECT
PetscDLLibraryOpen,PetscCheckPointer, DIRECT
PetscDLLibraryOpen,PetscError, DIRECT
PetscDLLibraryOpen,PetscInfo_Private, DIRECT
PetscDLLibraryOpen,PetscError, DIRECT
PetscDLLibraryOpen,PetscDLLibraryRetrieve, DIRECT
PetscDLLibraryOpen,PetscError, DIRECT
PetscDLLibraryOpen,PetscError, DIRECT
PetscDLLibraryOpen,PetscStrncpy, DIRECT
