CALLER, CALLEE, CALLTYPE
PetscDLOpen,PetscError, DIRECT
PetscDLOpen,PetscCheckPointer, DIRECT
PetscDLOpen,PetscError, DIRECT
PetscDLOpen,PetscError, DIRECT
PetscDLOpen,PetscCheckPointer, DIRECT
PetscDLOpen,PetscError, DIRECT
PetscDLOpen,dlerror, DIRECT
PetscDLOpen,dlopen, DIRECT
PetscDLOpen,dlerror, DIRECT
PetscDLOpen,PetscError, DIRECT
PetscDLOpen,printf, DIRECT
PetscDLOpen,printf, DIRECT
PetscDLClose,PetscError, DIRECT
PetscDLClose,PetscCheckPointer, DIRECT
PetscDLClose,PetscError, DIRECT
PetscDLClose,dlerror, DIRECT
PetscDLClose,dlclose, DIRECT
PetscDLClose,dlerror, DIRECT
PetscDLClose,PetscErrorPrintf = (any pointer->any pointer@i64 0) :: i32 (i8*, ...)*, INDIRECT 
PetscDLClose,printf, DIRECT
PetscDLClose,printf, DIRECT
PetscDLSym,PetscError, DIRECT
PetscDLSym,PetscCheckPointer, DIRECT
PetscDLSym,PetscError, DIRECT
PetscDLSym,PetscError, DIRECT
PetscDLSym,PetscCheckPointer, DIRECT
PetscDLSym,PetscError, DIRECT
PetscDLSym,dlerror, DIRECT
PetscDLSym,dlopen, DIRECT
PetscDLSym,dlerror, DIRECT
PetscDLSym,PetscError, DIRECT
PetscDLSym,dlerror, DIRECT
PetscDLSym,dlsym, DIRECT
PetscDLAddr,PetscError, DIRECT
PetscDLAddr,PetscCheckPointer, DIRECT
PetscDLAddr,PetscError, DIRECT
PetscDLAddr,dlerror, DIRECT
PetscDLAddr,dladdr, DIRECT
PetscDLAddr,dlerror, DIRECT
PetscDLAddr,PetscError, DIRECT
PetscDLAddr,PetscDemangleSymbol, DIRECT
PetscDLAddr,PetscError, DIRECT
PetscDLAddr,printf, DIRECT
PetscDLAddr,printf, DIRECT
