CALLER, CALLEE, CALLTYPE
PetscFormatConvertGetSize,printf, DIRECT
PetscFormatConvertGetSize,printf, DIRECT
PetscFormatConvert,PetscError, DIRECT
PetscFormatConvert,PetscError, DIRECT
PetscFormatConvert,printf, DIRECT
PetscFormatConvert,printf, DIRECT
PetscVSNPrintf,PetscFormatConvertGetSize, DIRECT
PetscVSNPrintf,PetscMallocA, DIRECT
PetscVSNPrintf,PetscError, DIRECT
PetscVSNPrintf,PetscFormatConvert, DIRECT
PetscVSNPrintf,PetscError, DIRECT
PetscVSNPrintf,vsnprintf, DIRECT
PetscVSNPrintf,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscVSNPrintf,PetscError, DIRECT
PetscVSNPrintf,PetscStrlen, DIRECT
PetscVSNPrintf,PetscError, DIRECT
PetscVSNPrintf,printf, DIRECT
PetscVSNPrintf,printf, DIRECT
PetscVFPrintfDefault,PetscVSNPrintf, DIRECT
PetscVFPrintfDefault,PetscError, DIRECT
PetscVFPrintfDefault,PetscMallocA, DIRECT
PetscVFPrintfDefault,PetscError, DIRECT
PetscVFPrintfDefault,PetscVSNPrintf, DIRECT
PetscVFPrintfDefault,PetscError, DIRECT
PetscVFPrintfDefault,fputs, DIRECT
PetscVFPrintfDefault,fflush, DIRECT
PetscVFPrintfDefault,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscVFPrintfDefault,PetscError, DIRECT
PetscVFPrintfDefault,printf, DIRECT
PetscVFPrintfDefault,printf, DIRECT
PetscSNPrintf,PetscVSNPrintf, DIRECT
PetscSNPrintf,PetscError, DIRECT
PetscSNPrintf,printf, DIRECT
PetscSNPrintf,printf, DIRECT
PetscSNPrintfCount,PetscVSNPrintf, DIRECT
PetscSNPrintfCount,PetscError, DIRECT
PetscSNPrintfCount,printf, DIRECT
PetscSNPrintfCount,printf, DIRECT
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,MPI_Comm_rank, DIRECT
PetscSynchronizedPrintf,MPI_Error_string, DIRECT
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,PetscVFPrintf = (any pointer->any pointer@i64 0) :: i32 (%struct._IO_FILE*, i8*, %struct.__va_list_tag*)*, INDIRECT 
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,PetscVFPrintf = (any pointer->any pointer@i64 0) :: i32 (%struct._IO_FILE*, i8*, %struct.__va_list_tag*)*, INDIRECT 
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,PetscMallocA, DIRECT
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,PetscMallocA, DIRECT
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,PetscVSNPrintf, DIRECT
PetscSynchronizedPrintf,PetscError, DIRECT
PetscSynchronizedPrintf,printf, DIRECT
PetscSynchronizedPrintf,printf, DIRECT
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,MPI_Comm_rank, DIRECT
PetscSynchronizedFPrintf,MPI_Error_string, DIRECT
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,PetscVFPrintf = (any pointer->any pointer@i64 0) :: i32 (%struct._IO_FILE*, i8*, %struct.__va_list_tag*)*, INDIRECT 
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,PetscVFPrintf = (any pointer->any pointer@i64 0) :: i32 (%struct._IO_FILE*, i8*, %struct.__va_list_tag*)*, INDIRECT 
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,PetscMallocA, DIRECT
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,PetscMallocA, DIRECT
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,PetscVSNPrintf, DIRECT
PetscSynchronizedFPrintf,PetscError, DIRECT
PetscSynchronizedFPrintf,printf, DIRECT
PetscSynchronizedFPrintf,printf, DIRECT
PetscSynchronizedFlush,PetscCommDuplicate, DIRECT
PetscSynchronizedFlush,PetscError, DIRECT
PetscSynchronizedFlush,MPI_Comm_rank, DIRECT
PetscSynchronizedFlush,MPI_Error_string, DIRECT
PetscSynchronizedFlush,PetscError, DIRECT
PetscSynchronizedFlush,MPI_Comm_size, DIRECT
PetscSynchronizedFlush,MPI_Error_string, DIRECT
PetscSynchronizedFlush,PetscError, DIRECT
PetscSynchronizedFlush,MPI_Type_size, DIRECT
PetscSynchronizedFlush,MPI_Error_string, DIRECT
PetscSynchronizedFlush,PetscError, DIRECT
PetscSynchronizedFlush,MPI_Send, DIRECT
PetscSynchronizedFlush,MPI_Error_string, DIRECT
PetscSynchronizedFlush,PetscError, DIRECT
PetscSynchronizedFlush,MPI_Type_size, DIRECT
