CALLER, CALLEE, CALLTYPE
PetscByteSwapEnum,printf, DIRECT
PetscByteSwapEnum,printf, DIRECT
PetscByteSwapBool,printf, DIRECT
PetscByteSwapBool,printf, DIRECT
PetscByteSwapInt,printf, DIRECT
PetscByteSwapInt,printf, DIRECT
PetscByteSwapInt64,printf, DIRECT
PetscByteSwapInt64,printf, DIRECT
PetscByteSwapShort,printf, DIRECT
PetscByteSwapShort,printf, DIRECT
PetscByteSwapLong,printf, DIRECT
PetscByteSwapLong,printf, DIRECT
PetscByteSwapReal,printf, DIRECT
PetscByteSwapReal,printf, DIRECT
PetscByteSwapScalar,printf, DIRECT
PetscByteSwapScalar,printf, DIRECT
PetscByteSwapDouble,printf, DIRECT
PetscByteSwapDouble,printf, DIRECT
PetscByteSwapFloat,printf, DIRECT
PetscByteSwapFloat,printf, DIRECT
PetscByteSwap,PetscByteSwapInt, DIRECT
PetscByteSwap,PetscByteSwapEnum, DIRECT
PetscByteSwap,PetscByteSwapBool, DIRECT
PetscByteSwap,PetscByteSwapScalar, DIRECT
PetscByteSwap,PetscByteSwapReal, DIRECT
PetscByteSwap,PetscByteSwapInt64, DIRECT
PetscByteSwap,PetscByteSwapFloat, DIRECT
PetscByteSwap,PetscByteSwapShort, DIRECT
PetscByteSwap,PetscByteSwapLong, DIRECT
PetscByteSwap,printf, DIRECT
PetscByteSwap,printf, DIRECT
PetscBinaryRead,PetscError, DIRECT
PetscBinaryRead,printf, DIRECT
PetscBinaryRead,printf, DIRECT
PetscBinaryRead,malloc, DIRECT
PetscBinaryRead,PetscError, DIRECT
PetscBinaryRead,PetscDataTypeGetSize, DIRECT
PetscBinaryRead,PetscError, DIRECT
PetscBinaryRead,read, DIRECT
PetscBinaryRead,__errno_location, DIRECT
PetscBinaryRead,PetscError, DIRECT
PetscBinaryRead,PetscError, DIRECT
PetscBinaryRead,PetscByteSwap, DIRECT
PetscBinaryRead,printf, DIRECT
PetscBinaryRead,printf, DIRECT
PetscBinaryWrite,PetscError, DIRECT
PetscBinaryWrite,printf, DIRECT
PetscBinaryWrite,printf, DIRECT
PetscBinaryWrite,malloc, DIRECT
PetscBinaryWrite,PetscError, DIRECT
PetscBinaryWrite,PetscStrncpy, DIRECT
PetscBinaryWrite,PetscError, DIRECT
PetscBinaryWrite,PetscError, DIRECT
PetscBinaryWrite,PetscByteSwap, DIRECT
PetscBinaryWrite,PetscByteSwap, DIRECT
PetscBinaryWrite,PetscByteSwap, DIRECT
PetscBinaryWrite,write, DIRECT
PetscBinaryWrite,__errno_location, DIRECT
PetscBinaryWrite,PetscError, DIRECT
PetscBinaryWrite,PetscByteSwap, DIRECT
PetscBinaryWrite,free, DIRECT
PetscBinaryWrite,printf, DIRECT
PetscBinaryWrite,printf, DIRECT
PetscBinaryOpen,open, DIRECT
PetscBinaryOpen,open, DIRECT
PetscBinaryOpen,open, DIRECT
PetscBinaryOpen,PetscError, DIRECT
PetscBinaryOpen,PetscError, DIRECT
PetscBinaryOpen,printf, DIRECT
PetscBinaryOpen,printf, DIRECT
PetscBinaryClose,close, DIRECT
PetscBinaryClose,PetscError, DIRECT
PetscBinaryClose,printf, DIRECT
PetscBinaryClose,printf, DIRECT
PetscBinarySeek,PetscError, DIRECT
PetscBinarySeek,lseek, DIRECT
PetscBinarySeek,printf, DIRECT
PetscBinarySeek,printf, DIRECT
PetscBinarySynchronizedRead,malloc, DIRECT
PetscBinarySynchronizedRead,PetscError, DIRECT
PetscBinarySynchronizedRead,MPI_Comm_rank, DIRECT
PetscBinarySynchronizedRead,MPI_Error_string, DIRECT
PetscBinarySynchronizedRead,PetscError, DIRECT
PetscBinarySynchronizedRead,MPI_Comm_size, DIRECT
PetscBinarySynchronizedRead,MPI_Error_string, DIRECT
PetscBinarySynchronizedRead,PetscError, DIRECT
PetscBinarySynchronizedRead,PetscBinaryRead, DIRECT
PetscBinarySynchronizedRead,MPI_Comm_size, DIRECT
PetscBinarySynchronizedRead,MPI_Bcast, DIRECT
PetscBinarySynchronizedRead,MPI_Error_string, DIRECT
PetscBinarySynchronizedRead,PetscError, DIRECT
PetscBinarySynchronizedRead,PetscError, DIRECT
PetscBinarySynchronizedRead,PetscDataTypeToMPIDataType, DIRECT
PetscBinarySynchronizedRead,PetscError, DIRECT
PetscBinarySynchronizedRead,MPI_Comm_size, DIRECT
PetscBinarySynchronizedRead,MPI_Bcast, DIRECT
PetscBinarySynchronizedRead,MPI_Error_string, DIRECT
PetscBinarySynchronizedRead,PetscError, DIRECT
PetscBinarySynchronizedRead,printf, DIRECT
PetscBinarySynchronizedRead,printf, DIRECT
PetscBinarySynchronizedWrite,MPI_Comm_rank, DIRECT
PetscBinarySynchronizedWrite,MPI_Error_string, DIRECT
PetscBinarySynchronizedWrite,PetscError, DIRECT
PetscBinarySynchronizedWrite,PetscBinaryWrite, DIRECT
PetscBinarySynchronizedWrite,PetscError, DIRECT
PetscBinarySynchronizedWrite,printf, DIRECT
PetscBinarySynchronizedWrite,printf, DIRECT
PetscBinarySynchronizedSeek,MPI_Comm_rank, DIRECT
PetscBinarySynchronizedSeek,MPI_Error_string, DIRECT
PetscBinarySynchronizedSeek,PetscError, DIRECT
PetscBinarySynchronizedSeek,PetscBinarySeek, DIRECT
PetscBinarySynchronizedSeek,PetscError, DIRECT
PetscBinarySynchronizedSeek,printf, DIRECT
PetscBinarySynchronizedSeek,printf, DIRECT
MPIU_File_write_all,PetscMPIDataTypeToPetscDataType, DIRECT
MPIU_File_write_all,PetscError, DIRECT
MPIU_File_write_all,PetscByteSwap, DIRECT
MPIU_File_write_all,MPI_File_write_all, DIRECT
MPIU_File_write_all,MPI_Error_string, DIRECT
MPIU_File_write_all,PetscError, DIRECT
MPIU_File_write_all,PetscByteSwap, DIRECT
MPIU_File_write_all,printf, DIRECT
MPIU_File_write_all,printf, DIRECT
MPIU_File_read_all,PetscMPIDataTypeToPetscDataType, DIRECT
MPIU_File_read_all,PetscError, DIRECT
MPIU_File_read_all,MPI_File_read_all, DIRECT
MPIU_File_read_all,MPI_Error_string, DIRECT
MPIU_File_read_all,PetscError, DIRECT
MPIU_File_read_all,PetscByteSwap, DIRECT
MPIU_File_read_all,printf, DIRECT
MPIU_File_read_all,printf, DIRECT
MPIU_File_write_at,PetscMPIDataTypeToPetscDataType, DIRECT
MPIU_File_write_at,PetscError, DIRECT
MPIU_File_write_at,PetscByteSwap, DIRECT
MPIU_File_write_at,MPI_File_write_at, DIRECT
MPIU_File_write_at,MPI_Error_string, DIRECT
