CALLER, CALLEE, CALLTYPE
PetscLogInitialize,printf, DIRECT
PetscLogInitialize,printf, DIRECT
PetscLogInitialize,PetscOptionsHasName, DIRECT
PetscLogInitialize,PetscError, DIRECT
PetscLogInitialize,PetscOptionsHasName, DIRECT
PetscLogInitialize,PetscError, DIRECT
PetscLogInitialize,PetscMallocA, DIRECT
PetscLogInitialize,PetscError, DIRECT
PetscLogInitialize,PetscMallocA, DIRECT
PetscLogInitialize,PetscError, DIRECT
PetscLogInitialize,PetscStageLogCreate, DIRECT
PetscLogInitialize,PetscError, DIRECT
PetscLogInitialize,PetscStageLogRegister, DIRECT
PetscLogInitialize,PetscError, DIRECT
PetscLogInitialize,MPI_Barrier, DIRECT
PetscLogInitialize,MPI_Error_string, DIRECT
PetscLogInitialize,PetscError, DIRECT
PetscLogInitialize,MPI_Wtime, DIRECT
PetscLogInitialize,PetscLogStagePush, DIRECT
PetscLogInitialize,PetscError, DIRECT
PetscLogInitialize,printf, DIRECT
PetscLogInitialize,printf, DIRECT
PetscLogStagePush,PetscLogGetStageLog, DIRECT
PetscLogStagePush,PetscError, DIRECT
PetscLogStagePush,PetscStageLogPush, DIRECT
PetscLogStagePush,PetscError, DIRECT
PetscLogStagePush,printf, DIRECT
PetscLogStagePush,printf, DIRECT
PetscLogFinalize,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscLogFinalize,PetscError, DIRECT
PetscLogFinalize,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscLogFinalize,PetscError, DIRECT
PetscLogFinalize,PetscLogNestedEnd, DIRECT
PetscLogFinalize,PetscError, DIRECT
PetscLogFinalize,PetscLogSet, DIRECT
PetscLogFinalize,PetscLogGetStageLog, DIRECT
PetscLogFinalize,PetscError, DIRECT
PetscLogFinalize,PetscStageLogDestroy, DIRECT
PetscLogFinalize,PetscError, DIRECT
PetscLogFinalize,printf, DIRECT
PetscLogFinalize,printf, DIRECT
PetscLogSet,printf, DIRECT
PetscLogSet,printf, DIRECT
PetscLogDefaultBegin,PetscLogSet, DIRECT
PetscLogDefaultBegin,printf, DIRECT
PetscLogDefaultBegin,printf, DIRECT
PetscLogAllBegin,PetscLogSet, DIRECT
PetscLogAllBegin,printf, DIRECT
PetscLogAllBegin,printf, DIRECT
PetscLogTraceBegin,PetscLogSet, DIRECT
PetscLogTraceBegin,printf, DIRECT
PetscLogTraceBegin,printf, DIRECT
PetscLogActions,printf, DIRECT
PetscLogActions,printf, DIRECT
PetscLogObjects,printf, DIRECT
PetscLogObjects,printf, DIRECT
PetscLogStageRegister,PetscLogGetStageLog, DIRECT
PetscLogStageRegister,PetscError, DIRECT
PetscLogStageRegister,PetscStageLogRegister, DIRECT
PetscLogStageRegister,PetscError, DIRECT
PetscLogStageRegister,PetscEventPerfLogEnsureSize, DIRECT
PetscLogStageRegister,PetscError, DIRECT
PetscLogStageRegister,PetscEventPerfInfoCopy, DIRECT
PetscLogStageRegister,PetscError, DIRECT
PetscLogStageRegister,PetscClassPerfLogEnsureSize, DIRECT
PetscLogStageRegister,PetscError, DIRECT
PetscLogStageRegister,printf, DIRECT
PetscLogStageRegister,printf, DIRECT
PetscLogStagePop,PetscLogGetStageLog, DIRECT
PetscLogStagePop,PetscError, DIRECT
PetscLogStagePop,PetscStageLogPop, DIRECT
PetscLogStagePop,PetscError, DIRECT
PetscLogStagePop,printf, DIRECT
PetscLogStagePop,printf, DIRECT
PetscLogStageSetActive,PetscLogGetStageLog, DIRECT
PetscLogStageSetActive,PetscError, DIRECT
PetscLogStageSetActive,PetscStageLogSetActive, DIRECT
PetscLogStageSetActive,PetscError, DIRECT
PetscLogStageSetActive,printf, DIRECT
PetscLogStageSetActive,printf, DIRECT
PetscLogStageGetActive,PetscLogGetStageLog, DIRECT
PetscLogStageGetActive,PetscError, DIRECT
PetscLogStageGetActive,PetscStageLogGetActive, DIRECT
PetscLogStageGetActive,PetscError, DIRECT
PetscLogStageGetActive,printf, DIRECT
PetscLogStageGetActive,printf, DIRECT
PetscLogStageSetVisible,PetscLogGetStageLog, DIRECT
PetscLogStageSetVisible,PetscError, DIRECT
PetscLogStageSetVisible,PetscStageLogSetVisible, DIRECT
PetscLogStageSetVisible,PetscError, DIRECT
PetscLogStageSetVisible,printf, DIRECT
PetscLogStageSetVisible,printf, DIRECT
PetscLogStageGetVisible,PetscLogGetStageLog, DIRECT
PetscLogStageGetVisible,PetscError, DIRECT
PetscLogStageGetVisible,PetscStageLogGetVisible, DIRECT
PetscLogStageGetVisible,PetscError, DIRECT
PetscLogStageGetVisible,printf, DIRECT
PetscLogStageGetVisible,printf, DIRECT
PetscLogStageGetId,PetscLogGetStageLog, DIRECT
PetscLogStageGetId,PetscError, DIRECT
PetscLogStageGetId,PetscStageLogGetStage, DIRECT
PetscLogStageGetId,PetscError, DIRECT
PetscLogStageGetId,printf, DIRECT
PetscLogStageGetId,printf, DIRECT
PetscLogEventRegister,PetscLogGetStageLog, DIRECT
PetscLogEventRegister,PetscError, DIRECT
PetscLogEventRegister,PetscEventRegLogGetEvent, DIRECT
PetscLogEventRegister,PetscError, DIRECT
PetscLogEventRegister,printf, DIRECT
PetscLogEventRegister,printf, DIRECT
PetscLogEventRegister,PetscEventRegLogRegister, DIRECT
PetscLogEventRegister,PetscError, DIRECT
PetscLogEventRegister,PetscEventPerfLogEnsureSize, DIRECT
PetscLogEventRegister,PetscError, DIRECT
PetscLogEventRegister,PetscClassPerfLogEnsureSize, DIRECT
PetscLogEventRegister,PetscError, DIRECT
PetscLogEventRegister,printf, DIRECT
PetscLogEventRegister,printf, DIRECT
PetscLogEventSetCollective,PetscLogGetStageLog, DIRECT
PetscLogEventSetCollective,PetscError, DIRECT
PetscLogEventSetCollective,PetscStageLogGetEventRegLog, DIRECT
PetscLogEventSetCollective,PetscError, DIRECT
PetscLogEventSetCollective,PetscError, DIRECT
PetscLogEventSetCollective,printf, DIRECT
PetscLogEventSetCollective,printf, DIRECT
PetscLogEventIncludeClass,PetscLogGetStageLog, DIRECT
PetscLogEventIncludeClass,PetscError, DIRECT
PetscLogEventIncludeClass,PetscEventPerfLogActivateClass, DIRECT
PetscLogEventIncludeClass,PetscError, DIRECT
PetscLogEventIncludeClass,printf, DIRECT
PetscLogEventIncludeClass,printf, DIRECT
PetscLogEventExcludeClass,PetscLogGetStageLog, DIRECT
PetscLogEventExcludeClass,PetscError, DIRECT
PetscLogEventExcludeClass,PetscEventPerfLogDeactivateClass, DIRECT
PetscLogEventExcludeClass,PetscError, DIRECT
PetscLogEventExcludeClass,printf, DIRECT
PetscLogEventExcludeClass,printf, DIRECT
PetscLogEventActivate,PetscLogGetStageLog, DIRECT
PetscLogEventActivate,PetscError, DIRECT
PetscLogEventActivate,PetscStageLogGetCurrent, DIRECT
