CALLER, CALLEE, CALLTYPE
PetscLogNestedBegin,PetscError, DIRECT
PetscLogNestedBegin,PetscMallocA, DIRECT
PetscLogNestedBegin,PetscError, DIRECT
PetscLogNestedBegin,PetscLogSet, DIRECT
PetscLogNestedBegin,PetscError, DIRECT
PetscLogNestedBegin,printf, DIRECT
PetscLogNestedBegin,printf, DIRECT
PetscLogEventBeginNested,PetscLogEventFindNestedTimer, DIRECT
PetscLogEventBeginNested,PetscMallocA, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscMemcpy, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscMallocA, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscLogEventFindDefaultTimer, DIRECT
PetscLogEventBeginNested,sprintf, DIRECT
PetscLogEventBeginNested,PetscLogEventRegister, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscLogEventFindDefaultTimer, DIRECT
PetscLogEventBeginNested,PetscMallocA, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscMemcpy, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscMemcpy, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscMemcpy, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscMemcpy, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscFreeA, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscLogStageOverride, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscLogEventBeginDefault, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,PetscLogStageRestore, DIRECT
PetscLogEventBeginNested,PetscError, DIRECT
PetscLogEventBeginNested,printf, DIRECT
PetscLogEventBeginNested,printf, DIRECT
PetscLogEventEndNested,PetscLogEventFindNestedTimer, DIRECT
PetscLogEventEndNested,PetscError, DIRECT
PetscLogEventEndNested,PetscError, DIRECT
PetscLogEventEndNested,PetscLogEventFindDefaultTimer, DIRECT
PetscLogEventEndNested,PetscError, DIRECT
PetscLogEventEndNested,PetscError, DIRECT
PetscLogEventEndNested,PetscLogStageOverride, DIRECT
PetscLogEventEndNested,PetscError, DIRECT
PetscLogEventEndNested,PetscLogEventEndDefault, DIRECT
PetscLogEventEndNested,PetscError, DIRECT
PetscLogEventEndNested,PetscLogStageRestore, DIRECT
PetscLogEventEndNested,PetscError, DIRECT
PetscLogEventEndNested,printf, DIRECT
PetscLogEventEndNested,printf, DIRECT
PetscLogNestedEnd,PetscFreeA, DIRECT
PetscLogNestedEnd,printf, DIRECT
PetscLogNestedEnd,printf, DIRECT
PetscLogNestedEnd,PetscFreeA, DIRECT
PetscLogNestedEnd,PetscError, DIRECT
PetscLogNestedEnd,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscLogNestedEnd,PetscError, DIRECT
PetscLogNestedEnd,printf, DIRECT
PetscLogNestedEnd,printf, DIRECT
PetscLogSetThreshold,printf, DIRECT
PetscLogSetThreshold,printf, DIRECT
PetscLogView_Nested,PetscObjectGetComm, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscViewerInitASCII_XML, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscViewerASCIIPrintf, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscViewerXMLStartSection, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,MPI_Wtime, DIRECT
PetscLogView_Nested,MPI_Comm_size, DIRECT
PetscLogView_Nested,MPI_Allreduce, DIRECT
PetscLogView_Nested,MPI_Error_string, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,MPI_Comm_size, DIRECT
PetscLogView_Nested,MPI_Allreduce, DIRECT
PetscLogView_Nested,MPI_Error_string, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscPrintExeSpecs, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscPrintGlobalPerformance, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscLogNestedTreeCreate, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscLogNestedTreePrintTop, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscLogNestedTreeDestroy, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscCalcSelfTime, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscPrintSelfTime, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscViewerXMLEndSection, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,PetscViewerFinalASCII_XML, DIRECT
PetscLogView_Nested,PetscError, DIRECT
PetscLogView_Nested,printf, DIRECT
PetscLogView_Nested,printf, DIRECT
PetscPrintExeSpecs,PetscObjectComm, DIRECT
PetscPrintExeSpecs,MPI_Comm_size, DIRECT
PetscPrintExeSpecs,MPI_Error_string, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscGetArchType, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscGetHostName, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscGetUserName, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscGetProgramName, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscGetDate, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscGetVersion, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscViewerXMLStartSection, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscViewerXMLPutString, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscViewerXMLPutString, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscViewerXMLPutString, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscViewerXMLPutInt, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscViewerXMLPutString, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscViewerXMLPutString, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscViewerXMLPutString, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
PetscPrintExeSpecs,PetscStrlcat, DIRECT
PetscPrintExeSpecs,PetscError, DIRECT
