CALLER, CALLEE, CALLTYPE
PetscMallocAlign,memalign, DIRECT
PetscMallocAlign,PetscError, DIRECT
PetscFreeAlign,free, DIRECT
PetscReallocAlign,free, DIRECT
PetscReallocAlign,realloc, DIRECT
PetscReallocAlign,PetscError, DIRECT
PetscMallocSet,PetscError, DIRECT
PetscMallocSet,printf, DIRECT
PetscMallocSet,printf, DIRECT
PetscMallocClear,printf, DIRECT
PetscMallocClear,printf, DIRECT
PetscMemoryTrace,PetscMemoryGetCurrentUsage, DIRECT
PetscMemoryTrace,PetscError, DIRECT
PetscMemoryTrace,PetscMallocGetCurrentUsage, DIRECT
PetscMemoryTrace,PetscError, DIRECT
PetscMemoryTrace,PetscPrintf, DIRECT
PetscMemoryTrace,PetscError, DIRECT
PetscMemoryTrace,printf, DIRECT
PetscMemoryTrace,printf, DIRECT
PetscMallocSetDRAM,printf, DIRECT
PetscMallocSetDRAM,printf, DIRECT
PetscMallocResetDRAM,printf, DIRECT
PetscMallocResetDRAM,printf, DIRECT
PetscMallocSetCoalesce,printf, DIRECT
PetscMallocSetCoalesce,printf, DIRECT
PetscMallocA,PetscError, DIRECT
PetscMallocA,PetscTrMalloc = (any pointer->any pointer@i64 0) :: i32 (i64, i32, i32, i8*, i8*, i8**)*, INDIRECT 
PetscMallocA,PetscTrMalloc = (any pointer->any pointer@i64 0) :: i32 (i64, i32, i32, i8*, i8*, i8**)*, INDIRECT 
PetscMallocA,PetscTrMalloc = (any pointer->any pointer@i64 0) :: i32 (i64, i32, i32, i8*, i8*, i8**)*, INDIRECT 
PetscMallocA,PetscError, DIRECT
PetscMallocA,printf, DIRECT
PetscMallocA,printf, DIRECT
PetscMallocA,PetscError, DIRECT
PetscFreeA,PetscError, DIRECT
PetscFreeA,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscFreeA,PetscError, DIRECT
PetscFreeA,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscFreeA,PetscError, DIRECT
PetscFreeA,printf, DIRECT
PetscFreeA,printf, DIRECT
