CALLER, CALLEE, CALLTYPE
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,PetscRegisterFinalize, DIRECT
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,PetscMallocA, DIRECT
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,printf, DIRECT
PetscFortranCallbackRegister,printf, DIRECT
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,PetscStrcmp, DIRECT
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,PetscMallocA, DIRECT
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,PetscStrallocpy, DIRECT
PetscFortranCallbackRegister,PetscError, DIRECT
PetscFortranCallbackRegister,printf, DIRECT
PetscFortranCallbackRegister,printf, DIRECT
PetscFortranCallbackFinalize,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscFortranCallbackFinalize,PetscError, DIRECT
PetscFortranCallbackFinalize,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscFortranCallbackFinalize,PetscError, DIRECT
PetscFortranCallbackFinalize,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscFortranCallbackFinalize,PetscError, DIRECT
PetscFortranCallbackFinalize,printf, DIRECT
PetscFortranCallbackFinalize,printf, DIRECT
PetscFortranCallbackGetSizes,printf, DIRECT
PetscFortranCallbackGetSizes,printf, DIRECT
