CALLER, CALLEE, CALLTYPE
PetscHeaderCreate_Private,PetscCommDuplicate, DIRECT
PetscHeaderCreate_Private,PetscError, DIRECT
PetscHeaderCreate_Private,printf, DIRECT
PetscHeaderCreate_Private,printf, DIRECT
PetscHeaderCreate_Private,PetscMallocA, DIRECT
PetscHeaderCreate_Private,PetscError, DIRECT
PetscHeaderCreate_Private,PetscMemcpy, DIRECT
PetscHeaderCreate_Private,PetscError, DIRECT
PetscHeaderCreate_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscHeaderCreate_Private,PetscError, DIRECT
PetscHeaderCreate_Private,printf, DIRECT
PetscHeaderCreate_Private,printf, DIRECT
PetscObjectGetComm_Petsc,PetscError, DIRECT
PetscObjectGetComm_Petsc,PetscCheckPointer, DIRECT
PetscObjectGetComm_Petsc,PetscError, DIRECT
PetscObjectGetComm_Petsc,PetscError, DIRECT
PetscObjectGetComm_Petsc,PetscError, DIRECT
PetscObjectGetComm_Petsc,printf, DIRECT
PetscObjectGetComm_Petsc,printf, DIRECT
PetscObjectCompose_Petsc,PetscObjectListReverseFind, DIRECT
PetscObjectCompose_Petsc,PetscError, DIRECT
PetscObjectCompose_Petsc,PetscError, DIRECT
PetscObjectCompose_Petsc,PetscObjectListAdd, DIRECT
PetscObjectCompose_Petsc,PetscError, DIRECT
PetscObjectCompose_Petsc,printf, DIRECT
PetscObjectCompose_Petsc,printf, DIRECT
PetscObjectQuery_Petsc,PetscError, DIRECT
PetscObjectQuery_Petsc,PetscCheckPointer, DIRECT
PetscObjectQuery_Petsc,PetscError, DIRECT
PetscObjectQuery_Petsc,PetscError, DIRECT
PetscObjectQuery_Petsc,PetscError, DIRECT
PetscObjectQuery_Petsc,PetscObjectListFind, DIRECT
PetscObjectQuery_Petsc,PetscError, DIRECT
PetscObjectQuery_Petsc,printf, DIRECT
PetscObjectQuery_Petsc,printf, DIRECT
PetscObjectComposeFunction_Petsc,PetscError, DIRECT
PetscObjectComposeFunction_Petsc,PetscCheckPointer, DIRECT
PetscObjectComposeFunction_Petsc,PetscError, DIRECT
PetscObjectComposeFunction_Petsc,PetscError, DIRECT
PetscObjectComposeFunction_Petsc,PetscError, DIRECT
PetscObjectComposeFunction_Petsc,PetscFunctionListAdd_Private, DIRECT
PetscObjectComposeFunction_Petsc,PetscError, DIRECT
PetscObjectComposeFunction_Petsc,printf, DIRECT
PetscObjectComposeFunction_Petsc,printf, DIRECT
PetscObjectQueryFunction_Petsc,PetscError, DIRECT
PetscObjectQueryFunction_Petsc,PetscCheckPointer, DIRECT
PetscObjectQueryFunction_Petsc,PetscError, DIRECT
PetscObjectQueryFunction_Petsc,PetscError, DIRECT
PetscObjectQueryFunction_Petsc,PetscError, DIRECT
PetscObjectQueryFunction_Petsc,PetscFunctionListFind_Private, DIRECT
PetscObjectQueryFunction_Petsc,PetscError, DIRECT
PetscObjectQueryFunction_Petsc,printf, DIRECT
PetscObjectQueryFunction_Petsc,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscCheckPointer, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscLogPHD = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscObject*)*, INDIRECT 
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscComposedQuantitiesDestroy, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscMemoryGetCurrentUsage, DIRECT
PetscHeaderDestroy_Private,EMPTYNAME = (_p_PetscObject->any pointer@i64 400) :: i32 (i8*)*, INDIRECT 
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscObjectDestroyOptionsHandlers, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscObjectListDestroy, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscCommDestroy, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscFunctionListDestroy, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscHeaderDestroy_Private,printf, DIRECT
PetscHeaderDestroy_Private,printf, DIRECT
PetscHeaderDestroy_Private,PetscError, DIRECT
PetscObjectDestroyOptionsHandlers,PetscError, DIRECT
PetscObjectDestroyOptionsHandlers,PetscCheckPointer, DIRECT
PetscObjectDestroyOptionsHandlers,PetscError, DIRECT
PetscObjectDestroyOptionsHandlers,PetscError, DIRECT
PetscObjectDestroyOptionsHandlers,PetscError, DIRECT
PetscObjectDestroyOptionsHandlers,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscObject*, i8*)*, INDIRECT 
PetscObjectDestroyOptionsHandlers,PetscError, DIRECT
PetscObjectDestroyOptionsHandlers,printf, DIRECT
PetscObjectDestroyOptionsHandlers,printf, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscCheckPointer, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscCheckPointer, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscTrMalloc = (any pointer->any pointer@i64 0) :: i32 (i64, i32, i32, i8*, i8*, i8**)*, INDIRECT 
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscMemcpy, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscFortranCallbackGetSizes, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscMallocA, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscMemcpy, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscError, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscObjectCopyFortranFunctionPointers,printf, DIRECT
PetscObjectCopyFortranFunctionPointers,printf, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscMallocA, DIRECT
PetscObjectCopyFortranFunctionPointers,PetscMemcpy, DIRECT
PetscObjectSetFortranCallback,PetscError, DIRECT
PetscObjectSetFortranCallback,PetscCheckPointer, DIRECT
PetscObjectSetFortranCallback,PetscError, DIRECT
PetscObjectSetFortranCallback,PetscError, DIRECT
PetscObjectSetFortranCallback,PetscError, DIRECT
PetscObjectSetFortranCallback,PetscFortranCallbackRegister, DIRECT
PetscObjectSetFortranCallback,PetscError, DIRECT
PetscObjectSetFortranCallback,PetscMallocA, DIRECT
PetscObjectSetFortranCallback,PetscError, DIRECT
PetscObjectSetFortranCallback,PetscMemcpy, DIRECT
PetscObjectSetFortranCallback,PetscError, DIRECT
PetscObjectSetFortranCallback,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscObjectSetFortranCallback,PetscError, DIRECT
PetscObjectSetFortranCallback,printf, DIRECT
PetscObjectSetFortranCallback,printf, DIRECT
PetscObjectGetFortranCallback,PetscError, DIRECT
PetscObjectGetFortranCallback,PetscCheckPointer, DIRECT
PetscObjectGetFortranCallback,PetscError, DIRECT
PetscObjectGetFortranCallback,PetscError, DIRECT
PetscObjectGetFortranCallback,PetscError, DIRECT
PetscObjectGetFortranCallback,PetscError, DIRECT
PetscObjectGetFortranCallback,PetscError, DIRECT
PetscObjectGetFortranCallback,printf, DIRECT
PetscObjectGetFortranCallback,printf, DIRECT
PetscObjectsDump,PetscFPrintf, DIRECT
PetscObjectsDump,PetscError, DIRECT
PetscObjectsDump,PetscFPrintf, DIRECT
PetscObjectsDump,PetscError, DIRECT
PetscObjectsDump,PetscObjectName, DIRECT
PetscObjectsDump,PetscError, DIRECT
PetscObjectsDump,PetscMallocGetStack, DIRECT
PetscObjectsDump,PetscError, DIRECT
PetscObjectsDump,PetscStrstr, DIRECT
PetscObjectsDump,PetscError, DIRECT
PetscObjectsDump,PetscStrstr, DIRECT
PetscObjectsDump,PetscError, DIRECT
PetscObjectsDump,PetscStrstr, DIRECT
PetscObjectsDump,PetscError, DIRECT
PetscObjectsDump,PetscFPrintf, DIRECT
PetscObjectsDump,PetscError, DIRECT
PetscObjectsDump,PetscMallocGetStack, DIRECT
PetscObjectsDump,PetscError, DIRECT
PetscObjectsDump,fprintf, DIRECT
PetscObjectsDump,fprintf, DIRECT
PetscObjectsDump,printf, DIRECT
PetscObjectsDump,printf, DIRECT
PetscObjectsView,PETSC_VIEWER_STDOUT_, DIRECT
PetscObjectsView,PetscObjectTypeCompare, DIRECT
PetscObjectsView,PetscError, DIRECT
PetscObjectsView,PetscObjectComm, DIRECT
PetscObjectsView,PetscError, DIRECT
PetscObjectsView,PetscViewerASCIIGetPointer, DIRECT
PetscObjectsView,PetscError, DIRECT
PetscObjectsView,PetscObjectsDump, DIRECT
PetscObjectsView,PetscError, DIRECT
PetscObjectsView,printf, DIRECT
