CALLER, CALLEE, CALLTYPE
PetscObjectListRemoveReference,PetscStrcmp, DIRECT
PetscObjectListRemoveReference,PetscError, DIRECT
PetscObjectListRemoveReference,PetscObjectDereference, DIRECT
PetscObjectListRemoveReference,PetscError, DIRECT
PetscObjectListRemoveReference,printf, DIRECT
PetscObjectListRemoveReference,printf, DIRECT
PetscObjectListRemoveReference,printf, DIRECT
PetscObjectListRemoveReference,printf, DIRECT
PetscObjectListAdd,PetscStrcmp, DIRECT
PetscObjectListAdd,PetscError, DIRECT
PetscObjectListAdd,PetscObjectDereference, DIRECT
PetscObjectListAdd,PetscError, DIRECT
PetscObjectListAdd,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscObjectListAdd,PetscError, DIRECT
PetscObjectListAdd,printf, DIRECT
PetscObjectListAdd,printf, DIRECT
PetscObjectListAdd,printf, DIRECT
PetscObjectListAdd,printf, DIRECT
PetscObjectListAdd,PetscStrcmp, DIRECT
PetscObjectListAdd,PetscError, DIRECT
PetscObjectListAdd,PetscObjectReference, DIRECT
PetscObjectListAdd,PetscError, DIRECT
PetscObjectListAdd,PetscObjectDereference, DIRECT
PetscObjectListAdd,PetscError, DIRECT
PetscObjectListAdd,printf, DIRECT
PetscObjectListAdd,printf, DIRECT
PetscObjectListAdd,PetscMallocA, DIRECT
PetscObjectListAdd,PetscError, DIRECT
PetscObjectListAdd,PetscObjectReference, DIRECT
PetscObjectListAdd,PetscError, DIRECT
PetscObjectListAdd,PetscStrcpy, DIRECT
PetscObjectListAdd,PetscError, DIRECT
PetscObjectListAdd,printf, DIRECT
PetscObjectListAdd,printf, DIRECT
PetscObjectListDestroy,PetscObjectDereference, DIRECT
PetscObjectListDestroy,PetscError, DIRECT
PetscObjectListDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscObjectListDestroy,PetscError, DIRECT
PetscObjectListDestroy,printf, DIRECT
PetscObjectListDestroy,printf, DIRECT
PetscObjectListFind,PetscStrcmp, DIRECT
PetscObjectListFind,PetscError, DIRECT
PetscObjectListFind,printf, DIRECT
PetscObjectListFind,printf, DIRECT
PetscObjectListReverseFind,printf, DIRECT
PetscObjectListReverseFind,printf, DIRECT
PetscObjectListDuplicate,PetscObjectListAdd, DIRECT
PetscObjectListDuplicate,PetscError, DIRECT
PetscObjectListDuplicate,printf, DIRECT
PetscObjectListDuplicate,printf, DIRECT
