CALLER, CALLEE, CALLTYPE
PetscTableCreate,PetscError, DIRECT
PetscTableCreate,PetscMallocA, DIRECT
PetscTableCreate,PetscError, DIRECT
PetscTableCreate,PetscTableCreateHashSize, DIRECT
PetscTableCreate,PetscError, DIRECT
PetscTableCreate,PetscMallocA, DIRECT
PetscTableCreate,PetscError, DIRECT
PetscTableCreate,PetscMallocA, DIRECT
PetscTableCreate,PetscError, DIRECT
PetscTableCreate,printf, DIRECT
PetscTableCreate,printf, DIRECT
PetscTableCreateHashSize,PetscError, DIRECT
PetscTableCreateHashSize,printf, DIRECT
PetscTableCreateHashSize,printf, DIRECT
PetscTableCreateCopy,PetscMallocA, DIRECT
PetscTableCreateCopy,PetscError, DIRECT
PetscTableCreateCopy,PetscMallocA, DIRECT
PetscTableCreateCopy,PetscError, DIRECT
PetscTableCreateCopy,PetscMallocA, DIRECT
PetscTableCreateCopy,PetscError, DIRECT
PetscTableCreateCopy,PetscMemcpy, DIRECT
PetscTableCreateCopy,PetscError, DIRECT
PetscTableCreateCopy,PetscMemcpy, DIRECT
PetscTableCreateCopy,PetscError, DIRECT
PetscTableCreateCopy,PetscError, DIRECT
PetscTableCreateCopy,printf, DIRECT
PetscTableCreateCopy,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
PetscTableDestroy,printf, DIRECT
PetscTableDestroy,printf, DIRECT
PetscTableDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscTableDestroy,PetscError, DIRECT
PetscTableDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscTableDestroy,PetscError, DIRECT
PetscTableDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscTableDestroy,PetscError, DIRECT
PetscTableDestroy,printf, DIRECT
PetscTableDestroy,printf, DIRECT
PetscTableGetCount,printf, DIRECT
PetscTableGetCount,printf, DIRECT
PetscTableIsEmpty,printf, DIRECT
PetscTableIsEmpty,printf, DIRECT
PetscTableAddExpand,PetscTableCreateHashSize, DIRECT
PetscTableAddExpand,PetscError, DIRECT
PetscTableAddExpand,PetscMallocA, DIRECT
PetscTableAddExpand,PetscError, DIRECT
PetscTableAddExpand,PetscMallocA, DIRECT
PetscTableAddExpand,PetscError, DIRECT
PetscTableAddExpand,PetscTableAdd, DIRECT
PetscTableAddExpand,PetscError, DIRECT
PetscTableAddExpand,PetscTableAdd, DIRECT
PetscTableAddExpand,PetscError, DIRECT
PetscTableAddExpand,PetscError, DIRECT
PetscTableAddExpand,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscTableAddExpand,PetscError, DIRECT
PetscTableAddExpand,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscTableAddExpand,PetscError, DIRECT
PetscTableAddExpand,printf, DIRECT
PetscTableAddExpand,printf, DIRECT
PetscTableAdd,PetscError, DIRECT
PetscTableAdd,PetscError, DIRECT
PetscTableAdd,PetscError, DIRECT
PetscTableAdd,PetscError, DIRECT
PetscTableAdd,printf, DIRECT
PetscTableAdd,printf, DIRECT
PetscTableAdd,PetscTableAddExpand, DIRECT
PetscTableAdd,PetscError, DIRECT
PetscTableAdd,printf, DIRECT
PetscTableAdd,printf, DIRECT
PetscTableAdd,PetscError, DIRECT
PetscTableRemoveAll,PetscError, DIRECT
PetscTableRemoveAll,PetscError, DIRECT
PetscTableRemoveAll,printf, DIRECT
PetscTableRemoveAll,printf, DIRECT
PetscTableGetHeadPosition,printf, DIRECT
PetscTableGetHeadPosition,printf, DIRECT
PetscTableGetHeadPosition,PetscError, DIRECT
