CALLER, CALLEE, CALLTYPE
PetscCommBuildTwoSidedSetType,MPI_Comm_size, DIRECT
PetscCommBuildTwoSidedSetType,MPI_Allreduce, DIRECT
PetscCommBuildTwoSidedSetType,MPI_Error_string, DIRECT
PetscCommBuildTwoSidedSetType,PetscError, DIRECT
PetscCommBuildTwoSidedSetType,PetscError, DIRECT
PetscCommBuildTwoSidedSetType,PetscError, DIRECT
PetscCommBuildTwoSidedSetType,PetscError, DIRECT
PetscCommBuildTwoSidedSetType,MPI_Comm_size, DIRECT
PetscCommBuildTwoSidedSetType,MPI_Allreduce, DIRECT
PetscCommBuildTwoSidedSetType,MPI_Error_string, DIRECT
PetscCommBuildTwoSidedSetType,PetscError, DIRECT
PetscCommBuildTwoSidedSetType,PetscError, DIRECT
PetscCommBuildTwoSidedSetType,printf, DIRECT
PetscCommBuildTwoSidedSetType,printf, DIRECT
PetscCommBuildTwoSidedGetType,MPI_Comm_size, DIRECT
PetscCommBuildTwoSidedGetType,MPI_Error_string, DIRECT
PetscCommBuildTwoSidedGetType,PetscError, DIRECT
PetscCommBuildTwoSidedGetType,PetscOptionsGetEnum, DIRECT
PetscCommBuildTwoSidedGetType,PetscError, DIRECT
PetscCommBuildTwoSidedGetType,printf, DIRECT
PetscCommBuildTwoSidedGetType,printf, DIRECT
PetscCommBuildTwoSided,PetscSysInitializePackage, DIRECT
PetscCommBuildTwoSided,PetscError, DIRECT
PetscCommBuildTwoSided,PetscLogEventSynchronize, DIRECT
PetscCommBuildTwoSided,PetscError, DIRECT
PetscCommBuildTwoSided,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
PetscCommBuildTwoSided,PetscError, DIRECT
PetscCommBuildTwoSided,PetscCommBuildTwoSidedGetType, DIRECT
PetscCommBuildTwoSided,PetscError, DIRECT
PetscCommBuildTwoSided,PetscCommBuildTwoSided_Ibarrier, DIRECT
PetscCommBuildTwoSided,PetscError, DIRECT
PetscCommBuildTwoSided,PetscCommBuildTwoSided_Allreduce, DIRECT
PetscCommBuildTwoSided,PetscError, DIRECT
PetscCommBuildTwoSided,PetscCommBuildTwoSided_RedScatter, DIRECT
PetscCommBuildTwoSided,PetscError, DIRECT
PetscCommBuildTwoSided,PetscError, DIRECT
PetscCommBuildTwoSided,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
PetscCommBuildTwoSided,PetscError, DIRECT
PetscCommBuildTwoSided,printf, DIRECT
PetscCommBuildTwoSided,printf, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscCommDuplicate, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Type_get_extent, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscMallocA, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Issend, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscSegBufferCreate, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscSegBufferCreate, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Iprobe, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscSegBufferGet, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscSegBufferGet, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscMPITypeSize, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Recv, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscMPIIntCast, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Testall, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Ibarrier, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Test, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscSegBufferExtractAlloc, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscSegBufferDestroy, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscSegBufferExtractAlloc, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscSegBufferDestroy, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscCommDestroy, DIRECT
PetscCommBuildTwoSided_Ibarrier,PetscError, DIRECT
PetscCommBuildTwoSided_Ibarrier,printf, DIRECT
PetscCommBuildTwoSided_Ibarrier,printf, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Comm_size, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Comm_rank, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscCommDuplicate, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Comm_get_attr, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscMallocA, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Comm_size, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Allreduce, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Comm_size, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Allreduce, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Type_get_extent, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscTrMalloc = (any pointer->any pointer@i64 0) :: i32 (i64, i32, i32, i8*, i8*, i8**)*, INDIRECT 
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscMallocA, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscMPITypeSize, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Irecv, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscMPITypeSize, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Isend, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Waitall, DIRECT
PetscCommBuildTwoSided_Allreduce,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscMallocA, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscFreeA, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscCommDestroy, DIRECT
PetscCommBuildTwoSided_Allreduce,PetscError, DIRECT
PetscCommBuildTwoSided_Allreduce,printf, DIRECT
PetscCommBuildTwoSided_Allreduce,printf, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Comm_size, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscCommDuplicate, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Comm_get_attr, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscMallocA, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Comm_size, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Reduce_scatter_block, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Type_get_extent, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscTrMalloc = (any pointer->any pointer@i64 0) :: i32 (i64, i32, i32, i8*, i8*, i8**)*, INDIRECT 
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscMallocA, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscMPITypeSize, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Irecv, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscMPITypeSize, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Isend, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Waitall, DIRECT
PetscCommBuildTwoSided_RedScatter,MPI_Error_string, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscMallocA, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscFreeA, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscCommDestroy, DIRECT
PetscCommBuildTwoSided_RedScatter,PetscError, DIRECT
PetscCommBuildTwoSided_RedScatter,printf, DIRECT
PetscCommBuildTwoSided_RedScatter,printf, DIRECT
PetscCommBuildTwoSidedF,PetscCommBuildTwoSidedFReq, DIRECT
PetscCommBuildTwoSidedF,PetscError, DIRECT
PetscCommBuildTwoSidedF,MPI_Waitall, DIRECT
PetscCommBuildTwoSidedF,MPI_Error_string, DIRECT
PetscCommBuildTwoSidedF,PetscError, DIRECT
PetscCommBuildTwoSidedF,MPI_Waitall, DIRECT
PetscCommBuildTwoSidedF,MPI_Error_string, DIRECT
PetscCommBuildTwoSidedF,PetscError, DIRECT
PetscCommBuildTwoSidedF,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscCommBuildTwoSidedF,PetscError, DIRECT
PetscCommBuildTwoSidedF,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscCommBuildTwoSidedF,PetscError, DIRECT
PetscCommBuildTwoSidedF,printf, DIRECT
PetscCommBuildTwoSidedF,printf, DIRECT
PetscCommBuildTwoSidedFReq,PetscSysInitializePackage, DIRECT
PetscCommBuildTwoSidedFReq,PetscError, DIRECT
PetscCommBuildTwoSidedFReq,MPI_Comm_size, DIRECT
PetscCommBuildTwoSidedFReq,MPI_Error_string, DIRECT
PetscCommBuildTwoSidedFReq,PetscError, DIRECT
PetscCommBuildTwoSidedFReq,PetscError, DIRECT
PetscCommBuildTwoSidedFReq,PetscLogEventSynchronize, DIRECT
PetscCommBuildTwoSidedFReq,PetscError, DIRECT
PetscCommBuildTwoSidedFReq,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
PetscCommBuildTwoSidedFReq,PetscError, DIRECT
PetscCommBuildTwoSidedFReq,PetscCommBuildTwoSidedGetType, DIRECT
PetscCommBuildTwoSidedFReq,PetscError, DIRECT
PetscCommBuildTwoSidedFReq,PetscError, DIRECT
fail, fail, FAILED 
PetscCommBuildTwoSidedFReq,PetscError, DIRECT
PetscCommBuildTwoSidedFReq,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
PetscCommBuildTwoSidedFReq,PetscError, DIRECT
