CALLER, CALLEE, CALLTYPE
PetscStrToArray,strlen, DIRECT
PetscStrToArray,malloc, DIRECT
PetscStrToArray,malloc, DIRECT
PetscStrToArray,malloc, DIRECT
PetscStrToArray,free, DIRECT
PetscStrToArray,free, DIRECT
PetscStrToArray,free, DIRECT
PetscStrToArray,free, DIRECT
PetscStrToArray,free, DIRECT
PetscStrToArrayDestroy,free, DIRECT
PetscStrToArrayDestroy,free, DIRECT
PetscStrlen,strlen, DIRECT
PetscStrlen,printf, DIRECT
PetscStrlen,printf, DIRECT
PetscStrallocpy,PetscStrlen, DIRECT
PetscStrallocpy,PetscMallocA, DIRECT
PetscStrallocpy,PetscError, DIRECT
PetscStrallocpy,PetscStrcpy, DIRECT
PetscStrallocpy,PetscError, DIRECT
PetscStrallocpy,printf, DIRECT
PetscStrallocpy,printf, DIRECT
PetscStrcpy,PetscError, DIRECT
PetscStrcpy,strcpy, DIRECT
PetscStrcpy,printf, DIRECT
PetscStrcpy,printf, DIRECT
PetscStrArrayallocpy,PetscMallocA, DIRECT
PetscStrArrayallocpy,PetscError, DIRECT
PetscStrArrayallocpy,PetscStrallocpy, DIRECT
PetscStrArrayallocpy,PetscError, DIRECT
PetscStrArrayallocpy,printf, DIRECT
PetscStrArrayallocpy,printf, DIRECT
PetscStrArrayDestroy,printf, DIRECT
PetscStrArrayDestroy,printf, DIRECT
PetscStrArrayDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscStrArrayDestroy,PetscError, DIRECT
PetscStrArrayDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscStrArrayDestroy,PetscError, DIRECT
PetscStrArrayDestroy,printf, DIRECT
PetscStrArrayDestroy,printf, DIRECT
PetscStrNArrayallocpy,PetscMallocA, DIRECT
PetscStrNArrayallocpy,PetscError, DIRECT
PetscStrNArrayallocpy,PetscStrallocpy, DIRECT
PetscStrNArrayallocpy,PetscError, DIRECT
PetscStrNArrayallocpy,printf, DIRECT
PetscStrNArrayallocpy,printf, DIRECT
PetscStrNArrayDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscStrNArrayDestroy,printf, DIRECT
PetscStrNArrayDestroy,printf, DIRECT
PetscStrNArrayDestroy,PetscError, DIRECT
PetscStrNArrayDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscStrNArrayDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscStrNArrayDestroy,PetscError, DIRECT
PetscStrNArrayDestroy,printf, DIRECT
PetscStrNArrayDestroy,printf, DIRECT
PetscStrncpy,PetscError, DIRECT
PetscStrncpy,PetscError, DIRECT
PetscStrncpy,strncpy, DIRECT
PetscStrncpy,printf, DIRECT
PetscStrncpy,printf, DIRECT
PetscStrcat,printf, DIRECT
PetscStrcat,printf, DIRECT
PetscStrcat,strcat, DIRECT
PetscStrcat,printf, DIRECT
PetscStrcat,printf, DIRECT
PetscStrlcat,PetscError, DIRECT
PetscStrlcat,printf, DIRECT
PetscStrlcat,printf, DIRECT
PetscStrlcat,PetscStrlen, DIRECT
PetscStrlcat,strncat, DIRECT
PetscStrlcat,printf, DIRECT
PetscStrlcat,printf, DIRECT
PetscStrcmpNoError,strcmp, DIRECT
PetscStrcmp,strcmp, DIRECT
PetscStrcmp,printf, DIRECT
PetscStrcmp,printf, DIRECT
PetscStrgrt,strcmp, DIRECT
PetscStrgrt,printf, DIRECT
PetscStrgrt,printf, DIRECT
PetscStrcasecmp,strcasecmp, DIRECT
PetscStrcasecmp,printf, DIRECT
PetscStrcasecmp,printf, DIRECT
PetscStrncmp,strncmp, DIRECT
PetscStrncmp,printf, DIRECT
PetscStrncmp,printf, DIRECT
PetscStrchr,strchr, DIRECT
PetscStrchr,printf, DIRECT
PetscStrchr,printf, DIRECT
PetscStrrchr,strrchr, DIRECT
PetscStrrchr,printf, DIRECT
PetscStrrchr,printf, DIRECT
PetscStrtolower,printf, DIRECT
PetscStrtolower,printf, DIRECT
PetscStrtoupper,printf, DIRECT
PetscStrtoupper,printf, DIRECT
PetscStrendswith,PetscStrrstr, DIRECT
PetscStrendswith,PetscStrlen, DIRECT
PetscStrendswith,PetscStrlen, DIRECT
PetscStrendswith,printf, DIRECT
PetscStrendswith,printf, DIRECT
PetscStrrstr,strstr, DIRECT
PetscStrrstr,printf, DIRECT
PetscStrrstr,printf, DIRECT
PetscStrbeginswith,PetscStrrstr, DIRECT
PetscStrbeginswith,printf, DIRECT
PetscStrbeginswith,printf, DIRECT
PetscStrendswithwhich,PetscStrendswith, DIRECT
PetscStrendswithwhich,printf, DIRECT
