CALLER, CALLEE, CALLTYPE
TaoBNCGEstimateActiveSet,ISDestroy, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,ISDuplicate, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,ISCopy, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,ISDestroy, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,VecWhichInactive, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,ISDestroy, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,ISComplementVec, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,VecCopy, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,VecScale, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,TaoEstimateActiveBounds, DIRECT
TaoBNCGEstimateActiveSet,PetscError, DIRECT
TaoBNCGEstimateActiveSet,printf, DIRECT
TaoBNCGEstimateActiveSet,printf, DIRECT
TaoBNCGBoundStep,VecISSet, DIRECT
TaoBNCGBoundStep,PetscError, DIRECT
TaoBNCGBoundStep,TaoBoundStep, DIRECT
TaoBNCGBoundStep,PetscError, DIRECT
TaoBNCGBoundStep,printf, DIRECT
TaoBNCGBoundStep,printf, DIRECT
TaoBNCGComputeScalarScaling,sqrt, DIRECT
TaoBNCGComputeScalarScaling,sqrt, DIRECT
TaoBNCGComputeScalarScaling,PetscError, DIRECT
TaoBNCGComputeScalarScaling,printf, DIRECT
TaoBNCGComputeScalarScaling,printf, DIRECT
TaoCreate_BNCG,TaoLineSearchCreate, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,TaoLineSearchSetType, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,TaoLineSearchUseTaoRoutines, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,TaoLineSearchSetOptionsPrefix, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,PetscMallocA, DIRECT
TaoCreate_BNCG,PetscLogObjectMemory, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,KSPInitializePackage, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,PetscObjectComm, DIRECT
TaoCreate_BNCG,MatCreate, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,MatSetOptionsPrefix, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
TaoCreate_BNCG,MatSetType, DIRECT
TaoCreate_BNCG,PetscError, DIRECT
