CALLER, CALLEE, CALLTYPE
TaoSolve_BNLS,TaoBNKInitialize, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,printf, DIRECT
TaoSolve_BNLS,printf, DIRECT
TaoSolve_BNLS,EMPTYNAME = (_TaoOps->any pointer@i64 120) :: i32 (%struct._p_Tao*, i32, i8*)*, INDIRECT 
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,TaoBNKTakeCGSteps, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,printf, DIRECT
TaoSolve_BNLS,printf, DIRECT
TaoSolve_BNLS,EMPTYNAME = (->any pointer@i64 0) :: i32 (%struct._p_Tao*)*, INDIRECT 
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,EMPTYNAME = (->any pointer@i64 8) :: i32 (%struct._p_Tao*, i32, i32*, i32*)*, INDIRECT 
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,TaoBNKSafeguardStep, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecCopy, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecCopy, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecCopy, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,TaoBNKPerformLineSearch, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecCopy, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecCopy, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecCopy, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,TaoBNKEstimateActiveSet, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecCopy, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecISSet, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,TaoGradientNorm, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,TaoBNKUpdateTrustRadius, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,TaoBNKAddStepCounts, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,TaoSetRecycleHistory, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecFischer, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,VecNorm, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,PetscIsInfReal, DIRECT
TaoSolve_BNLS,PetscIsNanReal, DIRECT
TaoSolve_BNLS,PetscObjectComm, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,printf, DIRECT
TaoSolve_BNLS,printf, DIRECT
TaoSolve_BNLS,TaoMonitor, DIRECT
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,EMPTYNAME = (_TaoOps->any pointer@i64 128) :: i32 (%struct._p_Tao*, i8*)*, INDIRECT 
TaoSolve_BNLS,PetscError, DIRECT
TaoSolve_BNLS,printf, DIRECT
TaoSolve_BNLS,printf, DIRECT
TaoCreate_BNLS,TaoCreate_BNK, DIRECT
TaoCreate_BNLS,PetscError, DIRECT
TaoCreate_BNLS,printf, DIRECT
TaoCreate_BNLS,printf, DIRECT
