CALLER, CALLEE, CALLTYPE
TaoCreate_BQNLS,TaoCreate_BQNK, DIRECT
TaoCreate_BQNLS,PetscError, DIRECT
TaoCreate_BQNLS,KSPSetOptionsPrefix, DIRECT
TaoCreate_BQNLS,PetscError, DIRECT
TaoCreate_BQNLS,MatSetOptionsPrefix, DIRECT
TaoCreate_BQNLS,PetscError, DIRECT
TaoCreate_BQNLS,MatSetType, DIRECT
TaoCreate_BQNLS,PetscError, DIRECT
TaoCreate_BQNLS,printf, DIRECT
TaoCreate_BQNLS,printf, DIRECT
TaoSetFromOptions_BQNLS,PetscOptionsHead, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,PetscOptionsEList_Private, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,PetscOptionsReal_Private, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,PetscOptionsReal_Private, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,PetscOptionsReal_Private, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,PetscOptionsInt_Private, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,printf, DIRECT
TaoSetFromOptions_BQNLS,printf, DIRECT
TaoSetFromOptions_BQNLS,TaoSetFromOptions, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,TaoLineSearchSetFromOptions, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,KSPSetFromOptions, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,KSPGetType, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,MatSetFromOptions, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,MatGetOption, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,PetscObjectComm, DIRECT
TaoSetFromOptions_BQNLS,PetscError, DIRECT
TaoSetFromOptions_BQNLS,printf, DIRECT
TaoSetFromOptions_BQNLS,printf, DIRECT
TaoBQNLSComputeHessian,MatLMVMSymBroydenSetDelta, DIRECT
TaoBQNLSComputeHessian,PetscError, DIRECT
TaoBQNLSComputeHessian,MatLMVMUpdate, DIRECT
TaoBQNLSComputeHessian,PetscError, DIRECT
TaoBQNLSComputeHessian,printf, DIRECT
TaoBQNLSComputeHessian,printf, DIRECT
TaoBQNLSComputeStep,MatSolve, DIRECT
TaoBQNLSComputeStep,PetscError, DIRECT
TaoBQNLSComputeStep,VecScale, DIRECT
TaoBQNLSComputeStep,PetscError, DIRECT
TaoBQNLSComputeStep,TaoBNKBoundStep, DIRECT
TaoBQNLSComputeStep,PetscError, DIRECT
TaoBQNLSComputeStep,MatLMVMGetUpdateCount, DIRECT
TaoBQNLSComputeStep,PetscError, DIRECT
TaoBQNLSComputeStep,printf, DIRECT
TaoBQNLSComputeStep,printf, DIRECT
