CALLER, CALLEE, CALLTYPE
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,PetscCheckPointer, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,PetscCheckPointer, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecGetSize, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,ISGetSize, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecDestroy, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecDuplicate, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecCopy, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecGetType, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecGetOwnershipRange, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,ISGetLocalSize, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,PetscObjectGetComm, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecDestroy, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecCreate, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecSetType, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecSetSizes, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecGetOwnershipRange, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,ISCreateStride, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecScatterCreate, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecScatterBegin, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecScatterEnd, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecScatterDestroy, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,ISDestroy, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecDuplicate, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecSet, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,ISGetLocalSize, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecGetOwnershipRange, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecGetArray, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecGetArray, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,ISGetIndices, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,ISRestoreIndices, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecRestoreArray, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,VecRestoreArray, DIRECT
TaoVecGetSubVec,PetscError, DIRECT
TaoVecGetSubVec,printf, DIRECT
TaoVecGetSubVec,printf, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscCheckPointer, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscCheckPointer, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,MatDestroy, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,MatCreateSubMatrix, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscObjectOptionsBegin_Private, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscOptionsBool_Private, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscOptionsEnd_Private, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,MatDuplicate, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,PetscObjectReference, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,MatGetDiagonal, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,ISComplementVec, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,MatZeroRowsColumnsIS, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,ISDestroy, DIRECT
TaoMatGetSubMat,PetscError, DIRECT
TaoMatGetSubMat,ISComplementVec, DIRECT
