CALLER, CALLEE, CALLTYPE
TaoCreate_ASILS,PetscMallocA, DIRECT
TaoCreate_ASILS,PetscLogObjectMemory, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,TaoLineSearchCreate, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,TaoLineSearchSetType, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,TaoLineSearchSetOptionsPrefix, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,TaoLineSearchSetFromOptions, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,KSPCreate, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,KSPSetOptionsPrefix, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,KSPSetFromOptions, DIRECT
TaoCreate_ASILS,PetscError, DIRECT
TaoCreate_ASILS,printf, DIRECT
TaoCreate_ASILS,printf, DIRECT
TaoSolve_ASILS,TaoComputeVariableBounds, DIRECT
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,TaoLineSearchSetObjectiveAndGradientRoutine, DIRECT
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,TaoLineSearchSetObjectiveRoutine, DIRECT
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,TaoLineSearchComputeObjectiveAndGradient, DIRECT
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,VecNorm, DIRECT
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,PetscInfo_Private, DIRECT
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,TaoLogConvergenceHistory, DIRECT
TaoSolve_ASILS,TaoMonitor, DIRECT
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,EMPTYNAME = (_TaoOps->any pointer@i64 128) :: i32 (%struct._p_Tao*, i8*)*, INDIRECT 
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,EMPTYNAME = (_TaoOps->any pointer@i64 120) :: i32 (%struct._p_Tao*, i32, i8*)*, INDIRECT 
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,MatNorm, DIRECT
TaoSolve_ASILS,PetscError, DIRECT
TaoSolve_ASILS,VecSet, DIRECT
