CALLER, CALLEE, CALLTYPE
TaoSetUp_SSILS,VecDuplicate, DIRECT
TaoSetUp_SSILS,PetscError, DIRECT
TaoSetUp_SSILS,VecDuplicate, DIRECT
TaoSetUp_SSILS,PetscError, DIRECT
TaoSetUp_SSILS,VecDuplicate, DIRECT
TaoSetUp_SSILS,PetscError, DIRECT
TaoSetUp_SSILS,VecDuplicate, DIRECT
TaoSetUp_SSILS,PetscError, DIRECT
TaoSetUp_SSILS,VecDuplicate, DIRECT
TaoSetUp_SSILS,PetscError, DIRECT
TaoSetUp_SSILS,VecDuplicate, DIRECT
TaoSetUp_SSILS,PetscError, DIRECT
TaoSetUp_SSILS,VecDuplicate, DIRECT
TaoSetUp_SSILS,PetscError, DIRECT
TaoSetUp_SSILS,VecDuplicate, DIRECT
TaoSetUp_SSILS,PetscError, DIRECT
TaoSetUp_SSILS,printf, DIRECT
TaoSetUp_SSILS,printf, DIRECT
TaoDestroy_SSILS,VecDestroy, DIRECT
TaoDestroy_SSILS,PetscError, DIRECT
TaoDestroy_SSILS,VecDestroy, DIRECT
TaoDestroy_SSILS,PetscError, DIRECT
TaoDestroy_SSILS,VecDestroy, DIRECT
TaoDestroy_SSILS,PetscError, DIRECT
TaoDestroy_SSILS,VecDestroy, DIRECT
TaoDestroy_SSILS,PetscError, DIRECT
TaoDestroy_SSILS,VecDestroy, DIRECT
TaoDestroy_SSILS,PetscError, DIRECT
TaoDestroy_SSILS,VecDestroy, DIRECT
TaoDestroy_SSILS,PetscError, DIRECT
TaoDestroy_SSILS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoDestroy_SSILS,PetscError, DIRECT
TaoDestroy_SSILS,printf, DIRECT
TaoDestroy_SSILS,printf, DIRECT
TaoCreate_SSILS,PetscMallocA, DIRECT
TaoCreate_SSILS,PetscLogObjectMemory, DIRECT
TaoCreate_SSILS,PetscError, DIRECT
TaoCreate_SSILS,TaoLineSearchCreate, DIRECT
TaoCreate_SSILS,PetscError, DIRECT
TaoCreate_SSILS,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_SSILS,PetscError, DIRECT
TaoCreate_SSILS,TaoLineSearchSetType, DIRECT
TaoCreate_SSILS,PetscError, DIRECT
TaoCreate_SSILS,TaoLineSearchSetOptionsPrefix, DIRECT
TaoCreate_SSILS,PetscError, DIRECT
TaoCreate_SSILS,TaoLineSearchSetFromOptions, DIRECT
TaoCreate_SSILS,PetscError, DIRECT
TaoCreate_SSILS,KSPCreate, DIRECT
TaoCreate_SSILS,PetscError, DIRECT
TaoCreate_SSILS,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_SSILS,PetscError, DIRECT
TaoCreate_SSILS,KSPSetOptionsPrefix, DIRECT
TaoCreate_SSILS,PetscError, DIRECT
TaoCreate_SSILS,printf, DIRECT
TaoCreate_SSILS,printf, DIRECT
TaoSolve_SSILS,TaoComputeVariableBounds, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,VecMedian, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,TaoLineSearchSetObjectiveAndGradientRoutine, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,TaoLineSearchSetObjectiveRoutine, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,TaoLineSearchComputeObjectiveAndGradient, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,VecNorm, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,PetscInfo_Private, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,TaoLogConvergenceHistory, DIRECT
TaoSolve_SSILS,TaoMonitor, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,EMPTYNAME = (_TaoOps->any pointer@i64 128) :: i32 (%struct._p_Tao*, i8*)*, INDIRECT 
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,EMPTYNAME = (_TaoOps->any pointer@i64 120) :: i32 (%struct._p_Tao*, i32, i8*)*, INDIRECT 
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,KSPSetOperators, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,KSPSolve, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,KSPGetIterationNumber, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,VecNorm, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,VecDot, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,pow, DIRECT
TaoSolve_SSILS,PetscInfo_Private, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,VecCopy, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,VecDot, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,VecScale, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,TaoLineSearchSetInitialStepLength, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,TaoLineSearchApply, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,VecNorm, DIRECT
TaoSolve_SSILS,PetscError, DIRECT
TaoSolve_SSILS,printf, DIRECT
TaoSolve_SSILS,printf, DIRECT
TaoLogConvergenceHistory,printf, DIRECT
TaoLogConvergenceHistory,printf, DIRECT
